 	les	gens	sont	déçus	du	fait	qu'	il	n'	y	a	pas	eu	de	gibier	pour	commémorer	la	mort	du	notable	</S>
a92	0.00147	0.00160273	0.00141416	0.00172715	0.00214494	0.0073526	0.0174879	0.0489672	0.060137	0.0542841	0.0508895	0.0493212	0.0558572	0.0563563	0.0672089	0.0916528	0.0847355	0.0702888	0.0667935	0.0561386	0.060925	0.0932448
a56	0.00124605	0.00125687	0.00115566	0.00139169	0.00149014	0.00446487	0.0130908	0.0478952	0.0584691	0.0567235	0.0607359	0.0609039	0.070439	0.0663718	0.0735272	0.0871168	0.0657266	0.0524921	0.0507471	0.0474412	0.0589689	0.118346
a92	0.00159207	0.00155937	0.00135642	0.00116859	0.00200591	0.00593298	0.0158829	0.049297	0.0657904	0.0662712	0.0704123	0.0704586	0.0777897	0.0743088	0.0784806	0.0858136	0.0595269	0.0526762	0.0495844	0.0425059	0.047586	0.0800001
a21	0.0016461	0.00175022	0.00159153	0.00140647	0.0015337	0.004316	0.011026	0.037977	0.0496736	0.0526988	0.0608791	0.0632701	0.0726372	0.0668439	0.070974	0.0722616	0.0483445	0.0495363	0.0511519	0.0518229	0.0747313	0.153928
a5	0.0012711	0.00108277	0.000893433	0.000612866	0.00103721	0.00303428	0.00758028	0.0239972	0.0374519	0.0425103	0.0514972	0.0561468	0.0699004	0.0709381	0.0775234	0.0795225	0.0542107	0.0621382	0.0611088	0.0615819	0.0858637	0.150097
a23	0.00127421	0.00105922	0.000829492	0.000594073	0.00093868	0.00276233	0.00662665	0.0203965	0.0320199	0.0365935	0.0460132	0.0512078	0.0672897	0.0688451	0.0756685	0.0782742	0.0570246	0.0667689	0.0641612	0.0667832	0.0898352	0.165034
a18	0.00162561	0.00144511	0.00104417	0.00113256	0.00161787	0.00411223	0.00911941	0.028362	0.0419737	0.0437035	0.0500028	0.0532671	0.0697376	0.0643977	0.0661587	0.0723603	0.0522221	0.0485288	0.0465157	0.0545971	0.0849655	0.20311
a47	0.00377618	0.00294335	0.00211091	0.00239263	0.00234858	0.00481188	0.00852302	0.0224479	0.0305342	0.0317722	0.036243	0.0396661	0.0543639	0.0465651	0.0520331	0.058043	0.0519205	0.0489092	0.0493986	0.0634014	0.114448	0.273348
a96	0.00310251	0.00252753	0.00187963	0.0023377	0.00255851	0.00539953	0.00969103	0.0258269	0.0336468	0.0336725	0.0372856	0.0408056	0.0564431	0.0500683	0.0536772	0.0576089	0.0473211	0.046438	0.045915	0.0615323	0.110236	0.272026
a62	0.000867487	0.000697119	0.000478701	0.000470352	0.000885491	0.00241878	0.00560396	0.0159401	0.0224763	0.0241835	0.0292917	0.0331959	0.052576	0.0498832	0.050459	0.0568936	0.0447498	0.0501883	0.051252	0.0745875	0.135116	0.297785
a83	0.00124507	0.00109653	0.000801595	0.000847868	0.00184184	0.00526747	0.00971349	0.0198961	0.0255478	0.0263966	0.029864	0.0316499	0.0465597	0.0417475	0.0405855	0.0485565	0.0486137	0.0485379	0.049258	0.0810931	0.143888	0.296992
a96	0.000948398	0.000859474	0.000649239	0.00105485	0.00145336	0.00421613	0.0077748	0.0163219	0.018141	0.0179153	0.0196818	0.020635	0.0305192	0.0253298	0.0259945	0.0332883	0.0352288	0.0357348	0.0418882	0.0741262	0.173173	0.415066
a34	0.00057545	0.000539169	0.000396828	0.000608788	0.000924441	0.00302216	0.00620765	0.0139215	0.0148219	0.014132	0.0152968	0.0158955	0.0249716	0.0208372	0.0212356	0.0287723	0.0296919	0.0341141	0.043209	0.0799645	0.188691	0.442171
a70	0.000296339	0.00027328	0.000201509	0.000210929	0.000405235	0.00150177	0.00347673	0.00865505	0.0112486	0.0114028	0.0133707	0.0143565	0.0233997	0.0216837	0.0230181	0.0315951	0.0342164	0.0403547	0.0476287	0.085456	0.183015	0.444233
a66	0.000301379	0.00028852	0.000192519	0.000220408	0.000474834	0.00172211	0.0036588	0.00793751	0.00861114	0.00814024	0.00843667	0.00863754	0.014329	0.0124489	0.0131492	0.0181071	0.0185828	0.0246655	0.0334133	0.06472	0.196501	0.555462
a54	0.00248894	0.00214885	0.0017921	0.0017576	0.00212027	0.00427942	0.00736181	0.0142616	0.0129417	0.0120598	0.0120711	0.01284	0.0187622	0.0134654	0.0143143	0.0144527	0.0193373	0.0335074	0.0495503	0.0769274	0.220952	0.452608
a6	0.000350829	0.000332688	0.000238247	0.000344806	0.00050008	0.000948732	0.00190762	0.0044702	0.00427716	0.00371874	0.0037949	0.00413495	0.00793188	0.00710081	0.007543	0.0124641	0.0106798	0.018703	0.0327018	0.0662934	0.217957	0.593606
a36	0.000157342	0.000138192	9.54522e-05	0.000113564	0.000148688	0.000318283	0.000768845	0.0024118	0.00272954	0.0027131	0.00336153	0.00404311	0.00831089	0.00824113	0.00889592	0.0143901	0.0126228	0.0264964	0.0407197	0.0798302	0.208305	0.575188
a26	0.000305985	0.00028154	0.000201025	0.000283038	0.000405132	0.000655975	0.00115156	0.00260808	0.00254176	0.00245627	0.00282652	0.00324311	0.0070535	0.0061544	0.00538172	0.00671473	0.00740443	0.0151477	0.0222138	0.0491338	0.181759	0.682077
a82	0.00559515	0.00462589	0.00328976	0.00344195	0.00446281	0.0063751	0.00816948	0.0118263	0.00877886	0.00782238	0.00805713	0.00782686	0.0108006	0.00830398	0.00597443	0.00645731	0.0105991	0.0257401	0.040076	0.0635974	0.203742	0.544437
a3	0.0537143	0.0395121	0.0287464	0.015986	0.0171745	0.0182203	0.0197607	0.0228754	0.0169262	0.0152446	0.0153702	0.0148334	0.0183086	0.0159449	0.0104499	0.0094507	0.0236492	0.0578958	0.0701841	0.0701912	0.176278	0.269283
a97	0.10989	0.0843176	0.0700348	0.0328012	0.0192511	0.0141176	0.012101	0.0119459	0.011003	0.0114261	0.0115485	0.012244	0.015327	0.01515	0.0119714	0.0106261	0.0316285	0.0653542	0.0737479	0.0657029	0.130386	0.179425
a30	0.0953217	0.0759092	0.0614964	0.0386628	0.0162133	0.00986251	0.0081003	0.00845599	0.00915108	0.0112217	0.0126158	0.0149259	0.0214046	0.0222876	0.0183624	0.016175	0.0399227	0.0865562	0.0867424	0.0783053	0.114308	0.153999
</S>	0.0490514	0.0332043	0.0169972	0.0211119	0.00637851	0.00272179	0.0021872	0.00278625	0.00296261	0.00347176	0.00384434	0.004476	0.00763952	0.00988485	0.0087685	0.0138823	0.0269988	0.0662814	0.0958684	0.101928	0.180074	0.339481
