 	ce	cheveu	est	celui	de	ta	femme	ce	n'	est	pas	un	poil	</S>
a57	0.00585597	0.00587519	0.0136486	0.0655813	0.0971822	0.137352	0.133814	0.0967057	0.0934896	0.0764853	0.063398	0.0588616	0.055847	0.0959033
a13	0.0135753	0.00915894	0.0226177	0.0803066	0.116783	0.156117	0.146097	0.107857	0.0843342	0.0663042	0.0481907	0.042153	0.0423123	0.064192
a70	0.0162283	0.0128099	0.0259743	0.0735651	0.10321	0.131207	0.135114	0.109603	0.0869283	0.0737514	0.0560197	0.0495968	0.0502953	0.0756971
a96	0.00334921	0.00309906	0.00892076	0.0452398	0.0727432	0.09791	0.110269	0.0856356	0.0874334	0.0883385	0.0874055	0.0895436	0.0889891	0.131123
a75	0.0018129	0.00199447	0.00709228	0.0397186	0.0631357	0.0840347	0.0982945	0.0795707	0.0831894	0.0866723	0.0896064	0.0955999	0.102351	0.166927
a92	0.00161413	0.00178348	0.00631975	0.0225957	0.0312364	0.0514589	0.0632029	0.0562837	0.0691824	0.0812627	0.0972039	0.116281	0.142699	0.258876
a21	0.00133036	0.00148771	0.00587008	0.0243482	0.035517	0.0568421	0.0683571	0.0605579	0.0731023	0.0842935	0.09832	0.113262	0.135591	0.241121
a34	0.00118669	0.00156056	0.00693489	0.022226	0.0325567	0.0518288	0.0590636	0.0527037	0.0615579	0.0736954	0.0943134	0.12011	0.164556	0.257706
a96	0.000926042	0.00117353	0.00532505	0.0204119	0.0306838	0.0455448	0.0528463	0.0434382	0.0495732	0.0590982	0.0826485	0.11664	0.182435	0.309255
a93	0.000522282	0.000689813	0.00341128	0.0165617	0.0266396	0.039903	0.0474338	0.0387141	0.0453224	0.0548333	0.0785135	0.11368	0.180386	0.35339
a70	0.000380868	0.000468336	0.00256488	0.0133404	0.0221456	0.0346169	0.0426335	0.0371465	0.0455455	0.0553177	0.079797	0.116606	0.181487	0.367949
a44	0.000389388	0.0004274	0.00240154	0.0110048	0.0179455	0.0284855	0.0355311	0.031189	0.0383897	0.0486088	0.0731907	0.112147	0.18935	0.410939
a98	0.000432788	0.000488421	0.00260862	0.0150542	0.02683	0.0407791	0.0512728	0.0421609	0.0482526	0.0591997	0.0816852	0.113437	0.167156	0.350642
a79	0.000439193	0.000392057	0.00133953	0.00785019	0.0145105	0.0245482	0.030008	0.0248459	0.0317131	0.0399694	0.0627489	0.101141	0.182485	0.47801
a7	0.00111148	0.000792626	0.00177633	0.00797425	0.0141856	0.0213542	0.0264777	0.0225234	0.0295468	0.0383437	0.0626461	0.101904	0.186778	0.484586
a37	0.00236397	0.0020665	0.00425431	0.0150086	0.0267948	0.0373569	0.0445578	0.0367613	0.044971	0.0550366	0.0783129	0.109293	0.169035	0.374188
a54	0.00188458	0.00180467	0.00369228	0.0117371	0.0202022	0.0258388	0.0326372	0.0285412	0.0390165	0.0525997	0.0861595	0.127352	0.1858	0.382735
a6	0.00091188	0.000818184	0.0018911	0.00789771	0.0133555	0.0173412	0.0224598	0.0189875	0.0266877	0.0372133	0.0676117	0.111643	0.188538	0.484643
a36	0.000759176	0.00060588	0.00123412	0.00435174	0.00785081	0.0116592	0.0159827	0.0144288	0.0214175	0.0311885	0.0601164	0.107885	0.209043	0.513478
a26	0.00453027	0.0042601	0.0069146	0.016929	0.0264929	0.0320711	0.036832	0.0331518	0.0439766	0.0556735	0.0891639	0.126847	0.18376	0.339397
a38	0.0376307	0.0214148	0.0211255	0.0298197	0.0403087	0.0450993	0.0504879	0.0493895	0.0616721	0.0756759	0.102108	0.120144	0.143813	0.201311
a71	0.0117657	0.0120014	0.0124269	0.016078	0.0216568	0.0233538	0.0286042	0.0318287	0.0434461	0.0595713	0.0940644	0.127508	0.188457	0.329237
a38	0.0285022	0.0180996	0.0177174	0.0261068	0.0362683	0.0435816	0.0506881	0.0501635	0.0661075	0.0824625	0.109379	0.124161	0.145256	0.201508
a66	0.0288581	0.0161402	0.015608	0.0213783	0.0290907	0.0354668	0.0420814	0.0446511	0.0578528	0.0758054	0.102197	0.118755	0.154799	0.257316
a9	0.0206303	0.0123926	0.0126987	0.0175588	0.0249472	0.0307239	0.0393723	0.0431739	0.0576327	0.0767983	0.102611	0.118327	0.159916	0.283217
a3	0.0462842	0.0157911	0.0154254	0.02359	0.0347046	0.050039	0.0608284	0.0661599	0.0732767	0.0899236	0.0992122	0.0995646	0.125957	0.199243
a99	0.0586071	0.0164147	0.0133037	0.0215508	0.0351913	0.0506369	0.0601542	0.0710972	0.0713822	0.0820852	0.0875743	0.0914275	0.127431	0.213144
a57	0.0374947	0.0114714	0.0107764	0.0213469	0.0343999	0.0462745	0.0566279	0.0635602	0.065427	0.0732371	0.0837354	0.095997	0.143689	0.255963
a9	0.0402426	0.0142542	0.0148666	0.027454	0.0399759	0.0481221	0.05752	0.0620259	0.0633101	0.0681418	0.0786804	0.0929556	0.141294	0.251157
a3	0.0388796	0.0138641	0.0213326	0.0399982	0.0551492	0.063898	0.0724597	0.0754703	0.0674676	0.068617	0.0729439	0.0814542	0.119721	0.208744
</S>	0.0477952	0.0208688	0.0320254	0.0525666	0.066922	0.0736722	0.0787929	0.0794199	0.0702173	0.0684338	0.0699032	0.0756361	0.102626	0.16112
