 	ce	jeune	garçon	est	avare	si	bien	que	tous	ses	parents	murmurent	contre	lui	</S>
a21	0.0136052	0.0213233	0.0382406	0.0671675	0.0781653	0.0829798	0.0824279	0.0792165	0.0749932	0.0674409	0.0561583	0.0610991	0.05735	0.0880145	0.131818
a5	0.0146079	0.0165536	0.0276603	0.0510144	0.0822768	0.102147	0.110323	0.109223	0.113911	0.0932993	0.0658953	0.0608101	0.0426696	0.0506678	0.0589411
a21	0.00865307	0.0098482	0.0167914	0.0361991	0.0732806	0.102111	0.110199	0.11769	0.126804	0.111287	0.076427	0.0674	0.044644	0.0464796	0.0521862
a12	0.0073804	0.00783925	0.0125817	0.0256452	0.0544392	0.100749	0.115481	0.127606	0.140007	0.117283	0.076385	0.0649681	0.04604	0.0484409	0.0551541
a96	0.0046427	0.00594712	0.0107537	0.0210893	0.0405833	0.0934175	0.112502	0.135744	0.145671	0.128196	0.0857181	0.0686133	0.0454832	0.0467	0.0549382
a94	0.00372773	0.00523998	0.0101868	0.0187063	0.0302341	0.0807762	0.104142	0.141054	0.140087	0.131229	0.0938255	0.070093	0.0504647	0.0548467	0.0653879
a58	0.00240856	0.00308217	0.00543492	0.00973135	0.0155874	0.0471095	0.0718204	0.126627	0.126161	0.140055	0.113222	0.096368	0.0775161	0.0788796	0.0859965
a82	0.00354109	0.00389122	0.00618101	0.0122005	0.0179934	0.0491424	0.0794409	0.159551	0.162551	0.174456	0.125962	0.0750494	0.0447759	0.0408077	0.044457
a87	0.0060728	0.00549683	0.00685236	0.0119011	0.0209779	0.0515734	0.0763185	0.15598	0.143996	0.180756	0.145035	0.0782012	0.0424458	0.0360621	0.03833
a23	0.0278168	0.0185896	0.0168238	0.0163542	0.0212299	0.0471943	0.0614675	0.110763	0.0980248	0.131202	0.128688	0.107365	0.0828293	0.0590718	0.0725803
a50	0.0211236	0.0142477	0.0167529	0.0202625	0.0251375	0.0410643	0.046288	0.053419	0.0481198	0.0508991	0.0556572	0.0989141	0.117933	0.15893	0.231251
a62	0.00123009	0.00131306	0.00190642	0.002312	0.00259492	0.00753855	0.0093697	0.0141474	0.0134108	0.0199611	0.0261573	0.0704479	0.202144	0.284941	0.342526
a5	0.00209342	0.00216587	0.00257815	0.00375211	0.00693452	0.0172572	0.0237086	0.0346277	0.036506	0.0454603	0.044806	0.0772091	0.198077	0.222968	0.281856
a37	0.00261111	0.00251046	0.00309095	0.00502363	0.0110967	0.0231906	0.033148	0.0462975	0.0501536	0.0558537	0.0500322	0.0778562	0.166768	0.206066	0.266301
a18	0.00169227	0.00189362	0.00266056	0.00436213	0.00856189	0.0215074	0.0326014	0.0508847	0.0550341	0.0642292	0.0579379	0.0845592	0.183132	0.201119	0.229825
a11	0.00143407	0.00143571	0.00180724	0.00228554	0.00279734	0.00881763	0.0147638	0.0350601	0.0394273	0.0720105	0.0757399	0.104041	0.237098	0.222258	0.181024
a70	0.00150111	0.0014605	0.00177048	0.00218652	0.00272751	0.00807899	0.0136377	0.0327788	0.0366324	0.0671147	0.0746876	0.100818	0.23919	0.224275	0.193141
a88	0.00122079	0.00116468	0.00144193	0.0017351	0.00199728	0.00552984	0.00953345	0.0243662	0.0272705	0.0535343	0.0584222	0.0811907	0.225505	0.259617	0.247472
a83	0.000666464	0.000714711	0.000994003	0.00120207	0.00141865	0.00361664	0.00605001	0.0152934	0.0163508	0.0330071	0.0391111	0.0603657	0.223882	0.298152	0.299175
a93	0.000400369	0.000481145	0.000767443	0.000933848	0.00112287	0.00267347	0.00432517	0.010854	0.0115383	0.0235895	0.0281607	0.0450433	0.194077	0.316321	0.359711
a62	0.000228538	0.000283057	0.000470742	0.000617139	0.000822389	0.00220229	0.0036808	0.0091105	0.0094366	0.0184235	0.0232676	0.0390232	0.192339	0.330406	0.369688
a88	0.000375113	0.000428472	0.000747773	0.0008178	0.000814988	0.00200784	0.00330272	0.0098797	0.0105892	0.0225333	0.0230308	0.0315939	0.180102	0.33868	0.375096
a0	0.000206546	0.00022125	0.000466897	0.000570546	0.00052755	0.00167405	0.00283991	0.00936071	0.0095112	0.0202664	0.0198736	0.0258899	0.152212	0.339072	0.417307
a70	0.000591717	0.000535774	0.00100174	0.0012124	0.00104351	0.00338807	0.0054102	0.0143495	0.013783	0.0236608	0.0229687	0.0290166	0.159261	0.345976	0.377801
a13	0.00022518	0.000261393	0.000629666	0.000760193	0.000615512	0.00186667	0.00278326	0.00779638	0.0073665	0.0133585	0.0121609	0.0150227	0.10106	0.331262	0.504831
a50	0.00106433	0.00100342	0.00198477	0.00279287	0.00242354	0.00755706	0.0106562	0.023773	0.0212559	0.0281969	0.0221618	0.0234691	0.112823	0.330918	0.40992
a88	0.000380994	0.000430739	0.000984954	0.00112414	0.000868359	0.0027323	0.00403115	0.00983861	0.00915733	0.0148405	0.0140161	0.0218823	0.133641	0.354937	0.431135
a0	0.000391107	0.00043096	0.000890974	0.00110808	0.000885677	0.00295706	0.00425446	0.0105396	0.00938814	0.0148357	0.0124523	0.0150109	0.0946905	0.325247	0.506917
a75	0.00122034	0.00105607	0.00177448	0.00246247	0.00225355	0.00657278	0.00903742	0.0183691	0.0172961	0.0227515	0.017659	0.019491	0.0954374	0.316125	0.468493
a79	0.000133059	0.000146361	0.000254908	0.000389736	0.000509356	0.00155364	0.00225328	0.00544674	0.0056445	0.0127116	0.013642	0.020971	0.138214	0.348803	0.449326
a96	2.62062e-05	3.21604e-05	6.73074e-05	0.000116094	0.000141439	0.00049237	0.000779423	0.00233386	0.00225319	0.00502336	0.00451824	0.00814635	0.0871721	0.342667	0.546231
a90	0.000102797	0.00012269	0.000290653	0.000412859	0.00039926	0.00115089	0.0017202	0.00451576	0.00444962	0.00797559	0.0072705	0.00952726	0.0815463	0.332724	0.547792
a93	4.2911e-05	5.54079e-05	0.000130107	0.000214947	0.000234507	0.000722297	0.00106019	0.00252417	0.00274324	0.00532653	0.00522758	0.00962237	0.0980798	0.349662	0.524354
a70	7.08857e-05	0.000100952	0.000247012	0.00037516	0.000415325	0.00118799	0.00174725	0.00404351	0.00456533	0.00858813	0.00784988	0.0134881	0.106056	0.328999	0.522265
a13	0.000102915	0.000132822	0.000291374	0.000359999	0.000367789	0.00113794	0.0016949	0.00450236	0.00478101	0.00854709	0.00730138	0.00909817	0.0812861	0.328834	0.551563
a50	0.00159402	0.00179945	0.00292278	0.00278576	0.00273598	0.00641817	0.00828761	0.0150795	0.0142812	0.0178282	0.0141735	0.0168998	0.0990331	0.316973	0.479188
a83	0.000737445	0.000733705	0.00130007	0.00145337	0.0013967	0.00369559	0.00520899	0.0120285	0.0108215	0.0167593	0.0133756	0.0209069	0.0989484	0.316157	0.496477
a9	0.000476312	0.000470848	0.000748605	0.000887889	0.000870217	0.00245076	0.00344418	0.00836934	0.00757477	0.0120657	0.00886836	0.012113	0.0797435	0.315039	0.546878
a87	0.0134372	0.0131466	0.0182386	0.0118789	0.00888481	0.0147557	0.0192013	0.0301959	0.0288789	0.0314258	0.022073	0.029152	0.0964023	0.262655	0.399674
a10	0.118651	0.0644371	0.0502748	0.0280209	0.0208556	0.0219033	0.0251221	0.0289423	0.0350383	0.038666	0.0366893	0.0406654	0.0866449	0.175251	0.228838
a87	0.129885	0.0524795	0.0267775	0.0172424	0.0142275	0.0197761	0.0272356	0.0415999	0.0536961	0.0748361	0.0742776	0.0556225	0.0926933	0.145042	0.174609
a23	0.104345	0.0456182	0.0206941	0.0146912	0.0134291	0.0243806	0.0369641	0.0601933	0.080125	0.103071	0.101791	0.0660841	0.0816486	0.113119	0.133846
a87	0.0586302	0.025902	0.0132159	0.011365	0.00746079	0.023265	0.0325459	0.0513283	0.065359	0.102599	0.11773	0.0952903	0.110618	0.125344	0.159347
</S>	0.0183936	0.00994936	0.00981702	0.0117995	0.00695158	0.019082	0.021368	0.032712	0.0354624	0.0597391	0.0725196	0.0894425	0.134886	0.207672	0.270205
