 	il	n'	a	pas	fini	de	verser	l'	argent	de	la	dot	</S>
a73	0.0118094	0.0142266	0.0188749	0.0329231	0.052237	0.0770996	0.132993	0.139522	0.142496	0.121382	0.0920324	0.0863322	0.0780719
a98	0.00964805	0.0128337	0.0180212	0.0311459	0.0402441	0.0532909	0.12316	0.142597	0.153477	0.128394	0.0973838	0.0869341	0.10287
a73	0.00702962	0.00814819	0.0119294	0.0202359	0.0289968	0.04234	0.0959203	0.121708	0.131504	0.139534	0.135692	0.13454	0.122421
a35	0.0116253	0.0144693	0.018432	0.02436	0.0269894	0.0325851	0.0762643	0.104229	0.130741	0.138372	0.128137	0.130695	0.163102
a76	0.00961982	0.0116331	0.0157876	0.0235882	0.0316299	0.0367187	0.0758164	0.103435	0.125225	0.135159	0.136922	0.132742	0.161724
a94	0.0102055	0.0107981	0.0143806	0.0194736	0.0241392	0.0314229	0.0615896	0.0878635	0.116306	0.148572	0.16312	0.150173	0.161957
a76	0.00790539	0.00904462	0.011572	0.0175167	0.0299923	0.0354694	0.0525802	0.0656369	0.0942374	0.131418	0.146725	0.160767	0.237135
a25	0.0126208	0.0131807	0.0148505	0.0193887	0.0237839	0.0304564	0.0540899	0.0786597	0.108504	0.135342	0.141044	0.143602	0.224477
a75	0.0070568	0.00910401	0.0102051	0.0129278	0.0195562	0.0201734	0.0374596	0.0560288	0.0873508	0.113149	0.124995	0.168249	0.333743
a24	0.0137199	0.0142889	0.0163915	0.0209208	0.0266745	0.0292199	0.0490672	0.0734165	0.106262	0.139533	0.160713	0.150011	0.199782
a25	0.00684019	0.00816178	0.0104272	0.0159736	0.0221557	0.0250946	0.0433682	0.0600631	0.0799975	0.107433	0.145674	0.18059	0.294221
a38	0.00163458	0.00201961	0.00250543	0.0039131	0.00692441	0.0095042	0.0203182	0.0315474	0.059433	0.0939609	0.124621	0.200693	0.442925
a25	0.00234254	0.00267755	0.00313848	0.00480777	0.00863011	0.0121213	0.024069	0.0356521	0.0649587	0.102354	0.138563	0.181784	0.418901
a76	0.00345206	0.00384166	0.00469346	0.00788313	0.0129847	0.0168729	0.0328447	0.0495962	0.0799834	0.11273	0.14315	0.17446	0.357508
a69	0.00774125	0.00801171	0.00834569	0.0122721	0.0198234	0.0239326	0.0353753	0.0443369	0.0686186	0.104521	0.140526	0.171623	0.354872
a58	0.00745279	0.00855475	0.00816481	0.0133602	0.0258942	0.0298822	0.0423977	0.0478667	0.0720798	0.0926947	0.112687	0.161074	0.377891
a75	0.00301703	0.00312561	0.00219044	0.00334824	0.00689504	0.00933541	0.0191786	0.0258559	0.0530041	0.0867322	0.119085	0.207422	0.460811
a73	0.0101642	0.0122997	0.0105778	0.0153642	0.0173905	0.0169364	0.0257028	0.0366136	0.0585242	0.08057	0.103613	0.144392	0.467852
a2	0.00729403	0.00970576	0.00868812	0.0132642	0.0169423	0.0144976	0.0210209	0.0299978	0.0502199	0.0676213	0.0919316	0.151381	0.517435
a57	0.00241566	0.00244481	0.0015573	0.00218083	0.00365747	0.00476582	0.00888531	0.0137792	0.0320345	0.0650795	0.105061	0.213051	0.545088
a87	0.00254079	0.00239141	0.0013533	0.001935	0.00288172	0.00459416	0.00963462	0.016339	0.0381729	0.0734366	0.120149	0.232813	0.493758
</S>	0.00869747	0.00779631	0.00459874	0.00511828	0.00533602	0.00835442	0.0174786	0.0306201	0.0557886	0.0918634	0.138974	0.218957	0.406417
