 	de	petits	enfants	ont	désacralisé	le	kyebé-kyebé	en	s'	amusant	avec	les	masques	de	cette	danse	</S>
a6	0.000424628	0.000656061	0.000929471	0.00113801	0.00396612	0.00621056	0.0123799	0.0137872	0.0164201	0.0171948	0.025613	0.025799	0.0247215	0.0581965	0.114883	0.265009	0.412671
a36	0.000317971	0.000634495	0.00106975	0.00159678	0.00543987	0.00618033	0.0107839	0.0126961	0.0147314	0.0153289	0.021833	0.0209536	0.0259385	0.0689812	0.139467	0.270093	0.383954
a98	0.000461419	0.000647947	0.000942656	0.00138512	0.00445681	0.00512502	0.00917019	0.010111	0.0102676	0.0121753	0.016004	0.016158	0.0168112	0.0425477	0.106161	0.28636	0.461215
a47	0.000256275	0.000411626	0.000584401	0.000819671	0.00298047	0.00320338	0.00495829	0.00590991	0.00724889	0.00769922	0.0132854	0.0128277	0.0182307	0.0497547	0.111967	0.293595	0.466267
a6	0.000181966	0.000295201	0.00036348	0.00056793	0.00294636	0.00279635	0.00419851	0.00512267	0.00578522	0.00676886	0.0110304	0.012124	0.0186154	0.0712967	0.148809	0.278301	0.430796
a12	0.000221644	0.000355298	0.000498202	0.000683677	0.00327341	0.00302098	0.00455808	0.00550485	0.00616444	0.00690065	0.0106365	0.0106934	0.0164084	0.0620599	0.134357	0.274156	0.460508
a75	0.000365382	0.000628074	0.000853603	0.00131992	0.00558485	0.00428776	0.00650864	0.00783366	0.00880845	0.0106464	0.0126782	0.012093	0.0153902	0.0434974	0.106216	0.263565	0.499723
a47	0.000121492	0.000195282	0.000271929	0.000492481	0.00250475	0.00211769	0.00325133	0.003776	0.00468049	0.00528071	0.00720114	0.00743745	0.0119038	0.0482329	0.115226	0.263112	0.524195
a0	5.84239e-05	0.000110136	0.00016719	0.000334621	0.00245891	0.00177485	0.00234088	0.00277423	0.00337857	0.00443641	0.00545321	0.00558338	0.00915568	0.0419938	0.11212	0.26361	0.544249
a36	0.000414043	0.000527643	0.000686013	0.000952505	0.00306121	0.00265069	0.00340044	0.00278213	0.00326865	0.00381015	0.00526738	0.00555586	0.00918453	0.0390246	0.10712	0.263934	0.54836
a6	0.00167227	0.00105231	0.000893043	0.000894805	0.003138	0.00422642	0.00608813	0.00420886	0.00503166	0.00542639	0.00905611	0.0108547	0.0170165	0.0684038	0.14309	0.268132	0.450815
a36	0.000213293	0.000266398	0.000278108	0.000358455	0.00126205	0.00119319	0.00145344	0.00125487	0.00153122	0.0015449	0.0031848	0.00364427	0.00725035	0.0445008	0.118362	0.286876	0.526825
a7	0.00105875	0.000883923	0.000822374	0.000867723	0.00277926	0.00341237	0.00422865	0.0027539	0.00359513	0.00367628	0.00617004	0.00691478	0.012461	0.0574334	0.135143	0.287621	0.470178
a44	0.000714145	0.000606405	0.000574507	0.000637614	0.0022524	0.00274928	0.00320899	0.00205271	0.00266511	0.00288905	0.00485633	0.00548593	0.00993099	0.0496383	0.127596	0.30064	0.483503
a4	0.000330497	0.000301408	0.000293206	0.000373435	0.00157475	0.0016885	0.00220962	0.00148252	0.00178752	0.00201322	0.00330119	0.00382879	0.00675753	0.0393421	0.117311	0.301745	0.51566
a44	0.000352177	0.000336608	0.00034973	0.00045576	0.00154651	0.00141497	0.00192436	0.00165351	0.00184398	0.00215523	0.00341768	0.00382154	0.00645744	0.0381685	0.113673	0.293521	0.528908
a54	0.000493767	0.000418829	0.000377618	0.000509061	0.00254191	0.00281993	0.00377456	0.0027053	0.00311446	0.00343772	0.00555204	0.00631802	0.0100105	0.0520167	0.141353	0.294178	0.470379
a36	8.3946e-05	9.52941e-05	9.69595e-05	0.000123788	0.000570309	0.000495896	0.000700315	0.000598337	0.000754577	0.000923406	0.00140068	0.00159996	0.00265533	0.0176737	0.0702356	0.278159	0.623833
a11	0.00448324	0.00385857	0.00292718	0.00292288	0.00847559	0.0118004	0.0128563	0.00831159	0.00981608	0.0086035	0.0171598	0.0188975	0.0268276	0.0822102	0.149648	0.240113	0.391089
a27	0.00769746	0.00726391	0.00576146	0.00560782	0.0177911	0.0217366	0.0277181	0.0187244	0.021229	0.0182022	0.0478478	0.0595157	0.0767949	0.121531	0.153311	0.162802	0.226465
a82	0.0334954	0.0337543	0.0300989	0.0204857	0.0353856	0.0481803	0.0519894	0.0308309	0.0344493	0.0314377	0.0808601	0.0967723	0.0987925	0.103126	0.0979767	0.0804242	0.0919405
a97	0.0618854	0.0397008	0.0338834	0.0190518	0.0293428	0.0393038	0.0394286	0.0292474	0.0274216	0.0255904	0.0567858	0.0681585	0.0804093	0.109371	0.11744	0.106807	0.116173
a99	0.0417093	0.0240489	0.0215589	0.0178729	0.0296286	0.0368288	0.044952	0.0443728	0.0369129	0.038052	0.0603136	0.0696746	0.0781512	0.108289	0.115204	0.105447	0.126984
a97	0.0143402	0.00745719	0.00703042	0.00888927	0.0282418	0.0281761	0.0343805	0.0306767	0.0269838	0.0402479	0.0470049	0.0551291	0.0474523	0.0637931	0.100794	0.170189	0.289213
a3	0.010624	0.00643606	0.00671997	0.0095079	0.0273104	0.0248802	0.027913	0.0237932	0.0213267	0.0312056	0.0346669	0.0402123	0.0367529	0.0527024	0.089468	0.184775	0.371705
a10	0.016009	0.0106187	0.0130942	0.0207051	0.0441085	0.0437409	0.0467795	0.0356152	0.0334151	0.0467767	0.0421103	0.0469376	0.039916	0.0483135	0.0747001	0.143152	0.294007
a99	0.0187906	0.0141795	0.0184191	0.0294768	0.0585793	0.0589731	0.0633862	0.049577	0.0472581	0.0604823	0.049642	0.0531669	0.0472436	0.0529219	0.0717747	0.108487	0.197641
a87	0.0181425	0.0113929	0.0123295	0.0186011	0.0390798	0.0357944	0.0374226	0.0289902	0.0272557	0.0379956	0.0354508	0.0398901	0.0355722	0.0482475	0.0812772	0.164634	0.327924
</S>	0.0187907	0.0152032	0.0209024	0.0290602	0.0490741	0.0552036	0.0586167	0.045122	0.0460788	0.0589627	0.0439614	0.04647	0.0446882	0.0539401	0.0776321	0.122206	0.214088
