 	quand	vous	avez	bu	de	l'	alcool	de	maïs	qui	était	ivre	avant	l'	autre	</S>
a75	0.0586581	0.0626836	0.0847677	0.0849833	0.0945548	0.0882147	0.0756374	0.0881801	0.0799348	0.0654932	0.0578233	0.0438047	0.0377965	0.0276593	0.0229426	0.0268659
a6	0.0202068	0.0232555	0.0356203	0.041513	0.0586357	0.0632474	0.0538733	0.0701402	0.0705486	0.072099	0.0734291	0.0743526	0.107862	0.0921517	0.0662918	0.0767724
a37	0.014801	0.015086	0.0182983	0.0228712	0.037798	0.0477689	0.0465815	0.0734466	0.0781095	0.0785056	0.083321	0.0837932	0.113219	0.0996528	0.0826775	0.10407
a6	0.0133738	0.0134185	0.0120229	0.0145967	0.0245196	0.0379423	0.0444668	0.0877273	0.104467	0.102432	0.108524	0.103133	0.103109	0.0773557	0.0654354	0.0874762
a36	0.00628068	0.0067595	0.00751268	0.00794461	0.012311	0.0208626	0.0287482	0.0621219	0.0832343	0.0960297	0.109536	0.116108	0.137524	0.108626	0.0873706	0.10903
a27	0.00525104	0.00495842	0.00491795	0.00487858	0.0065185	0.0109696	0.0144259	0.0354597	0.0611564	0.0913981	0.128674	0.143812	0.136088	0.103447	0.101891	0.146153
a57	0.00977115	0.00846534	0.00447513	0.00503169	0.00629461	0.0100374	0.0176769	0.0373041	0.0447827	0.0588505	0.0910141	0.127269	0.125967	0.113136	0.142823	0.197102
a87	0.022819	0.0233047	0.0114247	0.0133984	0.0144514	0.0188174	0.0238379	0.0344589	0.0339268	0.0457037	0.0748999	0.109525	0.108384	0.0995562	0.155918	0.209575
a23	0.103045	0.0991627	0.0451291	0.0517507	0.0442664	0.04014	0.0328615	0.0249138	0.0186145	0.0193688	0.0265455	0.0385182	0.0611631	0.0847887	0.135732	0.174
a53	0.040606	0.0543866	0.0324947	0.0399392	0.0369852	0.0285963	0.0247625	0.0173024	0.013039	0.00881505	0.0108175	0.0151462	0.0553106	0.133012	0.200348	0.288439
a44	0.0189304	0.0230026	0.0211412	0.0232616	0.027405	0.0369287	0.0351957	0.0463794	0.0435675	0.0338469	0.0296975	0.0318867	0.0711145	0.142099	0.175017	0.240526
a37	0.00660895	0.00700047	0.00602963	0.0101823	0.0169686	0.0314856	0.0260752	0.0356006	0.031269	0.0251672	0.0257865	0.0332491	0.0809975	0.176835	0.214654	0.27209
a47	0.0047912	0.00417588	0.002437	0.00390859	0.00647076	0.0125	0.0115206	0.0174582	0.0174177	0.0169697	0.0229891	0.0357271	0.0916246	0.194847	0.253685	0.303478
a37	0.00397906	0.00326539	0.00165541	0.00240384	0.00407507	0.0078212	0.00890382	0.015351	0.0177469	0.0198506	0.0299085	0.0509602	0.11911	0.20329	0.240527	0.271152
a93	0.00296666	0.00237971	0.00117782	0.00192332	0.00327861	0.00607015	0.00713438	0.0114489	0.0137607	0.0168033	0.0282069	0.0507112	0.119855	0.211621	0.257768	0.264895
a4	0.00201354	0.00169333	0.000817908	0.0016218	0.00275172	0.00440843	0.00496636	0.00667182	0.00805112	0.0106295	0.0199338	0.0335209	0.0760395	0.183464	0.318142	0.325274
a93	0.0014632	0.00116344	0.000627047	0.00112176	0.00199358	0.00340957	0.00405032	0.0053601	0.00652339	0.00877717	0.0166428	0.0278825	0.0541142	0.139059	0.333132	0.39468
a70	0.00101561	0.000857845	0.000468438	0.000901594	0.00153409	0.00246633	0.00307487	0.00438262	0.00569139	0.00780591	0.0154939	0.0262916	0.0506353	0.130249	0.334583	0.414548
a43	0.000887918	0.000798459	0.000415638	0.000867535	0.00139164	0.00218105	0.00287936	0.00432329	0.00543073	0.00633665	0.0108595	0.0194056	0.0436574	0.118885	0.339025	0.442655
a47	0.000832091	0.000792887	0.000481378	0.00107778	0.00158328	0.00295331	0.00482364	0.00647391	0.00701065	0.00722518	0.00993288	0.0179292	0.0460688	0.120258	0.336743	0.435814
a61	0.0012008	0.00104549	0.000557642	0.00129123	0.00223786	0.0041912	0.00622667	0.0084381	0.00959191	0.00991028	0.0138058	0.0255879	0.0617506	0.141469	0.331803	0.380893
a62	0.00115203	0.00100894	0.000496792	0.00112478	0.00195061	0.00329997	0.00471521	0.00661799	0.00804631	0.00850136	0.0123804	0.0216279	0.0501463	0.121931	0.332135	0.424865
a88	0.00100814	0.000939027	0.000533936	0.00129976	0.0022505	0.0039015	0.00586284	0.00896756	0.0118181	0.0116409	0.0150435	0.0260151	0.0584736	0.124558	0.308918	0.418769
a38	0.000487239	0.000460146	0.000353953	0.000843619	0.00144264	0.00273086	0.00421244	0.00668941	0.00886193	0.0100401	0.014001	0.0238684	0.0515243	0.117126	0.315033	0.442325
a25	0.00185455	0.00168007	0.000954686	0.00235732	0.00317044	0.00553787	0.00869305	0.0136921	0.0152688	0.0160892	0.0191955	0.0376625	0.0787665	0.142202	0.281973	0.370903
a87	0.0271535	0.0279152	0.0139665	0.0235974	0.0234178	0.0283238	0.0360881	0.0412401	0.0406968	0.0326106	0.0328918	0.0576475	0.094335	0.117721	0.176657	0.225738
a23	0.146532	0.147693	0.0615314	0.0618464	0.0474201	0.0426878	0.0552358	0.0425777	0.0339185	0.0258599	0.0244999	0.034014	0.043896	0.0553182	0.0769821	0.0999864
a87	0.0694037	0.0898399	0.047409	0.0620917	0.0496288	0.0537393	0.059508	0.0500151	0.0326815	0.0202802	0.0205574	0.0332791	0.0566802	0.0793787	0.113095	0.162413
</S>	0.0112911	0.0169722	0.0164548	0.0270943	0.0198168	0.0206417	0.0197335	0.0186018	0.0143066	0.0141241	0.0187357	0.0365014	0.0744605	0.123889	0.214187	0.35319
