 	la	bonne	qualité	de	sa	marchandise	a	causé	la	mévente	de	la	mienne	</S>
a15	0.00972886	0.0153204	0.0314971	0.0499488	0.0743345	0.0870322	0.106308	0.100989	0.0690595	0.0583189	0.0638433	0.0854954	0.0962288	0.151896
a47	0.00838232	0.0126204	0.0254599	0.0382485	0.0567907	0.0690703	0.0928998	0.096569	0.0750149	0.0655007	0.0723515	0.095304	0.111231	0.180557
a36	0.00858902	0.0106426	0.0195798	0.0299766	0.0392973	0.0399165	0.0558284	0.0605306	0.0438905	0.0528718	0.085027	0.110171	0.126585	0.317094
a37	0.0125918	0.0169329	0.0324903	0.0368044	0.046372	0.0418792	0.0620411	0.0755195	0.0664497	0.0596588	0.07714	0.100317	0.119325	0.252477
a26	0.00963703	0.0142111	0.0349169	0.0398721	0.0520821	0.0420031	0.0578174	0.0706445	0.0658846	0.0652838	0.088464	0.105709	0.120261	0.233213
a38	0.00896954	0.00972327	0.0136501	0.0147204	0.0210986	0.0119284	0.0142613	0.0162428	0.0215275	0.0351295	0.085374	0.111216	0.183747	0.452412
a94	0.00658899	0.00625607	0.00739487	0.00778889	0.0114277	0.00781312	0.0103445	0.0128224	0.0207861	0.0388935	0.0995944	0.13351	0.208709	0.428071
a70	0.00220753	0.00219187	0.00319079	0.00370315	0.00620268	0.00466824	0.00681291	0.00868397	0.0145032	0.0351941	0.103417	0.135482	0.225278	0.448464
a94	0.00123502	0.0015719	0.00310901	0.00409141	0.00703248	0.00501078	0.00719641	0.00934163	0.0173884	0.0464425	0.158332	0.184201	0.239268	0.31578
a43	0.000794272	0.000986327	0.00183698	0.0026242	0.00463617	0.00320382	0.00471807	0.00565896	0.011051	0.0325788	0.14249	0.170465	0.266906	0.352051
a75	0.000583672	0.000587504	0.000896634	0.00122176	0.00226815	0.00167369	0.00258724	0.00296966	0.00600243	0.0185458	0.103091	0.136099	0.276187	0.447286
a47	0.000213153	0.000295797	0.000664725	0.000911155	0.00151383	0.00122472	0.00216995	0.00368452	0.00631021	0.0264079	0.111538	0.138943	0.246582	0.459541
a37	7.62054e-05	9.05855e-05	0.000222772	0.000442865	0.00079956	0.000538359	0.000896622	0.0018371	0.00347549	0.021647	0.124997	0.161827	0.260759	0.422391
a6	0.000545562	0.000453902	0.000667509	0.00106963	0.00162558	0.000929856	0.00123867	0.00193054	0.00480626	0.0187372	0.0986321	0.127549	0.296944	0.44487
a36	0.000162042	0.000147928	0.000251543	0.000454062	0.000773532	0.000508246	0.000726256	0.00140204	0.00317291	0.0141976	0.0878948	0.118565	0.292261	0.479483
a2	0.0011835	0.000770848	0.000778304	0.00126261	0.00168943	0.00116219	0.00157456	0.00260061	0.00485182	0.0153659	0.0761068	0.112614	0.29527	0.484769
a57	0.0185154	0.0109609	0.00639532	0.00568181	0.00507341	0.00529141	0.0124229	0.0155998	0.023595	0.0360029	0.105258	0.150683	0.257486	0.347034
a97	0.0451647	0.0234695	0.0171878	0.0167588	0.0155153	0.0261011	0.042786	0.0376927	0.053123	0.0519425	0.0971506	0.12263	0.194362	0.256116
a87	0.051958	0.0237175	0.0230748	0.0322929	0.0392054	0.0730761	0.06686	0.0577114	0.0854535	0.0605146	0.0981004	0.0996516	0.134405	0.153979
a97	0.021814	0.0108592	0.011615	0.0202475	0.0291994	0.0572689	0.0613676	0.0784494	0.101073	0.0800463	0.125935	0.132346	0.133635	0.136144
a99	0.0272163	0.0105809	0.0110262	0.0195074	0.0270531	0.0483039	0.0609941	0.0706692	0.0807732	0.0610609	0.106403	0.126803	0.154058	0.195551
a97	0.0127998	0.00483521	0.00486494	0.00849979	0.0118537	0.0199989	0.0318861	0.0405226	0.0439594	0.0387289	0.110999	0.166441	0.232518	0.272093
</S>	0.00927351	0.00486116	0.0071149	0.0125539	0.0190978	0.0382709	0.0509202	0.0470664	0.0555601	0.0348943	0.0925954	0.12861	0.207844	0.291337
