 	il	a	versé	les	arrhes	sur	la	dot	de	sa	femme	</S>
a84	0.00268721	0.00318226	0.00582572	0.01446	0.0288081	0.0357614	0.0514577	0.0543597	0.0901982	0.12887	0.219579	0.36481
a57	0.000675554	0.00079092	0.00101244	0.00293832	0.008359	0.0112196	0.02396	0.026071	0.0635965	0.137276	0.277979	0.446122
a87	0.000842402	0.00085257	0.00100375	0.00187851	0.00559618	0.00714385	0.0166026	0.0221539	0.0609762	0.129989	0.303547	0.449414
a23	0.00124469	0.000949169	0.000971106	0.0017171	0.0058033	0.00846391	0.0137032	0.0212731	0.0548907	0.115805	0.316964	0.458215
a54	0.00145744	0.00120941	0.00103452	0.00184318	0.00421543	0.00667634	0.0131252	0.0248755	0.0818837	0.160806	0.312254	0.39062
a73	0.00562972	0.0052723	0.00686886	0.0149689	0.0334642	0.0332146	0.0365394	0.0419384	0.0718477	0.110763	0.239476	0.400017
a94	0.00128884	0.00223218	0.00412812	0.0143235	0.0448555	0.0439342	0.048965	0.0499712	0.0752144	0.110121	0.233962	0.371004
a20	0.00132516	0.00188068	0.00283743	0.00774207	0.0221804	0.0243838	0.0369323	0.0420073	0.0723758	0.115302	0.252096	0.420936
a73	0.00200341	0.00270784	0.00403419	0.0115357	0.0225823	0.0255651	0.0368623	0.0402257	0.0712863	0.112218	0.243411	0.427568
a32	0.000418298	0.000757457	0.00146449	0.00465169	0.013716	0.0157021	0.026811	0.0305875	0.0567113	0.101901	0.259846	0.487433
a75	0.000376738	0.000548317	0.000947513	0.00317826	0.0100728	0.0131311	0.0250551	0.0280074	0.0571296	0.106747	0.262111	0.492695
a73	0.00132301	0.00178501	0.00303433	0.00965438	0.0232784	0.0270007	0.043455	0.0454503	0.076461	0.112473	0.244352	0.411733
a20	0.000866432	0.00145196	0.00254959	0.00758421	0.0171592	0.0222897	0.0366228	0.0403513	0.069971	0.110692	0.249118	0.441344
a84	0.000960528	0.0014735	0.00254524	0.00661921	0.0140592	0.0183131	0.0304604	0.035818	0.0678338	0.116713	0.259964	0.44524
a87	0.000379094	0.000497314	0.000624006	0.00162227	0.00369245	0.00574269	0.0119037	0.0171627	0.0501597	0.126013	0.296247	0.485956
</S>	0.0013215	0.00140712	0.00123419	0.00269504	0.00812099	0.0132732	0.0225869	0.0374782	0.0863602	0.154951	0.282148	0.388424
