 	sa	manière	de	nous	apprendre	à	écrire	est	mauvaise	</S>
a79	0.00239887	0.00296119	0.00554404	0.0101861	0.0341281	0.0724598	0.109044	0.166604	0.239705	0.356968
a44	0.00121013	0.00152495	0.00332977	0.00598253	0.0176825	0.0450743	0.0784087	0.156811	0.275701	0.414275
a96	0.00208134	0.00181817	0.00293694	0.00490997	0.0159669	0.0562572	0.101355	0.172127	0.259036	0.383512
a0	0.000752079	0.000482639	0.00083891	0.00186051	0.011457	0.0562195	0.121568	0.177021	0.28109	0.348711
a24	0.000563163	0.00037483	0.000608804	0.00122814	0.00832982	0.0532865	0.103355	0.163899	0.304429	0.363926
a83	0.000547504	0.000331172	0.00043699	0.000683923	0.00380577	0.0295098	0.0725275	0.13796	0.326039	0.428158
a9	0.000240091	0.00020685	0.000295849	0.00049314	0.00268432	0.0233667	0.052262	0.116919	0.313344	0.490188
a0	0.00523902	0.00383972	0.0043644	0.00414429	0.00877652	0.0322071	0.0630434	0.138605	0.304946	0.434834
a21	0.0143523	0.00822216	0.00809414	0.00764416	0.0112644	0.0379762	0.0793428	0.164514	0.295906	0.372683
a12	0.000131341	7.44587e-05	0.000101139	0.000180981	0.00107825	0.0172794	0.0515578	0.138058	0.319386	0.472153
a34	8.96851e-05	6.43423e-05	8.83684e-05	0.000178021	0.00113047	0.0147439	0.0492266	0.133734	0.314755	0.48599
a12	0.000101551	7.40577e-05	0.00010317	0.000222485	0.00159694	0.0185863	0.0546433	0.133213	0.31285	0.47861
a18	9.48768e-05	5.71532e-05	8.76801e-05	0.000189653	0.00149554	0.0165488	0.0588331	0.143993	0.326894	0.451806
a71	0.000384253	0.000276474	0.000416763	0.000470093	0.00139106	0.0136837	0.0383821	0.117407	0.325388	0.502201
a62	0.00250699	0.00169248	0.00205817	0.00214648	0.00362682	0.0198771	0.0488035	0.125778	0.296656	0.496854
a88	0.000162454	0.000111063	0.000164946	0.000273943	0.00144294	0.0184351	0.0550284	0.138191	0.32153	0.46466
a62	0.000245179	0.000198798	0.000324347	0.000438037	0.00144153	0.0139732	0.0400903	0.11976	0.307545	0.515983
a83	0.000252096	0.000219424	0.000358013	0.000505134	0.00172671	0.0177161	0.0464911	0.129373	0.305083	0.498275
a71	0.000281519	0.000257358	0.000431147	0.000599049	0.00176836	0.0135335	0.0369994	0.112062	0.293318	0.540749
a50	0.00234227	0.00181796	0.00258235	0.00268838	0.00416764	0.0216623	0.0505515	0.118457	0.285349	0.510382
a83	0.00205197	0.00159664	0.00238867	0.00253475	0.00420439	0.0220708	0.051085	0.115991	0.276261	0.521816
a9	0.000332577	0.000323702	0.000570539	0.000736093	0.00183355	0.0141985	0.0409774	0.113918	0.284407	0.542704
a87	0.0066165	0.00476197	0.00683318	0.00686129	0.00848232	0.0323573	0.0629342	0.126714	0.269934	0.474505
a23	0.0541179	0.0258664	0.0241278	0.0199532	0.0177458	0.0407119	0.0813742	0.144654	0.236451	0.354997
a87	0.0561744	0.0204757	0.0155669	0.0124362	0.0144293	0.0439013	0.0957718	0.18256	0.244528	0.314157
</S>	0.023686	0.00751271	0.00664422	0.00631633	0.0100927	0.0385397	0.0766927	0.163482	0.275332	0.391702
