 	elle	a	mis	une	amulette	sur	le	cou	de	son	bébé	pour	qu'	il	grandisse	bien	</S>
a98	0.0234667	0.0276056	0.0354519	0.0504591	0.0706613	0.093307	0.0955647	0.104566	0.0896741	0.0770355	0.0667517	0.0592452	0.0452931	0.0447624	0.039909	0.0377072	0.0385396
a73	0.0201515	0.0258945	0.0326955	0.0460636	0.0635106	0.0822219	0.0957997	0.0981859	0.090066	0.0807254	0.0689305	0.0675549	0.0512739	0.0478749	0.0429982	0.0427765	0.0432764
a76	0.0100052	0.01353	0.0184272	0.0301808	0.049871	0.0819126	0.102232	0.120999	0.108926	0.0946843	0.0753526	0.0682328	0.0498917	0.0474415	0.0415	0.0419176	0.0448962
a90	0.0178038	0.0233357	0.0295869	0.0407259	0.0556242	0.0762732	0.093506	0.103002	0.0939588	0.0826191	0.0691901	0.067519	0.0514619	0.0481949	0.0480645	0.0478716	0.0512624
a13	0.0164199	0.0205794	0.0241901	0.0316174	0.0414452	0.0608911	0.0849533	0.111294	0.118117	0.103981	0.086951	0.0787794	0.054657	0.0452647	0.042752	0.0370836	0.0410244
a75	0.00605488	0.00711021	0.0104268	0.0211181	0.0343266	0.0534074	0.0835115	0.10543	0.129193	0.117998	0.0921609	0.0918931	0.0604721	0.0451264	0.0450689	0.0439778	0.0527243
a41	0.0103075	0.0133164	0.0193293	0.0312742	0.0387664	0.0481248	0.0731162	0.0972109	0.105072	0.0929679	0.084127	0.0849298	0.0606498	0.0490923	0.0616826	0.0619854	0.0680477
a35	0.00769471	0.0102125	0.0148239	0.0241086	0.0329552	0.0490776	0.0744754	0.109769	0.0985828	0.0843335	0.0819753	0.0736335	0.0565021	0.053797	0.0671198	0.0786064	0.0823331
a41	0.0102851	0.0128658	0.0170087	0.0262323	0.0338167	0.0440057	0.0677996	0.093898	0.0932588	0.0839956	0.0763765	0.074244	0.0542196	0.0495788	0.0661823	0.089561	0.106672
a25	0.00723141	0.00904795	0.0118029	0.0187469	0.0243303	0.0365111	0.0594194	0.0950272	0.0934294	0.0830708	0.0742944	0.0694816	0.0527019	0.0521362	0.0720463	0.108988	0.131734
a10	0.00943018	0.0108669	0.0122709	0.0192697	0.029323	0.0459301	0.0707181	0.105065	0.102922	0.087335	0.068386	0.0651664	0.0513292	0.0507219	0.0664537	0.0901232	0.114688
a76	0.00620469	0.00774438	0.00962177	0.0144468	0.0203032	0.0364908	0.0726986	0.105043	0.112269	0.0830002	0.0678307	0.0742323	0.0659579	0.0619029	0.0749023	0.0835048	0.103846
a90	0.00810054	0.00824679	0.00890718	0.012766	0.0197882	0.0339901	0.0618758	0.101158	0.0933914	0.0683552	0.0579631	0.0600274	0.0495025	0.0540767	0.0855487	0.121942	0.154361
a25	0.00585698	0.0065938	0.00904575	0.0138364	0.018676	0.0275793	0.0470163	0.0778209	0.0846621	0.0670523	0.0631683	0.0687623	0.061163	0.0618493	0.098322	0.132265	0.15633
a38	0.00231905	0.00271307	0.00432991	0.00892646	0.0157521	0.0293342	0.0498628	0.0725031	0.0759464	0.0606947	0.0555634	0.0622022	0.0587024	0.064232	0.103493	0.14442	0.189005
a26	0.00227154	0.00227307	0.00304233	0.00612955	0.0109099	0.0230894	0.0524398	0.0784984	0.0793974	0.058476	0.0485652	0.0588967	0.0564492	0.0593986	0.100963	0.150656	0.208544
a24	0.00156938	0.0017547	0.00262276	0.00547423	0.0101163	0.0204918	0.0493733	0.076979	0.085192	0.063686	0.0538339	0.0657422	0.0590829	0.0580874	0.0896259	0.14426	0.212109
a66	0.0021802	0.00264866	0.00406305	0.00739698	0.0113508	0.0205267	0.0398931	0.063524	0.0681343	0.0553361	0.0507435	0.0571596	0.0522226	0.05314	0.088705	0.163782	0.259193
a26	0.00301745	0.00349418	0.00478815	0.00877477	0.0151078	0.0254935	0.0611454	0.0852362	0.093224	0.0702638	0.0538887	0.0660829	0.0573981	0.0545429	0.0772962	0.12805	0.192196
a24	0.00309187	0.00310182	0.00387424	0.00656925	0.0107643	0.0200442	0.0525501	0.076782	0.0782695	0.0534091	0.0433002	0.0529193	0.0483054	0.0495042	0.079169	0.163398	0.254948
a25	0.0017586	0.00216135	0.00332955	0.00622417	0.0107231	0.0194433	0.0388586	0.0602098	0.0691103	0.0564955	0.0524198	0.0611876	0.0560061	0.0564578	0.0827572	0.160805	0.262052
a87	0.00218557	0.00216176	0.00278659	0.00507971	0.00926975	0.017052	0.0414895	0.0603264	0.0673851	0.0517807	0.0422045	0.055543	0.0524219	0.0529527	0.0856233	0.178028	0.273709
a23	0.00530429	0.00474601	0.00511725	0.00680029	0.00976134	0.0146473	0.0304627	0.0379543	0.035509	0.0276654	0.0252771	0.0327461	0.0329686	0.0383297	0.0807402	0.216723	0.395247
a24	0.0117396	0.00900196	0.00772564	0.00907489	0.0122479	0.0179135	0.0347427	0.0474666	0.0439972	0.0347226	0.0379781	0.0474669	0.0499075	0.0609377	0.120487	0.197419	0.257171
a98	0.0017587	0.00197008	0.00293888	0.00661807	0.0138471	0.0276975	0.0608253	0.0714185	0.0647757	0.050371	0.0421516	0.0511732	0.0493513	0.055085	0.0928755	0.16414	0.243003
a38	0.000599918	0.000744692	0.00121385	0.0028361	0.00676313	0.0207001	0.056796	0.077251	0.0590761	0.0415537	0.0354316	0.0421508	0.0438066	0.0602753	0.102352	0.183879	0.26457
a14	0.00149145	0.00186893	0.00272702	0.00516867	0.0103591	0.0242458	0.0638728	0.0910894	0.0746681	0.0521564	0.0388298	0.0429241	0.0412625	0.0529062	0.0846109	0.158894	0.252925
a41	0.00109284	0.00134746	0.00195648	0.00403645	0.00746239	0.0174409	0.0456032	0.0649696	0.0556482	0.0409183	0.0347174	0.0403944	0.0399378	0.0512343	0.0932786	0.199689	0.300273
a35	0.000832512	0.00109395	0.00173398	0.00410952	0.00815417	0.0195354	0.0477859	0.0684627	0.0640508	0.0489459	0.0409907	0.0453165	0.0431673	0.0526858	0.0896843	0.1882	0.275251
a98	0.000735397	0.000939887	0.00150048	0.00349738	0.00679478	0.0161556	0.0373415	0.0567916	0.0538527	0.0433516	0.0392358	0.0437707	0.0430399	0.0554427	0.0973037	0.205966	0.294281
a73	0.000735612	0.000953922	0.00153866	0.00335146	0.00623399	0.015203	0.0310356	0.053039	0.0448828	0.0348526	0.0346214	0.0378864	0.0404464	0.0623317	0.118878	0.226763	0.287246
a76	0.000561798	0.000711027	0.00114675	0.00272348	0.00535283	0.0133706	0.0323548	0.0567006	0.0519037	0.0392341	0.0345897	0.0374931	0.0384764	0.0525012	0.0968	0.217801	0.318279
a73	0.00173369	0.00194922	0.00269094	0.0049646	0.00764444	0.0139554	0.0242945	0.0432479	0.0366974	0.0286888	0.0293457	0.0315711	0.0347805	0.0521769	0.117344	0.24623	0.322685
a98	0.000931191	0.00111445	0.00164602	0.00350893	0.0063381	0.014669	0.030071	0.0543328	0.0448227	0.0344656	0.0319139	0.0329918	0.0342057	0.0522527	0.107234	0.231709	0.317793
a14	0.0024432	0.00276729	0.00325364	0.00541808	0.00744806	0.0134766	0.0227799	0.0441524	0.037264	0.0289879	0.0311617	0.0326261	0.034865	0.0537404	0.117333	0.245318	0.316964
a94	0.0013415	0.00151545	0.00204269	0.00372668	0.00553773	0.0111538	0.0218106	0.0438823	0.0384654	0.0303272	0.029392	0.0303881	0.0312268	0.0478825	0.100244	0.250664	0.350399
a75	0.00196361	0.0020981	0.00283775	0.00528662	0.00949435	0.0157366	0.0289833	0.0452494	0.0388033	0.0295317	0.0276444	0.0319124	0.035108	0.0454612	0.0912232	0.217031	0.371635
a14	0.00116809	0.00107794	0.00131952	0.00230305	0.00396752	0.00846953	0.0136868	0.0267107	0.0227957	0.0190744	0.0240028	0.0272448	0.0326011	0.0523349	0.110284	0.279809	0.37315
a73	0.00175734	0.00181822	0.00241127	0.00406666	0.00606313	0.0110008	0.0182224	0.0343405	0.0295318	0.0232597	0.0261688	0.0284863	0.0316379	0.0473178	0.104822	0.265658	0.363437
a84	0.00143415	0.00142436	0.00178444	0.00332691	0.00602779	0.0127428	0.0241163	0.0412235	0.0335281	0.0267825	0.0286102	0.0319584	0.0356436	0.0555603	0.108395	0.245167	0.342274
a57	0.00571138	0.00545087	0.00617194	0.00883507	0.0111984	0.0139918	0.0235854	0.0316198	0.0332785	0.0294224	0.0317336	0.0386235	0.0409622	0.0435753	0.0819724	0.205281	0.388586
a10	0.00567778	0.00434893	0.00354315	0.00428782	0.0064392	0.00963387	0.0156313	0.020696	0.021985	0.0219375	0.0296065	0.0433461	0.0527483	0.0664596	0.124606	0.241219	0.327834
a87	0.00440473	0.00400891	0.00397686	0.00509806	0.00902895	0.0158326	0.0291711	0.0393377	0.0344499	0.0334044	0.0392884	0.0521621	0.0565884	0.0707519	0.107118	0.209465	0.285912
</S>	0.00823604	0.00742541	0.00625884	0.00702362	0.0112612	0.016832	0.0294321	0.0374293	0.0306749	0.0295648	0.0343044	0.0453823	0.0480648	0.0592422	0.0932119	0.19773	0.337926
