 	itoua	est	taquin	c'	est	pourquoi	ses	amis	refusent	de	lui	parler	</S>
a21	0.0123682	0.00937749	0.0225805	0.0249288	0.021209	0.0228281	0.0169926	0.0428969	0.0724571	0.0912857	0.161481	0.231035	0.270559
a85	0.0163621	0.0182143	0.0416265	0.0386583	0.0254917	0.0255494	0.0296365	0.0515181	0.0747065	0.108428	0.180409	0.209903	0.179497
a79	0.00803385	0.00907005	0.0340486	0.0394309	0.0282176	0.030719	0.0344265	0.0536502	0.0662258	0.0903772	0.15266	0.22399	0.22915
a56	0.00644286	0.00818456	0.0370462	0.0472944	0.0360646	0.0387233	0.0479536	0.0587564	0.0694378	0.100414	0.167867	0.188261	0.193554
a90	0.0102021	0.0125883	0.0545086	0.0615137	0.0494694	0.0539343	0.0647855	0.0732675	0.0754103	0.103028	0.152308	0.148073	0.140912
a98	0.00624363	0.00849414	0.0424115	0.0504057	0.0373481	0.0421436	0.0562464	0.0641824	0.0694916	0.0955585	0.167007	0.181	0.179467
a47	0.00403294	0.00580805	0.0312128	0.0440341	0.0331659	0.036011	0.0438277	0.0505946	0.0551021	0.0853054	0.159874	0.20028	0.250752
a37	0.00530743	0.00610569	0.0235337	0.0348696	0.028425	0.0275897	0.0251326	0.0272008	0.0319518	0.0884222	0.17438	0.199219	0.327862
a21	0.00657551	0.00622099	0.0185825	0.024565	0.0232333	0.0257851	0.0309039	0.0317768	0.0302889	0.0752501	0.1604	0.22434	0.342077
a85	0.00202589	0.00248573	0.0101209	0.0130421	0.0110593	0.0121811	0.0175254	0.0264863	0.0213728	0.0870715	0.22296	0.292628	0.28104
a92	0.00163924	0.00162216	0.00654007	0.00974338	0.00905698	0.00986731	0.0108463	0.0131455	0.0133326	0.0557038	0.171636	0.283953	0.412914
a37	0.00129163	0.00143748	0.00633571	0.0103772	0.00916976	0.0111388	0.0159984	0.0207199	0.0194967	0.0798798	0.188703	0.268665	0.366786
a26	0.00387168	0.00424222	0.0130736	0.017386	0.0167133	0.015902	0.0167425	0.0162361	0.0127896	0.0491799	0.128996	0.242011	0.462856
a54	0.00960097	0.00942711	0.014011	0.0166149	0.0184746	0.0179725	0.0124958	0.0103824	0.0107958	0.038506	0.113969	0.201303	0.526447
a37	0.00243092	0.00209889	0.00331517	0.00405959	0.00393798	0.00390304	0.00303574	0.00359932	0.00374198	0.0214969	0.0894994	0.266666	0.592215
a75	0.00421668	0.00380866	0.00489186	0.00558793	0.00614601	0.00617293	0.00381541	0.00384579	0.00389239	0.0201892	0.0836931	0.222441	0.631299
a56	0.00253044	0.00247709	0.00419293	0.00477097	0.00459878	0.00446041	0.00366226	0.00419183	0.00398318	0.0199578	0.0798371	0.246913	0.618425
a44	0.00280171	0.00286223	0.00568411	0.00735496	0.00792019	0.0076217	0.00494006	0.00536035	0.00512205	0.0255353	0.0930278	0.225223	0.606546
a94	0.00320724	0.00331653	0.00499396	0.00700637	0.00815362	0.00803447	0.0039003	0.00490425	0.00662079	0.0327653	0.113982	0.22849	0.574625
a0	0.0055122	0.0054614	0.00781902	0.010925	0.0126806	0.012699	0.00621953	0.00811036	0.0116946	0.0464706	0.124709	0.217817	0.529881
a62	0.00822774	0.00745291	0.00960738	0.0127244	0.0146605	0.013384	0.00763344	0.00840093	0.0139175	0.045104	0.129272	0.216806	0.51281
a88	0.00318184	0.00310271	0.00613046	0.00705649	0.00730714	0.00783038	0.00456204	0.00534495	0.00609023	0.0274031	0.102902	0.212758	0.606331
a71	0.00259157	0.00254647	0.00478096	0.00604465	0.00622472	0.00637485	0.00408114	0.00471376	0.00526422	0.0243599	0.101679	0.223796	0.607543
a9	0.0201808	0.0178718	0.0247041	0.0253651	0.0232917	0.0199953	0.0174069	0.0161647	0.0208409	0.0568046	0.132569	0.192553	0.432252
a87	0.0463874	0.0307974	0.0379486	0.0436662	0.042704	0.0341384	0.0296687	0.0320822	0.0408451	0.0746731	0.135055	0.16802	0.284013
a23	0.0820305	0.0358662	0.0336959	0.0411116	0.0371906	0.032653	0.0375077	0.0540202	0.0558098	0.0786128	0.129659	0.156408	0.225435
a87	0.0857618	0.030303	0.022286	0.0213941	0.0175887	0.015641	0.0151835	0.0286227	0.0257433	0.049532	0.113285	0.222763	0.351896
</S>	0.0424642	0.0145487	0.0123017	0.0124546	0.00934689	0.00888549	0.0116366	0.0212369	0.0195634	0.0342582	0.0894998	0.230483	0.493321
