 	avec	la	manière	dont	il	remblaie	les	trous	il	peut	en	remplir	cent	par	jour	</S>
a36	0.00788188	0.00918215	0.011338	0.0238158	0.0456236	0.0421926	0.0730804	0.0746321	0.10071	0.0918445	0.109416	0.0885659	0.0709602	0.0534678	0.0740791	0.12321
a2	0.0143582	0.0171753	0.027022	0.0505925	0.0914893	0.0789775	0.0889091	0.0798068	0.0969052	0.0745372	0.122044	0.0744	0.0682779	0.0324872	0.0276131	0.0554044
a57	0.018575	0.0206159	0.0324255	0.0558051	0.106212	0.0832404	0.106188	0.0937577	0.107348	0.0927631	0.123535	0.0691892	0.0435953	0.0160076	0.0108446	0.0198974
a87	0.0263605	0.0214929	0.0247104	0.0396858	0.0844339	0.073048	0.0962375	0.0968857	0.112737	0.106757	0.121923	0.0798423	0.050224	0.0214405	0.0160947	0.0281273
a57	0.0358024	0.0242881	0.0229763	0.0364008	0.0816896	0.100823	0.126562	0.114988	0.111128	0.0863626	0.0738675	0.0513351	0.0410591	0.0262831	0.0242886	0.0421455
a83	0.0297646	0.0177751	0.0212058	0.0385806	0.0836063	0.11321	0.131393	0.106161	0.100557	0.0893667	0.0713805	0.0572035	0.0446557	0.026751	0.026646	0.0417423
a75	0.00684008	0.00759954	0.0122753	0.0274808	0.0555834	0.0727783	0.0830972	0.0795793	0.0816161	0.0647123	0.0685064	0.068749	0.080308	0.072255	0.0893753	0.129244
a47	0.0100354	0.00979364	0.0130998	0.0230283	0.0395642	0.0618212	0.071658	0.0816518	0.073222	0.0585791	0.0560934	0.0451943	0.0586226	0.0722496	0.121127	0.204259
a85	0.00438729	0.0065753	0.012354	0.0218502	0.0383881	0.0570927	0.0730554	0.0803484	0.0804541	0.059183	0.0619241	0.0509387	0.0706051	0.0793571	0.119103	0.184383
a92	0.00331847	0.0056619	0.0151166	0.030658	0.0486105	0.0558499	0.0796964	0.0861462	0.0787716	0.0590432	0.057517	0.0495208	0.0581381	0.064613	0.114453	0.192886
a56	0.00440476	0.00652462	0.012834	0.0241525	0.0428888	0.044193	0.0573743	0.0646079	0.0673958	0.0590862	0.0645938	0.0556888	0.0629976	0.0758561	0.133827	0.223575
a44	0.00383138	0.00538736	0.0116874	0.0237427	0.0460317	0.0427742	0.0579859	0.0599051	0.0693125	0.0672409	0.0755734	0.0672506	0.0728631	0.0808631	0.125777	0.189773
a11	0.00239813	0.00288211	0.00554554	0.0128217	0.033149	0.032663	0.047995	0.0480659	0.0677707	0.059228	0.0773958	0.0653977	0.0869579	0.0905034	0.14098	0.226246
a62	0.00495735	0.00435398	0.00541094	0.0102549	0.0280437	0.0299233	0.0422329	0.0417172	0.0633161	0.0532711	0.0749952	0.0646793	0.0906887	0.092864	0.149716	0.243576
a43	0.005977	0.00621001	0.00831083	0.0155949	0.0356384	0.0302879	0.0465596	0.0410352	0.0603329	0.0589058	0.0720579	0.0634454	0.083421	0.0899682	0.148999	0.233256
a25	0.00401279	0.00413136	0.00626217	0.0123688	0.0286265	0.0313169	0.0445755	0.0408121	0.0559841	0.0464081	0.0635654	0.060577	0.0850294	0.0890201	0.158173	0.269136
a69	0.00830993	0.00699409	0.00928937	0.0148072	0.0317563	0.035308	0.04615	0.0439767	0.0614442	0.0527766	0.0640023	0.0660091	0.0780289	0.0737905	0.13618	0.271177
a54	0.00238816	0.00229314	0.00327515	0.00505875	0.0115818	0.0106525	0.0176809	0.0202596	0.0357114	0.0317054	0.0444632	0.0476796	0.0792996	0.0885294	0.17833	0.421091
a98	0.000691149	0.000773595	0.00175792	0.00387575	0.0107705	0.00934677	0.0203826	0.0259796	0.0445004	0.0401397	0.0476539	0.0524063	0.0739222	0.0731056	0.165353	0.429341
a79	0.00102363	0.00123803	0.00233362	0.00458089	0.00998205	0.00816563	0.0203551	0.0270943	0.0417221	0.0385269	0.0447295	0.0517942	0.0645663	0.0674761	0.159069	0.457343
a25	0.000637403	0.000800664	0.00183567	0.00403798	0.00988498	0.00717	0.0172929	0.0208596	0.0330332	0.0299911	0.0360659	0.0430314	0.0530975	0.0540918	0.151409	0.536761
a79	0.000661306	0.000870265	0.0021204	0.00455267	0.00998452	0.0075476	0.0184988	0.0197277	0.0294787	0.0283456	0.0309257	0.0422603	0.0472272	0.0513068	0.161867	0.544625
a25	0.000965591	0.00107637	0.0019441	0.00362204	0.00857289	0.00619068	0.0154224	0.0162264	0.0281893	0.0287081	0.035422	0.0452572	0.0539985	0.0579574	0.168913	0.527534
a69	0.000620786	0.000708393	0.00148486	0.00326933	0.00772194	0.00571122	0.0157857	0.0166933	0.0285083	0.0274958	0.0312699	0.0401609	0.0447654	0.0485708	0.162844	0.56439
a53	0.00190526	0.00166385	0.00239701	0.00371115	0.00741845	0.00656	0.0144469	0.0167903	0.0290932	0.0291446	0.0351615	0.0444633	0.0563181	0.0678875	0.176189	0.50685
a69	0.00213457	0.00180896	0.00244352	0.00349237	0.00612786	0.00482781	0.0104345	0.0120053	0.0214061	0.0240283	0.0303735	0.0374987	0.0493819	0.0635107	0.17633	0.554196
a4	0.00209324	0.00182611	0.00236339	0.00369098	0.00655903	0.00476666	0.011023	0.0123993	0.0228103	0.0222054	0.0299964	0.0327723	0.052316	0.0712154	0.176684	0.547279
a58	0.00392903	0.00352354	0.00393052	0.00641482	0.0100379	0.0077349	0.0145273	0.0142123	0.0209992	0.0159499	0.0210966	0.0221807	0.0445676	0.0649194	0.178244	0.567732
a84	0.0194829	0.0162339	0.0151417	0.0215922	0.0291547	0.0215025	0.0405552	0.0317503	0.0370123	0.0297434	0.0319998	0.0359623	0.0525306	0.0662585	0.167311	0.383769
a57	0.0476496	0.0356557	0.0280219	0.0316066	0.0366518	0.0265681	0.0397628	0.0315554	0.0360988	0.0301756	0.032474	0.0376438	0.0640735	0.0959896	0.170584	0.255489
a87	0.05913	0.0307153	0.0215296	0.0212167	0.0248176	0.019322	0.0280183	0.0244755	0.0341346	0.0335481	0.0436828	0.0510309	0.0876547	0.125196	0.175448	0.22008
a23	0.0489852	0.016882	0.0104779	0.0122959	0.024214	0.0239969	0.038193	0.0269155	0.0354043	0.0344493	0.0436757	0.0654881	0.102951	0.136981	0.181837	0.197253
a97	0.00924464	0.00497618	0.00518937	0.00630098	0.0107689	0.011921	0.0256406	0.0203558	0.0253936	0.0251816	0.0269538	0.0632512	0.103913	0.125692	0.219009	0.316208
a87	0.0206984	0.0125854	0.015305	0.0176319	0.0275595	0.0358562	0.0504666	0.0378816	0.0460462	0.0377323	0.0348916	0.0640321	0.0777335	0.0828281	0.141742	0.297009
</S>	0.0543291	0.0289709	0.0286394	0.0307655	0.0431619	0.0558696	0.0593856	0.0426533	0.0445069	0.0414628	0.0417033	0.0684456	0.0706222	0.0724427	0.115396	0.201646
