 	il	n'	y	a	pas	assez	de	travailleurs	pour	déplacer	cet	arbre	abattu	</S>
a41	0.0219117	0.0291613	0.0389721	0.0584902	0.0899611	0.106366	0.098574	0.114392	0.10369	0.0823806	0.0569278	0.0543772	0.0555247	0.0892718
a24	0.0190636	0.0290238	0.0362274	0.048339	0.0774105	0.111496	0.0994068	0.112282	0.118531	0.0839663	0.0648871	0.0555209	0.0555215	0.0883247
a25	0.0152553	0.0201078	0.0250988	0.0328	0.0519517	0.0823057	0.0858532	0.10924	0.138026	0.103843	0.0809642	0.0735171	0.0701506	0.110887
a38	0.0119779	0.018202	0.0247062	0.0317904	0.0561134	0.118343	0.127397	0.137753	0.206413	0.0901887	0.0566938	0.0356118	0.0298387	0.0549711
a73	0.0125232	0.0188287	0.025059	0.0315447	0.0500266	0.101433	0.109325	0.124984	0.180529	0.0934044	0.0827292	0.0557377	0.0438097	0.070066
a2	0.00984069	0.0152166	0.0209881	0.0295388	0.0548297	0.114439	0.121108	0.139722	0.183581	0.0871311	0.076655	0.0533611	0.040674	0.052915
a57	0.0125075	0.017424	0.0230899	0.0312948	0.0522063	0.102267	0.108001	0.141044	0.213398	0.100731	0.0708166	0.0423684	0.0327805	0.0520717
a87	0.00860425	0.0106518	0.0135431	0.0192621	0.0386637	0.0865825	0.0961123	0.159165	0.251008	0.123971	0.0740299	0.0413926	0.0305247	0.0464902
a23	0.0133638	0.0145686	0.0179517	0.0234039	0.0394868	0.0459975	0.0555853	0.0921268	0.080817	0.0985098	0.102873	0.115905	0.130797	0.168614
a13	0.00623775	0.00563832	0.00739338	0.0105097	0.017608	0.0211945	0.0259874	0.0332585	0.0214946	0.033443	0.0473965	0.0691914	0.171705	0.528942
a24	0.00252103	0.00403266	0.00620133	0.00848345	0.0169976	0.0221613	0.0334602	0.040415	0.0339259	0.0270687	0.0597303	0.0920098	0.185351	0.467642
a25	0.0166163	0.0167777	0.0176043	0.0244237	0.0439667	0.0547525	0.0609796	0.0628914	0.0581433	0.0352177	0.0446907	0.0602841	0.12429	0.379362
a38	0.00331634	0.00503732	0.00716163	0.00996487	0.0197441	0.0362829	0.0453886	0.0588103	0.0769269	0.0482739	0.0678395	0.075386	0.128618	0.417249
a73	0.00224148	0.00307196	0.00424814	0.00598226	0.0138003	0.0304249	0.0422091	0.0558371	0.0916134	0.0526881	0.0870229	0.0895146	0.140108	0.381238
a37	0.00317231	0.0045142	0.00596926	0.00854316	0.0187913	0.0394903	0.0517325	0.0717208	0.109644	0.0569198	0.0909579	0.0840587	0.122728	0.331757
a24	0.00383062	0.00511854	0.00692219	0.0104275	0.0200669	0.0405886	0.0473133	0.0576675	0.088339	0.0440586	0.0713098	0.0746296	0.128943	0.400785
a43	0.00344791	0.00410724	0.0047425	0.00567967	0.00894784	0.0148636	0.018786	0.0327717	0.0629383	0.0470839	0.100126	0.104643	0.173323	0.41854
a11	0.00323157	0.00377316	0.00439951	0.00500703	0.00797044	0.0169752	0.0236384	0.0421582	0.0894367	0.0593754	0.133509	0.116424	0.162759	0.331342
a75	0.0039151	0.0047144	0.00568494	0.00687864	0.011076	0.0220061	0.0305514	0.0488038	0.0952915	0.0483762	0.106482	0.0968234	0.157849	0.361548
a41	0.008156	0.00990102	0.0119694	0.0150222	0.0229491	0.0371923	0.0414271	0.0435544	0.0771929	0.0426941	0.0835883	0.0845609	0.146583	0.37521
a61	0.00198628	0.00269425	0.00340118	0.00444781	0.00829941	0.0155732	0.0207779	0.0296771	0.060281	0.0367645	0.094771	0.0952201	0.168737	0.457369
a24	0.00443541	0.00535254	0.00618536	0.00780927	0.0112442	0.0199908	0.0240312	0.0407641	0.0884885	0.0534553	0.0971948	0.0965127	0.163579	0.380957
a94	0.00674505	0.00775504	0.00838732	0.00932608	0.0117583	0.0181645	0.0219048	0.0372308	0.082199	0.049491	0.0923442	0.091267	0.15881	0.404616
a38	0.00636556	0.00830182	0.00942418	0.0103257	0.0140765	0.0206246	0.0274876	0.0482439	0.0927478	0.0576262	0.110964	0.103132	0.158321	0.332359
a76	0.00365588	0.00439924	0.00528487	0.00591646	0.0086308	0.015328	0.0206853	0.0390131	0.0851285	0.0569767	0.116046	0.104244	0.165745	0.368947
a73	0.00637444	0.00661973	0.00749444	0.00812863	0.0122021	0.016313	0.0195574	0.0200774	0.0305371	0.0198864	0.0533762	0.0575617	0.156266	0.585605
a56	0.00103088	0.00129507	0.00152546	0.00175957	0.00356024	0.00585641	0.00865471	0.0139819	0.0264904	0.0197544	0.0641319	0.0664276	0.160091	0.62544
a24	0.00316462	0.00382854	0.00454185	0.00499867	0.00718298	0.0106141	0.0143682	0.0238475	0.0397904	0.0283174	0.0729327	0.0758644	0.17067	0.539878
a32	0.0048649	0.00511568	0.00566928	0.00604595	0.00792646	0.0121335	0.0143268	0.0239057	0.0490328	0.0336516	0.0722132	0.075071	0.163888	0.526155
a24	0.00501484	0.00613349	0.00680813	0.0068079	0.00872941	0.0114848	0.0147281	0.0264661	0.0508369	0.0456463	0.105211	0.0917209	0.167412	0.453001
a32	0.00938836	0.00969192	0.0101606	0.0101363	0.0119608	0.0169941	0.0194222	0.0297232	0.0648286	0.0437944	0.0875897	0.0796204	0.148798	0.457892
a71	0.00552892	0.00639357	0.0070205	0.00714945	0.00924842	0.0129349	0.0164726	0.0273231	0.0502916	0.0374756	0.0838263	0.0797883	0.157342	0.499205
a76	0.00593088	0.00670568	0.00784128	0.00804536	0.0101965	0.0152848	0.0179624	0.032024	0.0666262	0.062279	0.113022	0.0956063	0.151557	0.406918
a25	0.00555258	0.00489305	0.0049869	0.00475785	0.00632744	0.00922053	0.0134245	0.0155107	0.0223399	0.0148505	0.0526565	0.0540382	0.156286	0.635155
a90	0.00132955	0.0015543	0.00172069	0.00199008	0.00369268	0.00609548	0.00888566	0.0130075	0.0245031	0.0164049	0.0529362	0.0552365	0.149027	0.663617
a58	0.00337819	0.00353849	0.00365486	0.00392507	0.00604523	0.00875396	0.0126625	0.0190452	0.0381788	0.0250701	0.0692147	0.0656451	0.150671	0.590217
a11	0.00242144	0.00219405	0.00213694	0.00206222	0.00284332	0.00418109	0.00647187	0.0115824	0.021798	0.0186174	0.0624004	0.0570624	0.16008	0.646148
a24	0.00172519	0.00145174	0.00148537	0.00137004	0.00167191	0.00242911	0.00353263	0.00650558	0.0128285	0.0145855	0.0589665	0.0600457	0.17927	0.654132
a9	0.00371022	0.00314577	0.00309906	0.00265694	0.00309697	0.00394797	0.00529082	0.00741594	0.0123204	0.0131623	0.0569454	0.0680024	0.200705	0.616501
a10	0.00136481	0.00121585	0.00128949	0.00114713	0.00160366	0.00219826	0.00316375	0.0066025	0.0136219	0.0212022	0.0892348	0.100835	0.222459	0.534061
a87	0.0017974	0.00118457	0.00113619	0.000979595	0.00108675	0.00136855	0.00194265	0.00485695	0.0105081	0.0189779	0.0743219	0.0779658	0.184058	0.619816
</S>	0.00520424	0.00282679	0.00242651	0.00199668	0.0024023	0.00259345	0.00365818	0.0072692	0.007024	0.0138778	0.0570494	0.0770523	0.191988	0.624631
