 	l'	enfant	a	sali	son	habit	avec	l'	huile	de	palme	</S>
a66	0.0675503	0.0984615	0.14655	0.204029	0.161056	0.100374	0.0552695	0.0326522	0.0259967	0.0264483	0.0337095	0.0479025
a90	0.0291897	0.0479033	0.0858148	0.14134	0.186363	0.138775	0.0814139	0.0561129	0.0450993	0.0437292	0.059935	0.0843244
a25	0.0248186	0.0402591	0.0691392	0.119718	0.154217	0.146787	0.0930159	0.0590623	0.0458691	0.0490437	0.0771276	0.120942
a54	0.0250282	0.0416939	0.073566	0.117652	0.14575	0.127719	0.0806669	0.057036	0.0478864	0.050266	0.0846182	0.148118
a25	0.0229408	0.034079	0.0576434	0.109785	0.111161	0.090818	0.0717141	0.0629163	0.0639614	0.0704942	0.113913	0.190574
a69	0.0113786	0.0205269	0.0408143	0.0915655	0.0987919	0.0898305	0.0715408	0.061289	0.0643963	0.069015	0.124621	0.25623
a40	0.0159881	0.0251641	0.0453221	0.0911337	0.102724	0.0953673	0.0809685	0.0742235	0.0693289	0.0693753	0.117598	0.212807
a98	0.0119387	0.0169786	0.0288846	0.0622658	0.0817117	0.0840657	0.0762316	0.0742888	0.0793627	0.0824671	0.14061	0.261194
a85	0.00752551	0.0121019	0.021417	0.0480856	0.0617212	0.0700303	0.0661191	0.0669628	0.0900622	0.10533	0.159424	0.291221
a92	0.00664162	0.0110547	0.0198532	0.033102	0.0451818	0.0533181	0.0516324	0.0576656	0.0941596	0.11561	0.178172	0.333608
a85	0.00584796	0.00920837	0.0157821	0.0359602	0.0473718	0.0601781	0.0610507	0.0706847	0.119881	0.149562	0.179736	0.244738
a98	0.00265244	0.00377389	0.00655069	0.0133639	0.0205221	0.0267733	0.0277176	0.0378923	0.0901862	0.142235	0.215321	0.413012
a79	0.00174722	0.00263085	0.0046483	0.0103539	0.015938	0.0223773	0.0249039	0.0362397	0.0960294	0.169603	0.237895	0.377633
a98	0.00186713	0.00206307	0.00326488	0.00625489	0.0106549	0.0156166	0.0167979	0.025627	0.077667	0.13897	0.244767	0.456449
a47	0.00110139	0.00153478	0.00277003	0.00654402	0.0109417	0.0141693	0.0157857	0.0253861	0.0786604	0.148562	0.240735	0.453809
a7	0.00061857	0.00103481	0.00222894	0.00649631	0.0106056	0.0132148	0.012579	0.0190335	0.0565136	0.111798	0.234496	0.53138
a37	0.00240472	0.00231934	0.00302392	0.00473036	0.00847439	0.0116118	0.0124894	0.0204233	0.0549345	0.107201	0.235683	0.536704
a5	0.00432066	0.00394408	0.00464775	0.00469338	0.00928053	0.0165194	0.0208709	0.0394565	0.0911811	0.12478	0.234215	0.446091
a36	0.00154267	0.00181424	0.00234718	0.00297418	0.00610155	0.0110145	0.0128286	0.0226799	0.0708485	0.123878	0.234541	0.509429
a27	0.0025597	0.00287691	0.00406521	0.00482891	0.00689671	0.00911353	0.0107727	0.0209238	0.0608909	0.112448	0.262139	0.502484
a30	0.0243962	0.0183935	0.0177751	0.0137406	0.01921	0.0212871	0.0227055	0.0315234	0.0654637	0.106101	0.240059	0.419345
a3	0.123885	0.0639627	0.0535312	0.0393247	0.0432806	0.0512891	0.0523526	0.0549747	0.0704258	0.0885209	0.148386	0.210068
a10	0.120396	0.0538547	0.0442628	0.0342372	0.0392468	0.0568741	0.059787	0.0695228	0.106277	0.113207	0.135075	0.16726
a97	0.0796982	0.0379954	0.0333061	0.0336516	0.0485166	0.0655902	0.0646058	0.0727275	0.107255	0.123368	0.148127	0.185158
a87	0.0627255	0.035373	0.0353349	0.0474635	0.0632484	0.0679947	0.0620851	0.0647024	0.0899502	0.113297	0.152245	0.205581
a97	0.0513795	0.0315265	0.0323825	0.0444947	0.0527328	0.0494322	0.0425734	0.0471161	0.0723754	0.10789	0.174851	0.293246
</S>	0.0826016	0.0548867	0.0604363	0.0729548	0.0705844	0.0652515	0.054409	0.052246	0.0626296	0.0831637	0.129036	0.2118
