 	qui	est-ce	qui	a	accroché	son	vêtement	sur	la	pointe	</S>
a96	0.00251697	0.00217373	0.00360723	0.00672216	0.00990818	0.0211223	0.0403527	0.0631855	0.126174	0.264371	0.459867
a88	0.00150829	0.00153994	0.00271452	0.00524823	0.00735089	0.0153278	0.030555	0.051285	0.112772	0.269323	0.502376
a36	0.0030029	0.00318241	0.00530801	0.00902114	0.00984865	0.0194669	0.0372224	0.0537414	0.111847	0.252018	0.495341
a27	0.00639507	0.00634282	0.00989718	0.0139394	0.0105988	0.0175332	0.0344362	0.0454992	0.100171	0.238597	0.51659
a57	0.064535	0.0508871	0.059069	0.0632705	0.0462958	0.0621667	0.0815185	0.0728697	0.106523	0.154727	0.238138
a87	0.10794	0.0840731	0.0822329	0.0753532	0.0543169	0.0590927	0.0649318	0.0531755	0.0784188	0.124564	0.215901
a23	0.104202	0.0904985	0.0999111	0.0941688	0.0644203	0.0682424	0.0648969	0.0551542	0.0764037	0.109336	0.172766
a10	0.0819215	0.0672971	0.0879318	0.0881661	0.0821117	0.0884761	0.0773876	0.0622386	0.0840104	0.118223	0.162236
a87	0.0412208	0.0323857	0.0450567	0.0671405	0.0901109	0.10253	0.0886071	0.0727733	0.0950371	0.140665	0.224473
</S>	0.0382937	0.0336933	0.0545826	0.0841059	0.0897126	0.0848558	0.0774195	0.0606102	0.0811101	0.136483	0.259133
