 	depuis	que	j'	ai	emmenagé	dans	cette	maison	je	souffre	d'	insomnie	</S>
a31	0.0299489	0.0372014	0.0731828	0.109177	0.189516	0.119769	0.104424	0.0847649	0.0624322	0.0423277	0.0244759	0.0535341	0.0692465
a47	0.0302942	0.0354983	0.0613018	0.0882122	0.20412	0.133716	0.113724	0.0947566	0.0702561	0.0423555	0.0183797	0.0469327	0.0604526
a96	0.0173155	0.0212321	0.0383818	0.0580758	0.180315	0.142729	0.134529	0.105819	0.0922021	0.0627285	0.0313538	0.0452198	0.0700978
a75	0.020549	0.0237437	0.0402611	0.0583441	0.207187	0.144367	0.136592	0.1182	0.0842319	0.0478246	0.0191264	0.0391404	0.0604327
a5	0.0292491	0.0311744	0.0477352	0.0640335	0.19179	0.136554	0.127216	0.107099	0.068209	0.039583	0.0217785	0.0439911	0.0915855
a18	0.0268459	0.0298901	0.0431515	0.0538159	0.15117	0.146346	0.150295	0.132953	0.0999427	0.055614	0.0223724	0.0350862	0.0525177
a38	0.00376062	0.00487583	0.0104297	0.0185767	0.0956553	0.15953	0.196252	0.121517	0.107891	0.0721107	0.0474483	0.0578284	0.104124
a21	0.00481029	0.0063016	0.0121274	0.0188808	0.0812507	0.132941	0.166103	0.0940632	0.0848554	0.069337	0.0464368	0.0707559	0.212137
a47	0.0247077	0.0304606	0.0477901	0.0578817	0.134545	0.143488	0.155903	0.131802	0.0958769	0.055036	0.0280796	0.0354228	0.0590075
a31	0.00998896	0.0137956	0.0266363	0.0355585	0.119788	0.136062	0.145487	0.100873	0.0853733	0.0570373	0.0440277	0.0706334	0.154738
a21	0.0156876	0.0199394	0.0351556	0.0423908	0.129093	0.130073	0.1351	0.0921616	0.0716459	0.0446193	0.0448761	0.089465	0.149792
a47	0.0433951	0.0530883	0.0740281	0.0744717	0.139156	0.115293	0.115182	0.0875319	0.0626617	0.0448385	0.0509647	0.0537686	0.0856212
a98	0.0131604	0.0183367	0.0336656	0.0400832	0.121552	0.11502	0.114165	0.0714473	0.0560776	0.0393108	0.0607997	0.118282	0.198101
a71	0.0183292	0.0225745	0.0361469	0.0410748	0.110521	0.10353	0.109999	0.0676966	0.0489811	0.0336779	0.0592759	0.119508	0.228685
a9	0.00562946	0.00661422	0.0116196	0.0170986	0.0550563	0.0681053	0.0829595	0.0458424	0.0410776	0.0348105	0.0860603	0.190312	0.354814
a3	0.00389178	0.00454327	0.00821554	0.0124996	0.0348376	0.0564005	0.0732712	0.0535829	0.0695224	0.0746788	0.112219	0.16276	0.333577
a97	0.00576401	0.00583042	0.00976079	0.0145025	0.041824	0.0950368	0.113908	0.11205	0.142397	0.128431	0.12644	0.105805	0.0982507
a87	0.0089872	0.00626419	0.00812171	0.0116643	0.0455753	0.0906849	0.104935	0.103681	0.121335	0.100547	0.122666	0.155364	0.120175
a23	0.0263183	0.017715	0.0202779	0.0253661	0.0525089	0.0902497	0.0972649	0.0918604	0.101107	0.085791	0.114476	0.165142	0.111922
a83	0.00421197	0.00299738	0.00537491	0.00911543	0.0237406	0.0528631	0.0821226	0.0867916	0.116774	0.100582	0.120702	0.177979	0.216745
a75	0.000797208	0.000941863	0.00177698	0.00232191	0.00646615	0.014937	0.0175126	0.0136143	0.020456	0.0300698	0.100012	0.22987	0.561225
a5	0.0010056	0.00116172	0.00148864	0.00174104	0.00585316	0.0125262	0.0144509	0.0116936	0.0180163	0.024588	0.0633172	0.261095	0.583062
a61	0.00442809	0.00485734	0.00605847	0.00737126	0.0176622	0.0280754	0.0344523	0.03266	0.0502001	0.0539724	0.0925215	0.310014	0.357727
a31	0.00337178	0.00399942	0.0054285	0.00671347	0.0163317	0.0266133	0.0326647	0.0313749	0.0470858	0.0548169	0.1068	0.319484	0.345315
a88	0.00281574	0.0033389	0.0051595	0.00646584	0.0160407	0.0214242	0.0259679	0.0241752	0.0375029	0.0445066	0.0946628	0.352769	0.365171
a75	0.00125461	0.00165812	0.00362304	0.00536592	0.0129316	0.0160697	0.0188537	0.0181289	0.0261701	0.0320504	0.0834399	0.339958	0.440496
a5	0.00238406	0.00278763	0.00418258	0.00428934	0.0125641	0.0150832	0.0164314	0.0112505	0.0139479	0.0168051	0.0696996	0.372803	0.457772
a66	0.000894516	0.00109468	0.00220673	0.00272087	0.00899273	0.0109936	0.0124092	0.00828509	0.0104066	0.0129586	0.0642982	0.401502	0.463237
a9	0.000238757	0.000231696	0.000372769	0.000461553	0.00130787	0.00235227	0.00298557	0.00238194	0.00304925	0.00423527	0.0283729	0.235167	0.718843
a54	0.00466762	0.00414761	0.00608859	0.00567457	0.00850031	0.0145221	0.0187543	0.0136358	0.0137403	0.0138969	0.0605828	0.229047	0.606742
a47	0.000286002	0.00022079	0.000408853	0.000682119	0.0021446	0.00289794	0.00382906	0.00312001	0.00385905	0.00423539	0.0277317	0.273582	0.677003
a5	0.000382862	0.00035593	0.000652719	0.000893796	0.00264882	0.00301403	0.00382764	0.00246405	0.00312715	0.00395017	0.0296627	0.324871	0.624149
a61	0.00041649	0.00040726	0.000738515	0.0010282	0.00374703	0.0054258	0.00701182	0.00460783	0.00681293	0.0094747	0.0600449	0.399794	0.50049
a5	0.000280006	0.000289077	0.000509914	0.000743376	0.00328816	0.00486509	0.00612695	0.00423871	0.00611101	0.00752825	0.0364138	0.318916	0.61069
a18	0.000810499	0.000746448	0.00112013	0.00149857	0.00528818	0.00712514	0.00861685	0.0063277	0.00883125	0.0111552	0.049842	0.363533	0.535105
a9	0.000238469	0.000195144	0.000265322	0.000312313	0.00112934	0.00167019	0.00219496	0.00135616	0.00160814	0.00199238	0.0146969	0.219105	0.755236
a54	0.00245803	0.00189562	0.00237068	0.00204534	0.00283097	0.00421305	0.00579239	0.00391391	0.00398436	0.00543263	0.049881	0.252824	0.662358
a47	0.000154236	0.000131131	0.000198221	0.000253688	0.000817344	0.00105625	0.00138102	0.000971893	0.00121494	0.00155587	0.0105006	0.159127	0.822637
a6	0.000206723	0.000153822	0.000202022	0.000254063	0.000769292	0.00114178	0.00160877	0.00104497	0.00138875	0.00174012	0.0182433	0.199506	0.773741
a18	0.000423194	0.00038687	0.000589655	0.000778425	0.00262927	0.00330363	0.00448118	0.00270217	0.00349763	0.00468897	0.0309243	0.223475	0.722119
a9	0.000277348	0.000244407	0.000332039	0.000326888	0.000670711	0.0011068	0.00148396	0.000790958	0.000657975	0.000774355	0.0147146	0.22297	0.75565
a10	0.00650156	0.00489674	0.00529275	0.00446874	0.00539488	0.00709457	0.00853924	0.00552514	0.0049627	0.00561719	0.0522399	0.221377	0.66809
a87	0.0504532	0.025973	0.0239241	0.0160089	0.0156507	0.024535	0.0357593	0.0323615	0.0384371	0.0375593	0.122904	0.245059	0.331375
a23	0.0615014	0.029178	0.0290404	0.0200194	0.0184851	0.0437064	0.0728027	0.0705948	0.0780086	0.0606302	0.0816529	0.183392	0.250989
a87	0.0191261	0.010365	0.0099963	0.00732727	0.00901817	0.0250617	0.0476815	0.0330823	0.0321421	0.0235967	0.0606493	0.28322	0.438734
</S>	0.00393633	0.00290053	0.00368063	0.00282373	0.00790069	0.0164646	0.0240744	0.0144547	0.0104614	0.00797299	0.0297893	0.286953	0.588588
