 	cette	jeune	fille	garde	rancune	contre	toi	parce	que	tu	avais	refusé	de	l'	épouser	</S>
a92	4.92294e-05	3.68056e-05	2.79427e-05	4.24968e-05	7.28222e-05	0.000290304	0.000633431	0.00226693	0.00479041	0.00686822	0.0169149	0.0234118	0.0503107	0.121856	0.299916	0.472512
a85	7.00814e-05	5.11509e-05	4.08881e-05	6.28885e-05	9.9724e-05	0.000391277	0.000820477	0.00270121	0.00593182	0.00847384	0.0212609	0.031435	0.0597864	0.135818	0.294179	0.438877
a79	2.17096e-05	1.81046e-05	1.75385e-05	2.71172e-05	5.27665e-05	0.000283985	0.000675823	0.00247609	0.00499362	0.00697053	0.0168978	0.0202182	0.0439433	0.104167	0.275922	0.523314
a7	4.99542e-05	4.16461e-05	3.88363e-05	5.90275e-05	0.000110469	0.000538723	0.00120963	0.00418434	0.00811851	0.0107082	0.02278	0.0282184	0.0584232	0.124479	0.276943	0.464098
a26	0.000269373	0.000188366	0.000143848	0.000186691	0.000244116	0.00108044	0.00223604	0.00568627	0.0099518	0.0124674	0.0296985	0.0414739	0.0824467	0.177703	0.299177	0.337046
a57	0.00610302	0.00509481	0.00427416	0.00663995	0.00720302	0.0116515	0.0128163	0.0131181	0.0171609	0.0198968	0.0448021	0.0659132	0.119673	0.17362	0.230052	0.261981
a87	0.0341993	0.0185953	0.0140431	0.0238345	0.0255771	0.0380533	0.0379401	0.0308443	0.0362161	0.0388491	0.0720195	0.0785751	0.112167	0.130587	0.148534	0.159965
a23	0.0680094	0.0386186	0.0323845	0.0437719	0.0367455	0.0411157	0.0418237	0.0390093	0.0444445	0.0507934	0.0768023	0.0754765	0.102957	0.105648	0.100372	0.102028
a99	0.0110622	0.0045782	0.00296602	0.00289515	0.00192253	0.00241311	0.00278687	0.00375505	0.00551288	0.00685031	0.018355	0.0273784	0.0930628	0.187981	0.313572	0.314909
a87	0.0079517	0.00294705	0.00210265	0.00233998	0.00212997	0.00365059	0.00444583	0.00635468	0.008164	0.00920784	0.0196677	0.0239014	0.0634926	0.135633	0.309293	0.398719
</S>	0.0041094	0.0018066	0.00135634	0.00137708	0.000992797	0.00171132	0.00216128	0.00337082	0.00426296	0.00453172	0.0100755	0.0144761	0.0459021	0.119874	0.31493	0.469062
