 	cette	manière	de	dire	au-revoir	est	celle	de	quelqu'	un	qui	ne	veut	pas	parler	</S>
a34	0.0015522	0.00237798	0.0025813	0.00295594	0.00885695	0.0184613	0.0279584	0.0584504	0.105645	0.120354	0.132006	0.133849	0.127479	0.0942989	0.0769982	0.0861754
a96	0.00126857	0.001579	0.00156954	0.00181731	0.00572715	0.0108096	0.015613	0.0359346	0.0742442	0.0976025	0.121155	0.132549	0.144662	0.121389	0.108747	0.125334
a62	0.000803776	0.00122385	0.00141733	0.00162299	0.00450591	0.00854927	0.0134193	0.03442	0.0728602	0.0894983	0.112075	0.126761	0.139603	0.125769	0.123144	0.144327
a83	0.00077938	0.00105395	0.00116825	0.00133297	0.00379052	0.00649097	0.0095199	0.0254492	0.0544532	0.071977	0.0939865	0.113216	0.136235	0.136582	0.153407	0.190559
a71	0.000811384	0.0011094	0.0012573	0.00138401	0.00271194	0.00436583	0.00663039	0.0184333	0.0421502	0.0569403	0.0812949	0.10425	0.134718	0.147062	0.170657	0.226224
a93	0.00208074	0.00243289	0.00322891	0.00422144	0.00593666	0.00992246	0.0136225	0.0235911	0.0464182	0.062366	0.0964685	0.118001	0.144817	0.154964	0.146011	0.165918
a0	0.000652888	0.000994889	0.00106515	0.00119397	0.0024853	0.00342654	0.00449207	0.0116405	0.0284945	0.0463256	0.0743853	0.0994325	0.132627	0.160048	0.191303	0.241433
a88	0.000534608	0.000798699	0.00102543	0.00130092	0.0028906	0.00436334	0.0053101	0.010401	0.0184351	0.0298524	0.052876	0.0828131	0.123229	0.16281	0.222922	0.280438
a71	0.000436575	0.000513052	0.000694998	0.000869406	0.00155266	0.0026694	0.00379802	0.00776225	0.0133934	0.0213151	0.0406497	0.0671956	0.101519	0.152056	0.242885	0.34269
a0	0.00250419	0.00262803	0.00339061	0.00422786	0.00626374	0.00934238	0.0110421	0.0164384	0.0265438	0.0344326	0.0589331	0.0828087	0.114905	0.156246	0.19327	0.277022
a75	0.000270531	0.000381552	0.000514531	0.000672426	0.00128259	0.00210648	0.00294591	0.00622565	0.0114316	0.0182615	0.0340262	0.0570728	0.0907833	0.151383	0.251638	0.371004
a36	0.00014772	0.000162969	0.00017543	0.00020327	0.00041742	0.000470574	0.000649052	0.00193593	0.00365569	0.00695955	0.0148149	0.0322822	0.0776032	0.151106	0.258764	0.450652
a27	0.000813492	0.000727328	0.0008953	0.00114636	0.00190338	0.00217191	0.00258171	0.00440858	0.00548377	0.00949105	0.0177035	0.0316624	0.0642378	0.124016	0.223733	0.509025
a36	0.00764705	0.00663099	0.00871992	0.0103506	0.0117919	0.0128824	0.0122418	0.0144385	0.0135457	0.020445	0.0302886	0.0509058	0.0985877	0.142601	0.210051	0.348872
a26	0.0112937	0.00867733	0.0100713	0.0109802	0.0121856	0.0135991	0.0128288	0.0154554	0.0153887	0.0204641	0.0288746	0.0468308	0.0881269	0.13991	0.226039	0.339274
a57	0.0351656	0.0209467	0.0186592	0.0181168	0.0212678	0.0213275	0.0222559	0.0273794	0.0286407	0.0363765	0.048007	0.0688969	0.0945709	0.114764	0.168372	0.255253
a87	0.0735731	0.0353806	0.021308	0.0183676	0.0192517	0.0164065	0.0192779	0.026604	0.0269468	0.0434974	0.0548601	0.069072	0.0955152	0.115778	0.160405	0.203756
a23	0.117552	0.0487392	0.0310196	0.025065	0.024515	0.0168128	0.0208747	0.029061	0.0310344	0.0680489	0.0717164	0.0671379	0.0790748	0.0887931	0.12216	0.158396
a97	0.0423242	0.0132798	0.00984965	0.00796538	0.00761922	0.00293385	0.00380074	0.0048963	0.00472717	0.0133327	0.0182775	0.0364107	0.0844653	0.129603	0.219572	0.400942
a3	0.037092	0.00901586	0.00621342	0.00539512	0.0073018	0.00444804	0.00680093	0.0137161	0.0150729	0.0273952	0.0313779	0.0438348	0.0784942	0.128389	0.222208	0.363246
a87	0.057951	0.0172781	0.0133798	0.0107156	0.012752	0.00899902	0.0113763	0.0222115	0.0225458	0.0372805	0.0359599	0.0365389	0.0556721	0.0918397	0.203716	0.361784
</S>	0.087124	0.0279156	0.0214094	0.0163392	0.0183374	0.0128503	0.0156757	0.0299064	0.0317764	0.0467612	0.0432511	0.0408178	0.0525301	0.0806458	0.170933	0.303726
