 	les	petits	enfants	sont	en	train	d'	allumer	le	feu	dans	la	forêt	il	faut	les	blâmer	</S>
a37	0.00124446	0.00227615	0.00450134	0.0121191	0.021186	0.0386995	0.0737697	0.063383	0.0915889	0.0810912	0.0798338	0.0764249	0.096951	0.0903614	0.057869	0.0596365	0.0699839	0.0790801
a61	0.0031911	0.00618436	0.0107322	0.0220738	0.0328609	0.0507646	0.0906507	0.0981707	0.179606	0.134746	0.0799112	0.0551366	0.0532192	0.0363775	0.0204943	0.0227883	0.0363451	0.0667482
a5	0.00340691	0.0057425	0.00882848	0.0192648	0.0293069	0.0482234	0.085171	0.0957055	0.128375	0.119203	0.0847565	0.0709361	0.0766151	0.0624754	0.037402	0.0329396	0.0397043	0.0519431
a43	0.00394852	0.00748376	0.0125215	0.0283717	0.0432015	0.0699356	0.107967	0.101303	0.147592	0.120536	0.0741443	0.0502721	0.0459874	0.0371325	0.0242903	0.0281806	0.0383253	0.0588072
a75	0.00413058	0.00804622	0.0137782	0.0305475	0.0458478	0.0706207	0.109863	0.103676	0.150499	0.116682	0.0715926	0.0495097	0.0472398	0.0375093	0.0239276	0.0256076	0.0348835	0.0560381
a6	0.0012466	0.00230729	0.00404398	0.0121006	0.0224836	0.0403852	0.0835657	0.0782874	0.116071	0.087083	0.0747884	0.0608406	0.0732579	0.0679862	0.0472493	0.0623792	0.0762911	0.0896331
a36	0.00105219	0.00188846	0.00355609	0.0113372	0.021603	0.0408362	0.0962906	0.0758864	0.116641	0.0819651	0.0761377	0.0636368	0.0817096	0.0770145	0.0495564	0.0568479	0.064543	0.0794974
a7	0.00493002	0.0071306	0.0112236	0.0278626	0.0473668	0.0797589	0.13828	0.0875991	0.145906	0.0937847	0.0669124	0.0436348	0.0482291	0.0370589	0.0214018	0.0248347	0.0371706	0.0769147
a69	0.00520359	0.00706086	0.00990137	0.0245718	0.0428046	0.0742173	0.119345	0.0933807	0.145121	0.100699	0.0690466	0.0478217	0.0517829	0.0421449	0.0263806	0.0291541	0.039983	0.0713815
a58	0.00231606	0.00407409	0.00649226	0.0188953	0.0350321	0.0620353	0.107609	0.0916961	0.1501	0.101117	0.0742545	0.0545673	0.0588161	0.0495288	0.0318235	0.037239	0.0459617	0.0684416
a82	0.00564464	0.00749151	0.0102111	0.0224831	0.0353446	0.0558169	0.101766	0.0820281	0.145754	0.112195	0.0763402	0.0509078	0.0527586	0.0439923	0.0299857	0.0335691	0.0421689	0.0915428
a87	0.0233125	0.0230568	0.0338636	0.0656105	0.0856121	0.117211	0.141825	0.0841253	0.087245	0.0711606	0.0492881	0.0330487	0.0314933	0.0260008	0.0188844	0.0219458	0.0300271	0.0562896
a23	0.0387913	0.0250448	0.0293431	0.0433237	0.0444348	0.0406904	0.0342988	0.0156803	0.025502	0.0209404	0.0257285	0.0294238	0.0483547	0.0578944	0.0667003	0.0933037	0.137562	0.222983
a87	0.0185612	0.0105423	0.0124917	0.014618	0.0163869	0.0177607	0.017218	0.0101937	0.0237001	0.0276539	0.0339622	0.0415519	0.0575175	0.0743646	0.119887	0.130658	0.149096	0.223837
a23	0.00719387	0.00461924	0.00603597	0.00906771	0.0120917	0.01607	0.0224262	0.0164068	0.0448262	0.0381379	0.0430381	0.0463836	0.0586847	0.0788814	0.125034	0.130477	0.142165	0.198461
a36	0.00529582	0.00290568	0.00382721	0.00573107	0.00809685	0.0120504	0.0161796	0.0113585	0.0411846	0.0350945	0.0445477	0.0550521	0.0778278	0.103531	0.127519	0.118347	0.140585	0.190867
a7	0.00163589	0.00074005	0.000707606	0.00126846	0.00194355	0.00424897	0.00885559	0.00786375	0.0485071	0.0343583	0.0508687	0.0621625	0.0905845	0.114426	0.130806	0.127543	0.146692	0.166787
a47	0.000413408	0.000228741	0.000280657	0.00073343	0.00143289	0.00411975	0.00885093	0.00826408	0.0617826	0.0362583	0.0477877	0.0547448	0.0832731	0.101909	0.109582	0.129089	0.157811	0.193439
a37	0.000104091	8.47508e-05	0.000157369	0.000552544	0.00112386	0.00291373	0.00668973	0.00739331	0.0496496	0.0299375	0.0358493	0.0375628	0.0498113	0.066891	0.0917034	0.141809	0.200672	0.277095
a85	0.000184563	0.000179544	0.000333934	0.00117736	0.00241047	0.00600692	0.0120869	0.0151734	0.0488614	0.0311688	0.0353107	0.0367702	0.0501875	0.064133	0.0814179	0.13746	0.201068	0.276069
a47	9.79432e-05	0.000119108	0.000199697	0.000549629	0.00104756	0.00236098	0.00604654	0.00737161	0.0251581	0.0173965	0.0185381	0.0202358	0.0287377	0.0398406	0.0563619	0.119863	0.238683	0.417392
a36	0.000110304	0.000131584	0.000225666	0.000664722	0.00134845	0.00337106	0.00773619	0.00690302	0.0274008	0.0186787	0.0223034	0.025409	0.0416247	0.0614431	0.0674196	0.13497	0.235042	0.345218
a47	0.00262815	0.00301524	0.00404318	0.00807942	0.0123893	0.0199492	0.0256276	0.0142959	0.0421191	0.0347266	0.0309039	0.0317836	0.0481494	0.0621818	0.0615732	0.105433	0.176232	0.316869
a36	0.000341925	0.000496525	0.00071513	0.00186301	0.00339085	0.0066659	0.00990224	0.00609424	0.0198606	0.0148257	0.0167658	0.0203424	0.0362356	0.0522504	0.0584678	0.133297	0.253942	0.364542
a2	0.00815578	0.00866049	0.00953692	0.0147355	0.0193043	0.0261593	0.0329096	0.0157439	0.0295496	0.0255599	0.0229809	0.0235102	0.0366196	0.0506735	0.0597667	0.102243	0.172069	0.341821
a57	0.0305738	0.0240823	0.0266448	0.0389325	0.0427782	0.0533414	0.0683283	0.0354993	0.0458035	0.0374708	0.0364618	0.0374537	0.0519246	0.0615477	0.0681967	0.0785852	0.101826	0.160549
a87	0.047765	0.0230885	0.0261587	0.0341836	0.0375281	0.0429992	0.0476259	0.0283866	0.0497026	0.0488379	0.0480467	0.0491197	0.0697999	0.0824447	0.0754504	0.0760174	0.0882158	0.124629
a23	0.0278436	0.0159098	0.0224659	0.0354015	0.0404831	0.0503275	0.0489643	0.025091	0.061338	0.0512307	0.0617173	0.065974	0.083478	0.0842982	0.0748215	0.0725205	0.0821342	0.0960008
a87	0.0148093	0.00614311	0.00565292	0.00639954	0.00714449	0.00989658	0.0158029	0.00938808	0.0302137	0.0238708	0.0387277	0.0514596	0.0772145	0.0936183	0.106045	0.115452	0.161875	0.226287
</S>	0.0078469	0.00326152	0.00343404	0.00502298	0.00746316	0.0138823	0.0248544	0.0137492	0.0458619	0.0292539	0.0400708	0.0452542	0.0576034	0.0596585	0.071981	0.0952915	0.166494	0.309017
