 	beaucoup	de	gens	trouvent	que	la	lecture	du	mbochi	est	difficile	</S>
a75	0.0118989	0.0124715	0.0155614	0.0281451	0.063518	0.0774605	0.099045	0.202224	0.162206	0.11929	0.104799	0.103381
a85	0.00171034	0.00192602	0.00285855	0.00562384	0.0136471	0.0448773	0.0763053	0.161757	0.140863	0.131369	0.169595	0.249467
a92	0.000572842	0.00061514	0.000929776	0.00261064	0.0102228	0.0374645	0.0756888	0.191259	0.149644	0.130475	0.153227	0.24729
a85	0.0009096	0.000990095	0.00136509	0.00329556	0.0101619	0.0352338	0.0726299	0.179735	0.159766	0.152084	0.164476	0.219354
a92	0.00054716	0.000658567	0.00103929	0.00310543	0.0118833	0.0339628	0.0739924	0.147549	0.132757	0.13658	0.169853	0.288072
a37	0.00087519	0.0010015	0.00142998	0.00385088	0.0117731	0.0338898	0.0710462	0.148761	0.134612	0.147149	0.178649	0.266962
a90	0.0016153	0.00176417	0.00245356	0.00588683	0.0156369	0.0325873	0.0498203	0.151	0.128479	0.135813	0.17941	0.295533
a92	0.00112621	0.00121082	0.00163426	0.0040606	0.0114359	0.0302921	0.0525952	0.131624	0.115284	0.130385	0.189424	0.330928
a56	0.000905802	0.000965214	0.00126617	0.00305704	0.00841565	0.0250131	0.0524339	0.126762	0.109452	0.129596	0.184605	0.357529
a96	0.00105445	0.001302	0.00206473	0.00519227	0.012671	0.0264216	0.0411804	0.124176	0.104004	0.122919	0.200288	0.358727
a11	0.00103673	0.00120657	0.00186596	0.00431597	0.00987476	0.0221163	0.0252714	0.0984657	0.0874843	0.113984	0.214166	0.420212
a62	0.00205747	0.00236783	0.00367511	0.00806869	0.0152033	0.0272527	0.0232914	0.0848244	0.0830609	0.117405	0.232413	0.400381
a47	0.000963211	0.00130248	0.00237356	0.0057363	0.0105161	0.0213142	0.0203438	0.0682655	0.0646597	0.0962983	0.22503	0.483197
a21	0.00145544	0.00221032	0.00413251	0.00931586	0.0145433	0.0253906	0.0199199	0.067118	0.0693	0.109954	0.255212	0.421448
a5	0.000571579	0.000747668	0.00106158	0.00213931	0.00343885	0.00715903	0.0114346	0.0600999	0.0540494	0.0922992	0.221425	0.545574
a23	0.000552852	0.000769201	0.00132536	0.00329243	0.00596684	0.0122481	0.0156142	0.0655091	0.0561434	0.0908376	0.221107	0.526634
a21	0.000275858	0.000361124	0.000603285	0.00152414	0.00328051	0.00814615	0.0101416	0.0533673	0.0536631	0.0799317	0.20085	0.587856
a12	0.000733768	0.000972653	0.00130848	0.00253001	0.0038426	0.00764769	0.0112971	0.0562139	0.0499722	0.0933142	0.226982	0.545185
a18	0.000741998	0.00102146	0.00154793	0.00331989	0.00518851	0.00987008	0.0121079	0.0542142	0.045944	0.0841808	0.222961	0.558902
a25	0.00619117	0.00793817	0.0115904	0.0226966	0.0273316	0.0361992	0.0213249	0.0628254	0.0605912	0.0991361	0.21448	0.429695
a87	0.0201719	0.0219169	0.0241114	0.0317424	0.0272165	0.0306272	0.0189842	0.0395586	0.0443795	0.0888034	0.209634	0.442854
a23	0.0894306	0.0761488	0.0669397	0.0839714	0.0505905	0.0409765	0.0156309	0.0252814	0.0319703	0.0824048	0.160477	0.276178
a99	0.0460239	0.0347763	0.0192908	0.0174478	0.00788497	0.0116847	0.00641912	0.0319359	0.046235	0.113015	0.21132	0.453967
a87	0.0234089	0.0156139	0.00948468	0.0113521	0.0113435	0.0274455	0.0200076	0.0665857	0.0865669	0.127822	0.19347	0.406899
</S>	0.0267132	0.0191684	0.0127159	0.0165776	0.0175164	0.030785	0.0180213	0.0564819	0.0671424	0.0985351	0.158057	0.478286
