 	je	suis	impliqué	dans	cette	affaire	parce	que	c'	est	moi	qui	l'	ai	emmené	à	brazaville	</S>
a47	0.0179137	0.0153858	0.0534159	0.100814	0.123897	0.12611	0.095426	0.0808351	0.0622732	0.0515051	0.0443708	0.0411359	0.043402	0.0368791	0.02496	0.0208972	0.0243167	0.0364624
a88	0.0166231	0.0100923	0.0376326	0.100311	0.125367	0.117908	0.0890017	0.0729238	0.0607941	0.0536069	0.0495614	0.0459627	0.0465924	0.0399608	0.0274936	0.0241312	0.0301823	0.051855
a0	0.00844907	0.00502465	0.0208713	0.0877193	0.121318	0.130116	0.0843543	0.0691555	0.0608697	0.054744	0.0528666	0.0530283	0.0556321	0.0466741	0.033164	0.0263589	0.036159	0.053496
a11	0.00483551	0.00287688	0.011199	0.0587543	0.104743	0.124304	0.0869517	0.0726438	0.0668858	0.0598601	0.0587059	0.0611245	0.0669231	0.0600016	0.0467143	0.0314059	0.0372832	0.0447877
a75	0.00502318	0.00526351	0.01192	0.0340063	0.0781825	0.110792	0.0761582	0.0723738	0.0629684	0.0568046	0.0584406	0.071397	0.0909953	0.0926841	0.0728325	0.0345478	0.0342427	0.0313673
a37	0.0035415	0.00278304	0.00467602	0.0127677	0.0225617	0.031693	0.0356974	0.0374854	0.0445863	0.048827	0.0659285	0.0505829	0.0559423	0.0566638	0.0725516	0.105243	0.151592	0.196877
a75	0.00370968	0.00274717	0.00711683	0.0207567	0.0425854	0.0654274	0.0521479	0.0555018	0.0599543	0.0598529	0.0728346	0.0752574	0.0854173	0.0817168	0.0910389	0.0640193	0.0734862	0.0864296
a79	0.00266086	0.00207213	0.00459384	0.0128002	0.024269	0.0368365	0.0365228	0.0408536	0.0468157	0.049563	0.0662631	0.0571057	0.0662948	0.0673028	0.0926806	0.106997	0.133333	0.153035
a56	0.00250042	0.00174651	0.0028378	0.00740539	0.0116969	0.0164001	0.019505	0.0239136	0.0316961	0.0388452	0.0625449	0.0488836	0.0593811	0.0638939	0.0958791	0.126846	0.178756	0.207269
a75	0.00194724	0.00127551	0.00228519	0.00591016	0.0110854	0.0160861	0.0153204	0.0187832	0.0230407	0.027063	0.0440287	0.0375348	0.0473577	0.0544947	0.101655	0.158896	0.210701	0.222536
a85	0.00185655	0.00130942	0.00201747	0.00449165	0.00657131	0.0091711	0.0120875	0.0152827	0.0210157	0.0270717	0.046153	0.0362507	0.0476861	0.0588833	0.101861	0.138948	0.203302	0.266041
a92	0.00173039	0.0012546	0.00208904	0.00509539	0.00644027	0.0077973	0.00968379	0.0114122	0.0156444	0.0196493	0.0325254	0.0240807	0.0301883	0.0356308	0.061314	0.107435	0.208201	0.419828
a37	0.00201965	0.00175741	0.00258741	0.00629406	0.00875459	0.0117601	0.0165618	0.0202255	0.0246498	0.0297736	0.0449971	0.0370019	0.0481813	0.0564695	0.0805211	0.103054	0.163947	0.341444
a21	0.0014228	0.00117783	0.0024379	0.00492309	0.00619966	0.0070618	0.00608354	0.00659475	0.00818968	0.00941095	0.0156601	0.0146279	0.0204112	0.0268937	0.0664328	0.155383	0.238688	0.408401
a75	0.00104599	0.000824651	0.00109379	0.00167972	0.00254408	0.00333798	0.00374712	0.00447011	0.00597826	0.00767655	0.0135968	0.012588	0.0198281	0.0309151	0.068197	0.144241	0.25271	0.425525
a92	0.000938067	0.000659524	0.000787751	0.00184957	0.00261731	0.0034132	0.00459012	0.00550345	0.00701422	0.00846398	0.0136054	0.0118696	0.0176832	0.0251563	0.0519411	0.103624	0.203737	0.536547
a37	0.000633636	0.000416594	0.000508126	0.00114921	0.00173586	0.00234507	0.00307517	0.00403255	0.00580601	0.00758673	0.0134585	0.01092	0.0151327	0.0199673	0.0423057	0.103072	0.231299	0.536556
a12	0.000584722	0.000401802	0.000599977	0.000979228	0.00148399	0.00188563	0.0016974	0.00196992	0.00256832	0.00280332	0.00443766	0.00436239	0.00611131	0.00888848	0.0269002	0.107351	0.266055	0.56092
a61	0.000547141	0.000354094	0.00043664	0.000637776	0.00102789	0.00145728	0.00173727	0.00199449	0.00278349	0.00321761	0.0048788	0.00505628	0.00738273	0.0116395	0.0326082	0.110073	0.264629	0.549539
a12	0.000708818	0.000604226	0.000641073	0.000946379	0.00127537	0.00177926	0.00187424	0.00208144	0.00291366	0.00315919	0.00453883	0.00449913	0.00592741	0.0080331	0.0276901	0.0926596	0.248324	0.592344
a18	0.000693777	0.00063239	0.000753942	0.00110615	0.00144768	0.0019283	0.00193019	0.00216076	0.00289225	0.00309992	0.00437296	0.00436672	0.00576446	0.00754747	0.025759	0.0928976	0.251489	0.591157
a71	0.00773607	0.0087038	0.00730372	0.00886552	0.0110947	0.0123923	0.0124756	0.0141495	0.0164052	0.0152833	0.0169295	0.0152316	0.0165401	0.0156415	0.0387897	0.0858561	0.187359	0.509243
a9	0.0472365	0.0320204	0.0302167	0.0296627	0.0361318	0.0360437	0.0308346	0.0347736	0.038492	0.0378064	0.0412048	0.0336322	0.0310839	0.0250134	0.0425521	0.0708701	0.11855	0.283876
a87	0.0395164	0.0262693	0.0201	0.0215684	0.0235759	0.0291131	0.0316732	0.0360669	0.0417701	0.0410185	0.0476241	0.0420691	0.0442871	0.0435175	0.0782007	0.113858	0.132096	0.187676
a23	0.0425107	0.01989	0.00942953	0.0118095	0.012769	0.0200741	0.0249365	0.0288829	0.0373381	0.035704	0.0415096	0.0487858	0.0553347	0.0712129	0.152011	0.139411	0.115476	0.132914
a82	0.0261096	0.0172366	0.0074775	0.00803028	0.00467742	0.00804625	0.0128753	0.015114	0.0195556	0.0169724	0.0186612	0.0189357	0.0203218	0.0302685	0.0766424	0.135093	0.187006	0.376977
a57	0.00513173	0.00237199	0.00120947	0.00370632	0.00245344	0.00450035	0.00679525	0.00693016	0.00946185	0.00736142	0.00770412	0.00706286	0.00760718	0.0100957	0.0233466	0.0718899	0.19162	0.630751
a87	0.0116184	0.00545546	0.00275429	0.00721404	0.00444476	0.00847495	0.0112667	0.0115948	0.0152797	0.012288	0.0126041	0.013142	0.0133049	0.0158307	0.0338584	0.0785368	0.168128	0.574204
a23	0.0273048	0.0163959	0.00720543	0.013039	0.00827731	0.0135247	0.0167374	0.0182823	0.0223936	0.0179749	0.0172321	0.0187537	0.0179705	0.021564	0.0470442	0.0850727	0.144376	0.486852
a85	0.0107524	0.00841655	0.00430313	0.00862938	0.00342179	0.00639064	0.00898346	0.00930933	0.011463	0.00924397	0.00959932	0.00949527	0.00953881	0.0139364	0.0404222	0.10501	0.196944	0.534141
a3	0.00325075	0.00223756	0.00115826	0.00494123	0.00224369	0.00454143	0.00720718	0.00688163	0.00975673	0.00700593	0.00714198	0.0055573	0.00503576	0.00646544	0.0195039	0.082298	0.193967	0.630806
a82	0.00840272	0.00509647	0.00261418	0.00584429	0.00254343	0.00476633	0.00587109	0.00573866	0.00794508	0.00639732	0.0067954	0.00668336	0.00582456	0.00710312	0.0193956	0.0636623	0.169795	0.665521
a57	0.0236109	0.0106483	0.00666991	0.00985789	0.00575263	0.00892677	0.00870274	0.0082413	0.0110627	0.00952499	0.0103604	0.0113329	0.0102843	0.0112949	0.0237865	0.0561452	0.131018	0.64278
</S>	0.034728	0.0179645	0.0120246	0.0157213	0.00855606	0.0130695	0.0113297	0.0110332	0.0140224	0.0123044	0.0129198	0.0177936	0.0163922	0.018545	0.0368758	0.0652666	0.133241	0.548212
