 	celui	qui	assiste	au	dépeçage	d'	un	animal	s'	en	sort	toujours	avec	une	part	aussi	petite	soit-elle	</S>
a2	0.00867446	0.00285542	0.00101406	0.00164506	0.00264273	0.0165818	0.0350342	0.0525664	0.0663148	0.0764559	0.0824876	0.0759279	0.0643589	0.0724739	0.067183	0.0574483	0.0838841	0.116206	0.116246
a40	0.000580481	0.000299893	0.000254541	0.000764846	0.00224876	0.0110164	0.0210541	0.0406626	0.0574631	0.0624515	0.073273	0.0797099	0.0775166	0.0791054	0.0755625	0.0801588	0.104488	0.121759	0.11163
a94	0.00135364	0.000851496	0.000966268	0.00153807	0.00332196	0.0168152	0.0356707	0.0603933	0.055328	0.0520652	0.0633458	0.0599785	0.0505924	0.0474668	0.0452942	0.0447609	0.100418	0.143777	0.216063
a27	0.000370568	0.000337975	0.000629308	0.00107705	0.00268263	0.0158027	0.0277443	0.0452228	0.0385578	0.0414561	0.0400707	0.0341429	0.0330956	0.0320201	0.031444	0.041282	0.132107	0.213523	0.268433
a38	0.00028411	0.00020486	0.000343902	0.000424616	0.000931736	0.00580863	0.0101174	0.020517	0.0220753	0.026642	0.0229364	0.0223753	0.0254814	0.0282991	0.0281202	0.0407369	0.151484	0.254759	0.338457
a50	0.00044717	0.000261751	0.000377491	0.000644701	0.00150907	0.00663218	0.0104297	0.0202466	0.0230382	0.0295147	0.0260587	0.028694	0.0368575	0.0429035	0.0442764	0.059821	0.166892	0.228568	0.272828
a62	0.000733729	0.000473429	0.000543773	0.000845318	0.00141554	0.00616414	0.007732	0.01342	0.0157749	0.0223419	0.0192125	0.0198085	0.0276321	0.0342446	0.0363596	0.0560189	0.156127	0.248058	0.333094
a31	0.000712046	0.000477983	0.000548142	0.00104861	0.0018743	0.00661892	0.00756089	0.011481	0.0146098	0.0222156	0.0204308	0.0204188	0.0289267	0.035012	0.0389206	0.0622187	0.143349	0.227453	0.356123
a50	0.000679907	0.00048063	0.00064046	0.00113733	0.00194241	0.005724	0.00715042	0.010023	0.0126535	0.0205608	0.019957	0.018947	0.0273086	0.0319643	0.0332793	0.0492366	0.119772	0.227582	0.410961
a93	0.00149105	0.00101362	0.00119971	0.00200648	0.00294952	0.00756297	0.00805672	0.010612	0.0143666	0.0225771	0.023657	0.0217528	0.0317599	0.0386902	0.0414221	0.0616205	0.117818	0.211338	0.380106
a70	0.000634079	0.000448586	0.000583818	0.000867122	0.00183554	0.00634291	0.00851394	0.0122061	0.0142005	0.0207296	0.0185347	0.0164948	0.0235321	0.027785	0.0270262	0.0380539	0.0907915	0.191511	0.499908
a0	0.000965677	0.000624242	0.000683421	0.0010813	0.00237229	0.00881965	0.00981982	0.0140203	0.0181742	0.0230787	0.0193342	0.01814	0.0251854	0.0306822	0.0308224	0.04945	0.102671	0.204248	0.439827
a24	0.000893294	0.000448815	0.000402033	0.000628836	0.00136618	0.00661008	0.00791903	0.0127751	0.0181562	0.0237377	0.0225069	0.0219315	0.0277618	0.0337524	0.0328417	0.0545134	0.108136	0.219597	0.406022
a83	0.0015705	0.000815891	0.000693682	0.00102769	0.00189508	0.00874815	0.00975255	0.016793	0.0215906	0.0265853	0.0264561	0.0270023	0.0308629	0.0340846	0.0319453	0.0533864	0.104965	0.221261	0.380564
a94	0.000561396	0.000293337	0.000256102	0.000418837	0.000961063	0.00523949	0.00637548	0.0105599	0.0150852	0.0213776	0.0224295	0.0229044	0.0293825	0.0347337	0.0333594	0.0564426	0.101632	0.208962	0.429025
a69	0.000410503	0.000200435	0.000170672	0.000279529	0.000627375	0.00359136	0.00490114	0.00821788	0.0125955	0.0201518	0.0227149	0.0226651	0.0289876	0.0346848	0.0355652	0.0619965	0.112078	0.216313	0.413848
a58	0.000290823	0.000142689	0.000130772	0.000229197	0.000674505	0.00507369	0.00862449	0.014625	0.0232744	0.0326415	0.03674	0.0346241	0.0416906	0.0456291	0.0440251	0.0667919	0.100422	0.184815	0.359555
a40	0.000299871	0.000145981	0.000101407	0.000185767	0.000567655	0.00452802	0.00689175	0.0133048	0.0247375	0.0326212	0.0382684	0.0382261	0.0417891	0.0459072	0.0405122	0.0672735	0.0983283	0.189258	0.357053
a75	0.000462624	0.00023245	0.000176922	0.000333468	0.00104563	0.00776603	0.0125434	0.0212472	0.0370438	0.0432678	0.0528277	0.0481183	0.0482729	0.0491627	0.0433794	0.0571032	0.0903929	0.174166	0.312457
a92	0.000560417	0.000296732	0.000282645	0.000465516	0.00151425	0.0103471	0.0169438	0.0288518	0.0460026	0.0546509	0.0677959	0.0595354	0.0579402	0.053686	0.04416	0.0489649	0.0624386	0.142867	0.302697
a37	0.000261568	0.000139306	0.000142032	0.000222228	0.000630347	0.00600883	0.0103882	0.0176148	0.0295404	0.0452057	0.0557494	0.0494626	0.0535263	0.0499443	0.0436847	0.0535378	0.0672201	0.161782	0.354939
a12	0.00022247	0.00012011	0.000127734	0.00021403	0.000622231	0.00520139	0.00651611	0.0104232	0.0167026	0.0244742	0.0322457	0.0277364	0.0295974	0.029351	0.0272747	0.0443047	0.0842774	0.199848	0.460741
a88	0.000715275	0.000365987	0.000324903	0.000397668	0.000791752	0.00560553	0.00614625	0.00942756	0.01622	0.0279613	0.0383642	0.0330095	0.0353837	0.0354929	0.0340334	0.048284	0.0749098	0.18839	0.444176
a71	0.000507593	0.000277708	0.000268888	0.000353993	0.000783567	0.00575786	0.00630243	0.0102346	0.0178538	0.0280653	0.0405338	0.0364996	0.0363345	0.0347245	0.028618	0.0432905	0.0765762	0.181779	0.451238
a9	0.00310863	0.00190236	0.00157965	0.00233365	0.00397034	0.0145041	0.0144882	0.0265778	0.0427664	0.0490304	0.0718091	0.070074	0.0586178	0.0454675	0.0343621	0.0463673	0.0689573	0.149359	0.294725
a87	0.0231047	0.0139452	0.0115885	0.0204671	0.0214778	0.0344556	0.02737	0.0359607	0.045253	0.049494	0.0739407	0.0783065	0.0665513	0.0503612	0.0466894	0.0617105	0.0759451	0.111633	0.151745
a23	0.0415056	0.0190998	0.0115506	0.0127067	0.0127765	0.0257654	0.0261487	0.0340852	0.0377512	0.0428257	0.0593295	0.0612264	0.0544862	0.0506366	0.0560558	0.066427	0.090835	0.127839	0.168949
a87	0.00572569	0.00274357	0.00127858	0.00176816	0.00185067	0.0163873	0.0248793	0.0419289	0.0472426	0.0517917	0.0720328	0.0641055	0.0575593	0.0570049	0.0585318	0.0587074	0.103115	0.162249	0.171097
</S>	0.00453135	0.0023854	0.0012934	0.00129193	0.00150387	0.0158266	0.0207076	0.0328712	0.0327024	0.0409204	0.0636472	0.0642591	0.0478644	0.0427025	0.0395503	0.0367921	0.0847837	0.179377	0.28699
