 	jésus	est	réssuscité	après	trois	jours	</S>
a93	0.000247535	0.000805056	0.00692573	0.03105	0.0723486	0.303162	0.585461
a12	0.000207146	0.000563403	0.00453861	0.0234879	0.0645345	0.293825	0.612844
a62	0.000218176	0.000507159	0.00417801	0.0269635	0.0766223	0.338772	0.552739
a88	0.000925435	0.00192257	0.0100317	0.0484451	0.109326	0.334715	0.494634
a13	0.000674007	0.00143604	0.00521469	0.027879	0.074633	0.320351	0.569812
a70	0.00134322	0.00270531	0.00877442	0.0425681	0.0955701	0.335253	0.513786
a62	0.000434684	0.000961581	0.00357093	0.0229706	0.0596569	0.325606	0.5868
a88	0.000442004	0.00109752	0.00483035	0.031367	0.0814163	0.335912	0.544934
a0	0.00062225	0.0013995	0.00509155	0.032507	0.0834527	0.316622	0.560305
a75	0.00288205	0.0049305	0.0127672	0.0611173	0.110655	0.320089	0.487559
a5	4.13974e-05	8.29008e-05	0.000366835	0.00497278	0.0216042	0.246701	0.726231
a36	0.000111803	0.000254042	0.00137965	0.0117214	0.0379136	0.268165	0.680454
a27	0.000347512	0.000651922	0.00182858	0.0136485	0.0429802	0.238869	0.701674
a82	0.0104977	0.00786765	0.0158667	0.0539917	0.116949	0.27961	0.515217
a87	0.0617538	0.035178	0.0491565	0.0790752	0.119738	0.246472	0.408626
a97	0.0482394	0.055053	0.157206	0.181427	0.168065	0.17321	0.216799
a3	0.0680588	0.0907445	0.234429	0.200848	0.139459	0.1097	0.15676
a87	0.0805287	0.121918	0.209315	0.185195	0.131094	0.109638	0.162311
a23	0.0923642	0.122862	0.210432	0.177707	0.124082	0.107433	0.16512
a99	0.030231	0.0266146	0.0421394	0.0594237	0.0767794	0.168525	0.596287
a87	0.0234518	0.0225525	0.0320748	0.0579435	0.0842733	0.187073	0.592631
</S>	0.0439882	0.0481266	0.0614759	0.0676913	0.0777723	0.160055	0.540891
