 	dans	notre	village	les	feuilles	de	l'	arbuste	esyese	sont	utilisées	pour	guérir	les	brûlures	</S>
a47	0.00458219	0.00518136	0.00679234	0.0127761	0.0252273	0.0497908	0.0753449	0.148912	0.157123	0.150186	0.127592	0.0656568	0.0631542	0.0318569	0.0329126	0.0429112
a31	0.00579339	0.00604974	0.0078836	0.0138398	0.0268565	0.0495299	0.0721525	0.144057	0.171586	0.157348	0.124554	0.0708774	0.0687607	0.0300615	0.0218924	0.0287571
a47	0.00516052	0.00510991	0.00593406	0.0105311	0.0211804	0.0417685	0.0654736	0.123291	0.0984207	0.121857	0.129658	0.0915223	0.107074	0.0713722	0.0502574	0.0513888
a31	0.00463504	0.00549738	0.00723749	0.0133833	0.0275103	0.0499626	0.0742553	0.135548	0.128776	0.123772	0.109921	0.0700576	0.0842837	0.0549939	0.0481495	0.0620165
a47	0.00434764	0.00436856	0.00520433	0.00894105	0.0170396	0.0323539	0.0564073	0.120472	0.0893046	0.103477	0.115336	0.0808716	0.103204	0.0908399	0.0815911	0.0862415
a18	0.00357864	0.0042099	0.00595564	0.0100258	0.0190525	0.0322866	0.0548088	0.120907	0.146823	0.117414	0.105055	0.0569449	0.0701705	0.0646295	0.0826681	0.10547
a62	0.00512437	0.00475345	0.0063265	0.00966208	0.0165579	0.0268449	0.0482518	0.113048	0.11564	0.0861216	0.0807992	0.0445127	0.0554351	0.0733958	0.136309	0.177216
a21	0.00336422	0.00336468	0.00423668	0.00719907	0.0144174	0.0260038	0.0499394	0.108733	0.107674	0.0839116	0.078082	0.046825	0.0566968	0.0910853	0.143665	0.174802
a85	0.00179597	0.00173454	0.00213656	0.00340807	0.00724395	0.0146468	0.0259479	0.0416785	0.0344703	0.0361973	0.0479903	0.0516993	0.0789293	0.157057	0.228791	0.266273
a92	0.000679521	0.000853018	0.00129401	0.00294028	0.00911273	0.0211798	0.0344946	0.0439878	0.0449839	0.0369912	0.0464643	0.0463141	0.0775895	0.161042	0.202821	0.269252
a37	0.000636449	0.00070819	0.000885272	0.00183993	0.00570865	0.0145317	0.0300199	0.0527567	0.0566304	0.042014	0.0419587	0.0377322	0.0495747	0.118915	0.233323	0.312765
a21	0.00133714	0.00127064	0.00153826	0.00259725	0.00682822	0.0138502	0.0301568	0.0666016	0.0755546	0.0515141	0.0396282	0.0251652	0.0301101	0.0742776	0.232946	0.346624
a6	0.000803393	0.000844178	0.00110807	0.00179756	0.0037359	0.00674819	0.0121761	0.0219374	0.0221065	0.0193668	0.0245791	0.0243853	0.0426952	0.127464	0.327207	0.363046
a36	0.000962849	0.00116031	0.00143388	0.00212322	0.00444917	0.00857592	0.0177157	0.0309058	0.0458704	0.0274703	0.0306328	0.0228166	0.0336648	0.100366	0.288339	0.383513
a2	0.00634176	0.00626887	0.00724173	0.00909396	0.0170204	0.0253557	0.0463101	0.0728707	0.094776	0.0484106	0.0367422	0.0196446	0.0222752	0.051563	0.219259	0.316826
a57	0.024008	0.0226148	0.0231049	0.0249852	0.045716	0.0639886	0.0893097	0.086149	0.0855507	0.0327547	0.0277649	0.0180108	0.0275255	0.057508	0.156631	0.214378
a87	0.0725707	0.0444785	0.0325271	0.0240696	0.0377563	0.0479385	0.0613702	0.0581654	0.0821524	0.0408064	0.0367224	0.033261	0.053737	0.0949471	0.126258	0.15324
a23	0.102508	0.0661774	0.0570084	0.0379253	0.0466031	0.0440129	0.0516738	0.0541622	0.103607	0.0490169	0.0321584	0.0335057	0.0495046	0.0628582	0.0885752	0.120703
a99	0.0320368	0.0214544	0.0162984	0.0130959	0.0203427	0.0253011	0.027968	0.027728	0.081516	0.0348779	0.0296289	0.0382898	0.0651309	0.105933	0.168781	0.291617
a97	0.0196006	0.0139296	0.0135805	0.0155117	0.0268332	0.0368829	0.0377289	0.0380091	0.0892962	0.0482174	0.043509	0.0446023	0.0786321	0.108918	0.161041	0.223707
</S>	0.0149895	0.0126136	0.0162714	0.0228756	0.0373584	0.0454842	0.0397988	0.0362253	0.0739631	0.0416287	0.0353949	0.0344317	0.0544264	0.0772116	0.159249	0.298078
