 	l'	étang	où	mon	épouse	et	moi	avons	péché	à	l'	écope	n'	avait	que	très	peu	d'	eau	dans	son	lit	</S>
a43	0.0058898	0.0112034	0.0207314	0.044071	0.0560476	0.0807419	0.0856414	0.0980103	0.109161	0.0770166	0.0829579	0.0660092	0.0639144	0.0453827	0.0332324	0.0249377	0.0163986	0.012393	0.0114772	0.0112904	0.0111896	0.0134631	0.0188394
a21	0.00364659	0.00599403	0.0114652	0.0285328	0.0395505	0.0756108	0.0809035	0.0932631	0.11393	0.0978997	0.101653	0.0809306	0.0722408	0.0490782	0.0340951	0.024299	0.0155343	0.0110054	0.00936228	0.00922964	0.00965815	0.0128071	0.0193103
a75	0.0056976	0.00718001	0.0121288	0.0271376	0.0370666	0.0635717	0.0712424	0.0704059	0.0843158	0.0575165	0.065416	0.0644126	0.0772403	0.0740088	0.0657321	0.05439	0.0371007	0.0257932	0.0209604	0.0196734	0.0184331	0.0181773	0.0223993
a92	0.003378	0.0037124	0.00642811	0.0139615	0.0195353	0.0412048	0.046463	0.0433722	0.0569651	0.0475379	0.0518475	0.0547293	0.0620899	0.0606627	0.0514184	0.0433527	0.0396749	0.044085	0.0501388	0.0606106	0.0630667	0.0594721	0.0762931
a98	0.00258649	0.00324759	0.00622783	0.0158529	0.0225688	0.0570419	0.0654341	0.0633506	0.0845734	0.0691004	0.0751423	0.0693992	0.0766734	0.0680928	0.0564895	0.0446282	0.0329906	0.0275426	0.0266706	0.0302099	0.030847	0.0309947	0.0403351
a85	0.00133778	0.00161801	0.00313364	0.00846182	0.0116075	0.0421928	0.0509657	0.0430571	0.0661451	0.0704688	0.0764295	0.0769472	0.0868943	0.0776882	0.0583373	0.043414	0.0327807	0.0315189	0.0327159	0.0408496	0.0417625	0.0431365	0.0585374
a6	0.0016288	0.0017028	0.00295944	0.00720421	0.00961504	0.0329438	0.0406234	0.0315829	0.0504341	0.0541711	0.0592218	0.0669559	0.0807593	0.0778791	0.059364	0.0453688	0.0348272	0.0367681	0.042949	0.0576144	0.060503	0.0636984	0.0812253
a0	0.00199469	0.00298335	0.00505341	0.0102349	0.0124426	0.0356369	0.0423768	0.0361291	0.0570082	0.0582989	0.0622221	0.0676134	0.0805235	0.0827143	0.0667516	0.0521097	0.0419743	0.0403665	0.0399254	0.0446723	0.0455152	0.0479012	0.0655515
a43	0.00242291	0.00297227	0.00507003	0.010622	0.0124874	0.0437537	0.051924	0.0463977	0.0722329	0.0890477	0.0850397	0.083631	0.0888441	0.0755712	0.0496379	0.0318786	0.0229394	0.0217553	0.0225483	0.029097	0.0344192	0.0434876	0.0742201
a11	0.00410136	0.00426724	0.00605411	0.011099	0.0133473	0.0424888	0.0488044	0.047512	0.0703798	0.106664	0.0974887	0.0938904	0.0926011	0.0732472	0.0459473	0.0280521	0.0193401	0.0171328	0.0158807	0.0209943	0.0268832	0.0388869	0.074937
a88	0.00523762	0.00493227	0.007094	0.0140857	0.0171937	0.0500076	0.0568356	0.0531326	0.0729508	0.109029	0.101739	0.0955484	0.0879201	0.065515	0.0406542	0.0249946	0.0170899	0.0156766	0.0139117	0.0183669	0.0236745	0.0367603	0.0676496
a71	0.00466313	0.00475024	0.00647928	0.0117556	0.0142638	0.0457629	0.0529318	0.0490317	0.0684409	0.108257	0.102782	0.0954525	0.0866347	0.0664522	0.0424346	0.0264639	0.0196318	0.0194556	0.0173968	0.0225992	0.0287952	0.0399385	0.0656272
a9	0.0120987	0.0128428	0.0159645	0.0263405	0.0294603	0.063704	0.0724346	0.0626339	0.083185	0.107506	0.0935229	0.0841262	0.0724916	0.0554239	0.0363082	0.0228707	0.0163162	0.0142598	0.0127538	0.0152804	0.0191357	0.0275045	0.043836
a87	0.0317475	0.0267729	0.0236204	0.0295739	0.0305566	0.044929	0.0488188	0.0482679	0.0593422	0.0744257	0.060334	0.0551227	0.0514484	0.0508101	0.0472529	0.039976	0.0374949	0.0357674	0.0342361	0.0315934	0.0336688	0.042239	0.0620013
a23	0.0561885	0.0431295	0.0265956	0.0249398	0.0230884	0.0275327	0.0304341	0.027747	0.0334188	0.040529	0.037894	0.0414475	0.0400401	0.0457528	0.0547902	0.0584997	0.0559659	0.0492766	0.0516221	0.0458287	0.0484399	0.0596437	0.0771954
a88	0.01543	0.0136581	0.00970647	0.0114558	0.0122491	0.0151612	0.0186706	0.0233754	0.0359301	0.0375669	0.0346016	0.0370378	0.036137	0.0427923	0.0525621	0.0529664	0.0540402	0.0466524	0.0567089	0.0634855	0.0838776	0.110704	0.13523
a62	0.00270437	0.00266353	0.00188931	0.00272511	0.00372175	0.00926962	0.010649	0.01201	0.0172526	0.0375371	0.036891	0.0422847	0.0388683	0.0438499	0.0524078	0.0561863	0.0622063	0.0739	0.0889707	0.0896066	0.103068	0.102843	0.108495
a47	0.00262027	0.00251613	0.00233007	0.00344026	0.00454334	0.0087591	0.0101814	0.0109199	0.0142473	0.0222392	0.0250548	0.0301412	0.0303885	0.0346627	0.0464492	0.0619831	0.0723092	0.0908414	0.104697	0.096709	0.101719	0.106565	0.116682
a88	0.00346105	0.00346429	0.00283106	0.00379569	0.00538753	0.0104636	0.0124843	0.0141639	0.0188351	0.0239173	0.0227834	0.0246448	0.0238645	0.0265509	0.0339712	0.0439662	0.0521094	0.0728173	0.100885	0.087915	0.104656	0.136207	0.170825
a9	0.00176369	0.0019607	0.00200945	0.00307103	0.00463548	0.00906188	0.0109488	0.0125021	0.0162276	0.0181686	0.0180764	0.0198609	0.02028	0.0229001	0.0298422	0.0386157	0.0465648	0.0686808	0.102049	0.0966599	0.11919	0.154306	0.182624
a0	0.00240596	0.00238865	0.00241072	0.0038723	0.00568924	0.014767	0.0172348	0.0177814	0.024971	0.0358416	0.0347561	0.0339783	0.0305935	0.0289773	0.0313103	0.0322304	0.0347238	0.0494209	0.0726402	0.0757795	0.105943	0.151888	0.190396
a31	0.00790434	0.0062152	0.00553453	0.00681377	0.00806674	0.0171003	0.0195338	0.0152769	0.0219078	0.0336016	0.0308998	0.0353486	0.0341009	0.0373506	0.0417111	0.0452524	0.050366	0.0702305	0.0936414	0.0950147	0.104191	0.108067	0.111871
a88	0.000927545	0.000815654	0.0011405	0.00233044	0.00366608	0.00865316	0.010763	0.0118576	0.0167228	0.0180196	0.0180069	0.0193568	0.0198664	0.0208719	0.0233103	0.0237899	0.0287492	0.0442554	0.0736197	0.0821247	0.127502	0.195413	0.248237
a9	0.00192007	0.00191117	0.00271298	0.00513472	0.00732127	0.0137203	0.0171625	0.0166818	0.021673	0.0235926	0.0227726	0.0242434	0.0243395	0.0251101	0.0281627	0.0278678	0.033117	0.0495896	0.0757628	0.0842384	0.121861	0.162816	0.208289
a87	0.00468336	0.00436836	0.00521712	0.00813742	0.0104957	0.0255066	0.0292354	0.0242066	0.0327992	0.0449216	0.0383865	0.0397117	0.035999	0.0349865	0.030217	0.024564	0.0247717	0.0350272	0.0529097	0.068201	0.108065	0.140257	0.177333
a23	0.0181335	0.0124101	0.0111606	0.0142892	0.0164971	0.0252037	0.0279641	0.0220697	0.0328413	0.044795	0.038842	0.0463655	0.0422015	0.04392	0.0470207	0.0522156	0.053217	0.0609009	0.0746327	0.070556	0.0748803	0.0762596	0.0936238
a87	0.00439664	0.00321663	0.00224841	0.00268671	0.00245722	0.00340617	0.00425493	0.00335312	0.00596922	0.008304	0.00911797	0.0139648	0.0145001	0.0176362	0.021448	0.0294816	0.0361303	0.0550773	0.0819214	0.108565	0.149206	0.190737	0.231922
</S>	0.00536157	0.00372079	0.00304332	0.00494806	0.00490731	0.00641844	0.0079202	0.00578979	0.0101261	0.0131998	0.0137641	0.0202964	0.0196471	0.022249	0.0254576	0.0328019	0.032609	0.0425114	0.0600029	0.0758392	0.113485	0.182727	0.293174
