 	dès	qu'	il	a	vu	le	fantôme	il	cité	la	devise	de	son	clan	</S>
a40	0.000460344	0.000531971	0.00080241	0.000970863	0.00110459	0.00162299	0.0024552	0.00680505	0.0113123	0.0200714	0.0341843	0.0828204	0.164962	0.289942	0.381955
a54	0.000207911	0.000238698	0.000436561	0.000534061	0.000715409	0.0012255	0.0018743	0.00636868	0.012321	0.0242193	0.0429607	0.0965694	0.161379	0.280413	0.370536
a47	7.29069e-05	8.79768e-05	0.00012932	0.000146539	0.000234949	0.000450295	0.000847926	0.00273711	0.00591806	0.013348	0.027552	0.0831924	0.164807	0.293465	0.407011
a36	3.54138e-05	2.71131e-05	3.1082e-05	3.91738e-05	7.86125e-05	0.000256927	0.000649981	0.00328828	0.00818047	0.018742	0.0359221	0.100082	0.170257	0.25707	0.405341
a2	0.000477162	0.00032784	0.000278481	0.000358217	0.000706503	0.00137545	0.00210515	0.00539772	0.0115389	0.027381	0.0512278	0.10927	0.14754	0.220464	0.421552
a57	0.0571453	0.0371305	0.0315515	0.0421943	0.0737418	0.0965929	0.0881234	0.101328	0.06835	0.0719114	0.0713058	0.0772293	0.0559358	0.0528329	0.0746271
a87	0.205836	0.101378	0.0554616	0.0493952	0.0560579	0.0628508	0.0674278	0.0828749	0.0474745	0.0422518	0.0400295	0.0483486	0.0445681	0.0480199	0.048026
a23	0.192464	0.0983895	0.0672718	0.0576373	0.0610918	0.0608572	0.0582544	0.0714584	0.0560004	0.0398509	0.0379817	0.046052	0.0484231	0.053175	0.0510929
a87	0.0588805	0.0676135	0.0562094	0.0427545	0.0491908	0.0376099	0.0195953	0.0349116	0.0359707	0.0367571	0.0515903	0.0783655	0.123879	0.151124	0.155548
</S>	0.00614479	0.00529709	0.00404296	0.00378457	0.00597874	0.00873419	0.00757448	0.0176113	0.01837	0.0213956	0.0334797	0.0733926	0.16035	0.303144	0.3307
