 	mon	fils	est	tenu	responsable	pour	tout	ce	qui	se	perd	dans	ce	village	</S>
a0	0.0227531	0.0407376	0.0940739	0.148746	0.0989237	0.0693521	0.0771251	0.0689315	0.0799446	0.0609658	0.0481351	0.0458692	0.0403764	0.0439396	0.0601261
a54	0.0111521	0.0196211	0.0542846	0.117193	0.115061	0.0717654	0.0774253	0.0696647	0.0772967	0.0589225	0.0498373	0.0550168	0.0548933	0.0643386	0.103528
a7	0.0138321	0.0249952	0.0540752	0.0991528	0.0837047	0.0514666	0.0590729	0.054832	0.0641958	0.0611719	0.0573855	0.0691164	0.0750517	0.0940563	0.137891
a26	0.00596602	0.0111593	0.0365609	0.0775123	0.0791653	0.0494434	0.0571319	0.0564226	0.0602855	0.0575812	0.0555735	0.0697038	0.0827191	0.113185	0.18759
a44	0.00405735	0.00685669	0.0240986	0.055999	0.0686566	0.0428027	0.0543687	0.0543845	0.0526422	0.0502938	0.0503625	0.0633969	0.0799521	0.126452	0.265676
a70	0.00605885	0.0100598	0.0284941	0.052513	0.064797	0.0443835	0.0553012	0.0564208	0.0521793	0.0518965	0.0558743	0.0768436	0.0890839	0.125167	0.230928
a34	0.00627617	0.0104788	0.0281175	0.0450368	0.057234	0.0408785	0.0533629	0.0565097	0.0492877	0.0496652	0.0572402	0.0822728	0.0975116	0.133482	0.232646
a75	0.00544928	0.00878278	0.0240613	0.0379169	0.0485675	0.0340515	0.0452154	0.0502513	0.0432238	0.0442345	0.052819	0.0837192	0.10596	0.149866	0.265882
a6	0.00638724	0.011072	0.0255641	0.035534	0.0408006	0.0303852	0.0423654	0.0455186	0.0446472	0.0527458	0.0622057	0.0889847	0.117688	0.162591	0.233511
a37	0.00499514	0.00915047	0.0242023	0.0385661	0.0374077	0.0255507	0.0356961	0.0368428	0.0378172	0.0487866	0.0576479	0.0847905	0.116966	0.173801	0.267779
a5	0.00225421	0.00374577	0.0131471	0.0219144	0.0238091	0.0150753	0.0188061	0.0234963	0.0198807	0.0229615	0.0331112	0.0721476	0.119067	0.200285	0.410298
a6	0.00427816	0.00628221	0.0161562	0.0233357	0.0242713	0.0180822	0.0232399	0.0293196	0.0231392	0.0249554	0.0335617	0.0618629	0.107315	0.195389	0.408812
a37	0.00424121	0.00724855	0.0206024	0.0331071	0.0279671	0.0197966	0.027036	0.0332989	0.0292265	0.034679	0.0436248	0.0695912	0.107385	0.182602	0.359594
a26	0.00195589	0.00313007	0.0101697	0.0161792	0.0149883	0.0101628	0.0131601	0.0184832	0.0130574	0.0142225	0.0257825	0.0591795	0.120621	0.212897	0.466011
a54	0.000513583	0.000640698	0.00167258	0.00339939	0.00395278	0.00288115	0.00328755	0.00416482	0.00301147	0.00323904	0.00759041	0.0326079	0.110609	0.247694	0.574736
a47	0.00218202	0.00351454	0.0110417	0.0196769	0.0149982	0.0112936	0.0151072	0.0185708	0.0155194	0.0220791	0.0334709	0.0575903	0.111758	0.21117	0.452027
a6	0.0014374	0.00225006	0.00755256	0.0166025	0.013456	0.00948782	0.0128361	0.0175824	0.0142498	0.0201815	0.031461	0.0692459	0.130512	0.226022	0.427124
a37	0.00122393	0.00171442	0.00535525	0.00976014	0.00710551	0.00539005	0.00760806	0.0107306	0.00800482	0.0124498	0.0242982	0.055835	0.133599	0.240689	0.476236
a70	0.000506697	0.000696243	0.0015885	0.00267103	0.00268838	0.00201261	0.00271075	0.00392946	0.00248153	0.00309889	0.00803731	0.0315313	0.114763	0.246436	0.576848
a11	0.000512499	0.000627855	0.00125193	0.00202638	0.00217323	0.00170111	0.00214497	0.00290463	0.0018766	0.00216106	0.0052839	0.0218508	0.0909047	0.236563	0.628017
a54	0.000475151	0.000567206	0.00118173	0.00165366	0.00177154	0.00153453	0.00191671	0.002741	0.0017677	0.00225247	0.0054936	0.0222581	0.0888929	0.233217	0.634276
a69	0.000548076	0.000718102	0.00182812	0.00279466	0.00312299	0.00288732	0.00349818	0.00533012	0.00345592	0.00406409	0.00915237	0.0348344	0.105067	0.236616	0.586082
a44	0.000306861	0.00044451	0.00142046	0.00284249	0.00299499	0.00248563	0.00297794	0.00440025	0.00286474	0.00324547	0.00707272	0.0281046	0.101516	0.234573	0.60475
a26	0.000185224	0.000276388	0.000840058	0.00135623	0.00155204	0.00130249	0.0016535	0.00257906	0.00156308	0.00204441	0.00511049	0.02479	0.104291	0.248749	0.603708
a44	0.000955238	0.000759948	0.00155248	0.00199361	0.0030898	0.00297283	0.00328751	0.00461476	0.00259237	0.00386041	0.00903217	0.0320171	0.106675	0.24723	0.579367
a13	0.000967991	0.000846933	0.0015261	0.00151547	0.00203028	0.00234258	0.00276121	0.00430496	0.00238903	0.00379864	0.00967358	0.0296209	0.099133	0.24737	0.591719
a99	0.00116341	0.00108249	0.00194528	0.00232483	0.00304988	0.00331005	0.0036506	0.00527709	0.00280183	0.00382513	0.00908378	0.0251551	0.0937042	0.244934	0.598692
a44	0.00391354	0.002849	0.00420775	0.0044133	0.00500572	0.00484069	0.0051544	0.00833529	0.00463063	0.00755242	0.0155303	0.0311769	0.0970108	0.235552	0.569828
a26	0.00378125	0.00285051	0.00387941	0.00332018	0.00339723	0.00405087	0.00481263	0.00809302	0.00440067	0.00789898	0.019223	0.0362191	0.0999836	0.235778	0.562311
a57	0.00989189	0.00667237	0.00940467	0.0106695	0.00965907	0.00851196	0.00938746	0.0141194	0.00819042	0.0144783	0.0269025	0.0420953	0.108701	0.224664	0.496651
a87	0.0359561	0.0196553	0.0226039	0.0271533	0.0239492	0.0169451	0.0168953	0.0218927	0.0162664	0.0255556	0.0348369	0.0626696	0.123596	0.206209	0.345815
a23	0.0735725	0.0440725	0.0374503	0.0475702	0.0389148	0.0277226	0.0304695	0.0350396	0.0305577	0.0373874	0.0414317	0.0612533	0.10829	0.158292	0.227975
a87	0.0990391	0.061579	0.0683434	0.0668822	0.0501037	0.0340704	0.0412514	0.0408535	0.0381243	0.0404741	0.0378814	0.0664192	0.0855765	0.105252	0.16415
</S>	0.0390523	0.0341187	0.0482815	0.0560871	0.0433589	0.022692	0.0276187	0.0331872	0.0330233	0.0350692	0.0375365	0.0786722	0.113873	0.146586	0.250844
