 	je	ne	comprends	pas	comment	il	a	trompé	sa	belle	famille	</S>
a99	0.0620547	0.0381721	0.0265232	0.0381931	0.0539591	0.054874	0.0772395	0.123816	0.156575	0.157504	0.111666	0.0994227
a50	0.0426524	0.0309967	0.0215955	0.0357969	0.0433915	0.0412726	0.0566105	0.101939	0.140372	0.165286	0.158666	0.161421
a83	0.00272997	0.00249253	0.00235841	0.00587384	0.0104754	0.0136125	0.0222942	0.0529842	0.0939158	0.167538	0.293523	0.332202
a38	0.00114814	0.0010805	0.0015056	0.00378413	0.00835016	0.0123846	0.0209524	0.0453391	0.0769682	0.152853	0.30142	0.374215
a93	0.000773156	0.000767031	0.00117935	0.00274609	0.00578562	0.00813956	0.0136885	0.0308258	0.0532592	0.12585	0.314801	0.442184
a70	0.000333782	0.000485297	0.00101323	0.00201462	0.00409312	0.00614229	0.0103032	0.0229899	0.0414316	0.105612	0.31877	0.486811
a13	0.000511714	0.00074216	0.00135177	0.00259879	0.00514355	0.00750566	0.0120949	0.0257135	0.0449918	0.107213	0.290454	0.50168
a93	0.000911932	0.00112939	0.00158709	0.00323446	0.00560237	0.00657853	0.00914652	0.0197372	0.0385252	0.100194	0.286249	0.527104
a70	0.000256429	0.000385231	0.000714559	0.00162471	0.0034973	0.00503395	0.00768271	0.0184418	0.0393814	0.0995303	0.289375	0.534077
a66	0.000343808	0.000531959	0.000752205	0.00162764	0.00322503	0.00440939	0.00628131	0.0143841	0.0294146	0.0820183	0.279663	0.577348
a3	0.00140996	0.00196594	0.00215627	0.00394696	0.00679007	0.00816886	0.0119211	0.0262942	0.0415404	0.0907314	0.277539	0.527536
a97	0.0310145	0.0172163	0.00957801	0.0147735	0.0222651	0.0274063	0.0413712	0.0733472	0.0869092	0.119837	0.223078	0.333204
a87	0.100093	0.0527618	0.0293837	0.0398255	0.0529748	0.0528549	0.0712557	0.0903977	0.086501	0.0969241	0.141986	0.185042
a23	0.0815164	0.0538717	0.0403008	0.0563597	0.0831534	0.0797573	0.103431	0.114156	0.0987627	0.0849405	0.0918937	0.111857
a87	0.0819039	0.0442744	0.0237468	0.0420384	0.0683874	0.0663782	0.0787024	0.0942689	0.0896818	0.090243	0.12177	0.198605
</S>	0.0299636	0.0254358	0.0191112	0.0291513	0.042502	0.0395098	0.0500654	0.0692398	0.0633939	0.07898	0.163362	0.389286
