 	cette	manière	d'	attiser	le	feu	est	celle	d'	un	homme	affamé	</S>
a47	0.0423336	0.0328577	0.0525863	0.14852	0.186142	0.16321	0.132052	0.106324	0.0558015	0.0331222	0.016738	0.0142314	0.0160804
a21	0.0261138	0.0166527	0.027117	0.0772035	0.169707	0.180796	0.164703	0.137898	0.0860179	0.0493231	0.0235538	0.0196111	0.0213028
a47	0.0135561	0.0105481	0.0195719	0.0463795	0.133546	0.161684	0.168865	0.169452	0.132072	0.078829	0.025697	0.018048	0.0217513
a12	0.00893989	0.00680545	0.0122509	0.0369739	0.150354	0.193824	0.197108	0.174036	0.112571	0.0616666	0.0179306	0.013158	0.014382
a18	0.00511206	0.00345368	0.00638292	0.0205307	0.100144	0.166204	0.204989	0.202377	0.135758	0.0797299	0.0264816	0.020932	0.0279061
a50	0.0137849	0.00773539	0.0110918	0.0375045	0.0814689	0.128536	0.203047	0.213055	0.122033	0.074633	0.0402883	0.0296091	0.0372135
a62	0.0170728	0.00982554	0.0132094	0.0368694	0.062065	0.0921804	0.165135	0.212759	0.149565	0.0985358	0.0507816	0.0397777	0.0522237
a21	0.00586908	0.00445594	0.00796831	0.0216557	0.0597491	0.100503	0.153262	0.205713	0.15995	0.112134	0.0619272	0.0480622	0.0587501
a92	0.00621446	0.00364159	0.00549798	0.0134092	0.0336059	0.0582485	0.092428	0.152926	0.169704	0.156548	0.126625	0.0880288	0.0931224
a44	0.00316392	0.00189931	0.00332635	0.0099085	0.0323655	0.0548287	0.0788118	0.13018	0.15192	0.142199	0.129591	0.115011	0.146795
a93	0.00473643	0.00277233	0.00475553	0.015674	0.0461399	0.0694903	0.0968377	0.135117	0.130122	0.120578	0.123005	0.101556	0.149216
a34	0.00478324	0.003204	0.00487532	0.0127796	0.035509	0.0582411	0.0959332	0.144099	0.142655	0.126376	0.122243	0.1044	0.144903
a62	0.00153118	0.00110958	0.00168155	0.00337555	0.015031	0.0293333	0.0524563	0.0971365	0.135977	0.125839	0.177708	0.156349	0.202472
a21	0.00155147	0.000896798	0.00147695	0.00451157	0.0180178	0.0347137	0.0591382	0.092193	0.101444	0.098288	0.167922	0.193744	0.226102
a5	0.0015615	0.000848821	0.00109245	0.00248517	0.00783856	0.0156412	0.0277869	0.0534786	0.0754022	0.08581	0.197694	0.282253	0.248108
a18	0.00103395	0.000660385	0.000922849	0.00222876	0.00778403	0.0158945	0.0274241	0.0475897	0.062996	0.0727639	0.182985	0.293956	0.28376
a61	0.00207703	0.00135352	0.00188769	0.00473931	0.0109925	0.016985	0.0341491	0.0531583	0.0507447	0.0510532	0.122462	0.250561	0.399836
a75	0.000850749	0.000571894	0.000859646	0.00247023	0.0080535	0.0162501	0.0331267	0.0571044	0.0596227	0.0617616	0.140311	0.276716	0.342301
a36	0.000423063	0.000281035	0.000368784	0.000632712	0.00308855	0.00608613	0.0113888	0.0181678	0.0265436	0.0337321	0.142969	0.341011	0.415308
a27	0.000980274	0.000576928	0.000785197	0.00157038	0.00518058	0.00928343	0.0179614	0.0241456	0.0240554	0.0266849	0.0990927	0.255947	0.533736
a10	0.0110966	0.00646468	0.00780205	0.0144029	0.023285	0.0269123	0.0456407	0.0592352	0.0490797	0.0523808	0.12507	0.224612	0.354018
a87	0.0314966	0.0201989	0.0191666	0.0260263	0.0289847	0.0306744	0.0398351	0.0528807	0.0573481	0.0769171	0.144342	0.212392	0.259737
a23	0.0691867	0.0326975	0.0214448	0.0163882	0.0240334	0.0286866	0.0407511	0.059368	0.104499	0.173883	0.183292	0.133713	0.112056
a87	0.0207157	0.00942223	0.00611663	0.00407909	0.00610763	0.00668107	0.0111051	0.0153437	0.03608	0.0863741	0.249424	0.196632	0.351918
</S>	0.00674699	0.00282099	0.00229112	0.00165808	0.00369745	0.00507553	0.0102266	0.0157456	0.0302129	0.058012	0.16303	0.229854	0.470629
