 	si	tu	attends	encore	un	peu	il	va	venir	</S>
a43	0.0344998	0.0338274	0.0406508	0.0428316	0.0419462	0.0488405	0.0856444	0.131181	0.218312	0.322267
a0	0.0298212	0.0259188	0.0319358	0.0346638	0.0339818	0.0360922	0.0633126	0.115888	0.231881	0.396504
a62	0.0177955	0.0155877	0.0196824	0.0214892	0.0228251	0.0285727	0.0575016	0.113455	0.266832	0.436259
a24	0.00928791	0.00819201	0.0115742	0.0123667	0.012724	0.0157925	0.0309838	0.0726345	0.270258	0.556186
a62	0.0149027	0.0132884	0.0163861	0.0141214	0.0136715	0.0159514	0.0288385	0.0662545	0.254312	0.562273
a83	0.0123158	0.0114572	0.0146617	0.0148211	0.0154091	0.0186857	0.0314838	0.0663511	0.24614	0.568675
a9	0.0048867	0.00472557	0.00643704	0.00732286	0.00791877	0.0102307	0.0196518	0.0523612	0.235956	0.650509
a53	0.00390098	0.00286863	0.00386389	0.00530535	0.00658569	0.0109782	0.0313914	0.0928442	0.297389	0.544873
a90	0.00238172	0.00232935	0.00350861	0.0047041	0.00493529	0.00726355	0.0175363	0.0568095	0.253351	0.64718
a98	0.00201844	0.00200795	0.00364581	0.00575137	0.00591152	0.00708143	0.0137956	0.0408413	0.204897	0.714049
a41	0.000431841	0.000506237	0.00114567	0.00275748	0.00335926	0.00481348	0.0128028	0.0472577	0.226842	0.700084
a56	0.000773602	0.000886943	0.00153629	0.00304308	0.00429042	0.00742183	0.0225579	0.0731639	0.268276	0.61805
a98	0.000586552	0.000800314	0.0017771	0.00396718	0.0044928	0.00604658	0.0149738	0.050925	0.240509	0.675922
a41	0.000619034	0.000770216	0.00150278	0.00271433	0.00339404	0.00575817	0.01903	0.0662696	0.282661	0.617281
a21	0.00138265	0.00180228	0.00280167	0.00389993	0.00469962	0.00743828	0.0216088	0.0668261	0.268109	0.621432
a47	0.00227116	0.00301836	0.00506216	0.00666527	0.00682388	0.00871627	0.0219625	0.0684739	0.267678	0.609328
a62	0.00150663	0.001987	0.00383481	0.00628228	0.0068055	0.00824238	0.019762	0.0604248	0.241225	0.649929
a41	0.00192143	0.00221082	0.00411456	0.00771712	0.0081995	0.00939134	0.0208483	0.0662981	0.249185	0.630114
a30	0.0015265	0.00207213	0.00349829	0.00515971	0.00600637	0.00841577	0.0233666	0.072443	0.270444	0.607068
a26	0.00133046	0.00135491	0.00173578	0.00252915	0.00327938	0.00565006	0.0207691	0.0761559	0.281676	0.605519
a57	0.00511814	0.0039064	0.0049647	0.00842525	0.0108913	0.0182673	0.0456978	0.11567	0.271106	0.515953
a87	0.0225597	0.0145903	0.0141458	0.0218068	0.0309039	0.0476445	0.0847601	0.144672	0.249345	0.369573
a23	0.0424721	0.0330912	0.0362394	0.038806	0.0403567	0.0488087	0.0796716	0.133753	0.225844	0.320957
a79	0.0169267	0.0140652	0.0213068	0.0299981	0.0333106	0.0476204	0.0990729	0.186591	0.258584	0.292524
a20	0.00534682	0.0028677	0.00351211	0.00608978	0.00899779	0.0192821	0.0491156	0.112779	0.299879	0.49213
a73	0.00435415	0.00261273	0.00419235	0.0105127	0.0172773	0.0327389	0.0689621	0.13595	0.281652	0.441748
a94	0.000863727	0.00084737	0.00217692	0.00816991	0.0138198	0.0233523	0.0531114	0.109019	0.251373	0.537266
a90	0.00344791	0.00293657	0.00510053	0.0116181	0.0173364	0.0287439	0.0660495	0.133303	0.264659	0.466805
a82	0.00316149	0.0028212	0.00453996	0.00850342	0.0105218	0.015809	0.0391017	0.102981	0.26252	0.550041
a38	0.00036428	0.000391824	0.000759053	0.00234285	0.00402129	0.00747405	0.0260156	0.0848545	0.263572	0.610205
a21	0.000855454	0.000866882	0.00161894	0.00440396	0.00649697	0.0101838	0.0283032	0.0851417	0.259948	0.602181
a61	0.00387265	0.00391513	0.00532997	0.00951703	0.0116735	0.0154528	0.0326506	0.0920707	0.256785	0.568732
a96	0.00216441	0.00238054	0.00375909	0.00707007	0.00965814	0.0137356	0.028816	0.0768327	0.248952	0.606631
a90	0.00111132	0.00125999	0.00219511	0.00465557	0.00640339	0.00881442	0.0200056	0.0593134	0.235568	0.660673
a38	0.00252323	0.00279655	0.00534964	0.0124796	0.0160798	0.0201642	0.0338819	0.0755743	0.221941	0.60921
a21	0.00107108	0.00117891	0.00228537	0.00536202	0.00723863	0.00952029	0.0186125	0.0523599	0.22084	0.681532
a41	0.00346339	0.00369821	0.00571651	0.00958773	0.0111976	0.0136576	0.0250331	0.0673629	0.22739	0.632893
a96	0.00254515	0.00315888	0.00457862	0.0058851	0.00721385	0.00999886	0.0250286	0.0710075	0.263059	0.607524
a54	0.00145627	0.00198716	0.00384802	0.00680662	0.0077753	0.00925435	0.0183552	0.051453	0.226272	0.672792
a41	0.00174809	0.00208311	0.00348078	0.00559588	0.0068279	0.00922677	0.0181252	0.0514512	0.230523	0.670938
a73	0.0028983	0.00289827	0.00358838	0.004465	0.0057756	0.00895947	0.0229475	0.0674043	0.274241	0.606822
a57	0.00141112	0.00148969	0.00183525	0.00249792	0.00350108	0.00568059	0.0173112	0.0604212	0.273672	0.63218
a87	0.00274183	0.00238892	0.00253589	0.00343685	0.00520178	0.010883	0.0314758	0.0904564	0.293874	0.557006
a23	0.00252839	0.00198499	0.00238214	0.00455214	0.00870455	0.0208851	0.0577325	0.130711	0.299267	0.471252
a87	0.00596143	0.00480525	0.00694819	0.0118124	0.0163108	0.0262826	0.0601767	0.130817	0.30097	0.435915
a23	0.00388375	0.00298131	0.00366192	0.00670421	0.0117089	0.0250182	0.066851	0.140411	0.283059	0.455721
a30	0.0155328	0.0144716	0.0220984	0.0308396	0.0348818	0.041499	0.0786089	0.142474	0.254386	0.365208
a53	0.0146983	0.0097822	0.0141462	0.0256772	0.0283988	0.0375559	0.0648665	0.130907	0.240667	0.433301
a15	0.00599467	0.00394189	0.00631513	0.0147933	0.0210218	0.033491	0.0586278	0.11811	0.268886	0.468818
a73	0.00143479	0.00128751	0.002456	0.00801024	0.0141797	0.0268275	0.0668696	0.135626	0.27135	0.471958
a56	0.000519602	0.000518076	0.00114163	0.00436064	0.0081269	0.015808	0.0448531	0.10409	0.257141	0.563441
a98	0.00238991	0.00227271	0.00412168	0.0104328	0.0152546	0.025804	0.0607024	0.13167	0.259845	0.487507
a41	0.00121763	0.00141669	0.00330783	0.0087512	0.0122188	0.018412	0.0451402	0.104072	0.251581	0.553882
a21	0.000721412	0.000863599	0.00171868	0.00391925	0.00608135	0.0107297	0.0342338	0.0891257	0.261917	0.59069
a62	0.00182362	0.00197568	0.00316954	0.00693286	0.0090561	0.0129031	0.0302876	0.0891796	0.256541	0.588131
a12	0.00153478	0.00212811	0.00385811	0.00622703	0.00792659	0.0112133	0.0273146	0.0751842	0.258499	0.606114
a41	0.00199032	0.00224789	0.00418099	0.00846799	0.0104399	0.0130202	0.0252917	0.0707955	0.232807	0.630758
</S>	0.00343959	0.00374313	0.00536013	0.00682305	0.00879502	0.013332	0.0342318	0.0877159	0.286272	0.550288
