 	elle	aime	le	riz	elle	ne	mange	rien	d'	autre	</S>
a12	0.0263877	0.0210317	0.0250268	0.0365311	0.0562437	0.0735195	0.0762424	0.0836258	0.127088	0.186196	0.288108
a70	0.0184287	0.0172759	0.021114	0.0339989	0.0557813	0.0715019	0.0833103	0.0972524	0.131805	0.196269	0.273263
a13	0.0181218	0.0174293	0.0197633	0.0291281	0.0473766	0.0678789	0.0875563	0.110196	0.144865	0.195238	0.262446
a34	0.0263945	0.0235791	0.0225633	0.0277789	0.0432298	0.0643321	0.0815527	0.100592	0.141441	0.190617	0.277919
a32	0.0291578	0.0225024	0.0225389	0.02898	0.0383666	0.0548188	0.0674661	0.0870534	0.133335	0.208484	0.307296
a75	0.0213709	0.0164555	0.0165563	0.0204297	0.0317722	0.0491345	0.064854	0.0854064	0.135008	0.217896	0.341117
a56	0.0268121	0.0240894	0.025403	0.0332595	0.0471744	0.0600706	0.0671517	0.0809433	0.119947	0.202128	0.313021
a32	0.0298234	0.027612	0.0282896	0.0362247	0.048723	0.0676813	0.0786048	0.098441	0.135471	0.18889	0.260239
a25	0.0320034	0.027272	0.0278035	0.0353775	0.0480592	0.0684521	0.0749498	0.0891202	0.127552	0.189517	0.279893
a90	0.0200099	0.0164812	0.0190292	0.0263293	0.039854	0.0566824	0.0637627	0.0758766	0.118567	0.205201	0.358207
a58	0.0182473	0.0148002	0.0177802	0.0271665	0.041684	0.0613074	0.0659636	0.0784528	0.120935	0.203336	0.350326
a38	0.0108422	0.00980867	0.0113041	0.0170097	0.0331615	0.0529401	0.0633793	0.0811511	0.13641	0.223657	0.360336
a98	0.0181969	0.0140877	0.0153087	0.018243	0.0308477	0.050085	0.0623763	0.0791613	0.134823	0.222028	0.354842
a73	0.006371	0.00539845	0.00724071	0.0107226	0.0208224	0.0347015	0.046597	0.0692659	0.135796	0.248644	0.414441
a84	0.00450071	0.00395573	0.00459218	0.00570704	0.0113664	0.0204497	0.0304783	0.050742	0.121159	0.256289	0.490759
a40	0.00469081	0.00413681	0.00419581	0.003959	0.00610846	0.0105228	0.0191076	0.0402026	0.130154	0.307508	0.469414
a98	0.00469371	0.00369021	0.00429359	0.00466938	0.00976187	0.0199822	0.0338464	0.0610137	0.139245	0.276279	0.442525
a73	0.00509988	0.00483958	0.00632653	0.00821377	0.0160594	0.0251979	0.0343227	0.0546772	0.126124	0.2603	0.458839
a84	0.00270019	0.00261601	0.00309707	0.00392658	0.00744947	0.0129446	0.0205652	0.0373552	0.104186	0.262561	0.542599
a57	0.00236784	0.00216532	0.00253998	0.00281206	0.00515886	0.0106658	0.0206453	0.0452597	0.141664	0.316886	0.449835
a87	0.00549527	0.00483873	0.00490957	0.00389335	0.0061449	0.0101005	0.01984	0.0457443	0.143062	0.306057	0.449914
a23	0.0108444	0.00759626	0.00781781	0.00540121	0.00936368	0.0168846	0.0328052	0.0630603	0.150129	0.256269	0.439829
a87	0.0219243	0.0135998	0.0169646	0.0139144	0.020803	0.032625	0.0601209	0.103412	0.171236	0.229123	0.316277
</S>	0.0134757	0.00859639	0.0109182	0.0094967	0.0194942	0.0313378	0.0488944	0.0732697	0.149585	0.238184	0.396748
