 	les	deux	amis	se	réjouissent	de	se	retrouver	après	leur	longue	séparation	</S>
a98	0.0156139	0.0269423	0.0487523	0.0597379	0.0842898	0.114827	0.119878	0.145391	0.0967322	0.0808367	0.0520278	0.0672792	0.0876918
a47	0.0108541	0.0198644	0.0370636	0.045999	0.0734432	0.0987359	0.100039	0.13646	0.0997778	0.0972058	0.0818272	0.0918937	0.106837
a36	0.00837954	0.0156646	0.0296031	0.0372923	0.057307	0.0895137	0.0950144	0.125218	0.100928	0.0981819	0.0729692	0.109453	0.160476
a47	0.00880925	0.0124374	0.0228545	0.0303365	0.0555767	0.0942998	0.108425	0.137987	0.115831	0.104972	0.0686028	0.0870028	0.152865
a6	0.00748638	0.0105233	0.0190074	0.0242621	0.0443658	0.0903778	0.109956	0.134801	0.119946	0.109873	0.076185	0.0915266	0.16169
a0	0.00384616	0.00556565	0.00949001	0.0131554	0.0312466	0.0685539	0.0901484	0.130088	0.109071	0.109709	0.0951764	0.130848	0.203101
a75	0.0041724	0.00529196	0.00813487	0.0106152	0.0261293	0.0688657	0.0948974	0.119457	0.107049	0.0980086	0.0650417	0.110097	0.282239
a85	0.00305624	0.00392277	0.00528395	0.00605082	0.0137707	0.0332427	0.0465706	0.0729037	0.0654968	0.0783061	0.0998478	0.224883	0.346665
a6	0.00533616	0.00688453	0.00871376	0.0100526	0.017043	0.0357909	0.039394	0.0624118	0.0549133	0.0693077	0.098761	0.249374	0.342017
a36	0.00556893	0.00788357	0.0119119	0.0162591	0.0317197	0.0546697	0.0652834	0.0908421	0.0813462	0.0957952	0.103603	0.181571	0.253546
a12	0.00422116	0.00575378	0.00781504	0.00921012	0.0189016	0.0385201	0.0535888	0.0714867	0.0899372	0.106668	0.107637	0.181911	0.304349
a21	0.00225857	0.00288061	0.00383399	0.00470144	0.0132231	0.0356217	0.0648318	0.0861154	0.105376	0.113886	0.118578	0.196307	0.252388
a85	0.00146123	0.00178749	0.00225725	0.00264824	0.00815496	0.0256727	0.051929	0.0707851	0.0888099	0.0995068	0.113157	0.241231	0.292599
a6	0.00229692	0.00291287	0.00357774	0.00344036	0.00641045	0.0197328	0.0287876	0.0427872	0.0549527	0.0699115	0.106682	0.25851	0.399998
a36	0.00065924	0.00092921	0.00138495	0.00177181	0.00463514	0.0127332	0.020638	0.0280877	0.0453784	0.0672065	0.0992414	0.330338	0.386997
a21	0.00109491	0.001139	0.0012763	0.00120338	0.0023442	0.00568689	0.00980801	0.0127441	0.0234247	0.0321775	0.0537149	0.323165	0.532221
a5	0.000697218	0.000885624	0.00121394	0.00142619	0.00358771	0.00985425	0.0196476	0.0242849	0.0400342	0.0511082	0.0823079	0.369288	0.395664
a23	0.000396218	0.00048723	0.000587188	0.00064578	0.00171949	0.00571891	0.0123789	0.0154109	0.0273518	0.0367161	0.0724101	0.410648	0.41553
a43	0.000153251	0.00017852	0.000209319	0.000205851	0.000519743	0.00174585	0.00366202	0.00425025	0.00869008	0.0135293	0.037226	0.400426	0.529204
a11	0.000150793	0.000185306	0.00023014	0.000277135	0.000797479	0.00225946	0.00460388	0.00550635	0.00999463	0.0146379	0.0388874	0.379737	0.542733
a75	0.000177952	0.000185223	0.000231323	0.000246802	0.000490199	0.00148019	0.00297027	0.00384531	0.00804822	0.0127662	0.0402911	0.339403	0.589864
a6	8.22429e-05	9.11174e-05	9.97549e-05	0.000113795	0.000323695	0.000941164	0.00191328	0.00243063	0.00460148	0.00774355	0.0252992	0.343307	0.613054
a36	5.76831e-05	6.96579e-05	8.20667e-05	9.06921e-05	0.000282565	0.00106631	0.00249522	0.00337107	0.00767908	0.0137209	0.0316547	0.327133	0.612297
a98	0.000233436	0.000224792	0.000248141	0.000274053	0.000489563	0.00113617	0.00208708	0.00219757	0.00513398	0.00853814	0.0288422	0.358582	0.592013
a47	7.6134e-05	7.90168e-05	8.80636e-05	8.32237e-05	0.000217873	0.000710044	0.00153786	0.00176085	0.00433235	0.00752702	0.0246154	0.318934	0.640038
a37	0.000179524	0.000166937	0.000175574	0.000170038	0.000452279	0.00152038	0.00317576	0.00332624	0.0085407	0.0132844	0.0385018	0.358266	0.572241
a26	0.000629094	0.000552347	0.000573105	0.000599321	0.000926603	0.00187264	0.00291455	0.00259719	0.00743028	0.0127465	0.0523192	0.378321	0.538518
a54	0.00779403	0.0055939	0.00481197	0.00421428	0.00585245	0.00924683	0.0111488	0.00771205	0.0257751	0.0375255	0.0852065	0.348291	0.446828
a6	0.000190141	0.000165911	0.000184103	0.000212866	0.00050895	0.00103319	0.00168086	0.00160987	0.00399848	0.00626796	0.0269672	0.273571	0.683609
a36	6.70077e-05	7.01698e-05	7.39478e-05	7.37502e-05	0.000200383	0.000541007	0.00113915	0.00125195	0.00295661	0.005116	0.0235988	0.323003	0.641908
a26	0.00072347	0.000631721	0.000679694	0.0008293	0.00139178	0.00254803	0.00351738	0.00225326	0.00845406	0.013803	0.0552042	0.360195	0.549769
a57	0.0168047	0.0116278	0.00964469	0.00833893	0.010299	0.0138076	0.0149671	0.0093918	0.0314403	0.043145	0.102681	0.326638	0.401214
a10	0.0406878	0.0246784	0.0222075	0.0179451	0.0235893	0.01956	0.0219496	0.0125825	0.036968	0.0456239	0.106162	0.311835	0.316211
a97	0.033421	0.0191461	0.0186912	0.0163882	0.022117	0.0232433	0.031873	0.0271293	0.0539057	0.0650564	0.123245	0.281429	0.284355
a23	0.0267811	0.0155103	0.0157881	0.0166125	0.0301891	0.037825	0.0519647	0.0529626	0.0767461	0.07805	0.120209	0.239603	0.237758
a97	0.0190602	0.0103643	0.00952342	0.00917097	0.0189976	0.0220446	0.0251464	0.0237579	0.0352683	0.0394851	0.0746375	0.238164	0.47438
</S>	0.0100136	0.00877718	0.012183	0.0146962	0.0310954	0.0286	0.0345827	0.0402875	0.0561831	0.0557784	0.0750666	0.230954	0.401782
