 	le	champignon	blanc	isyeeghe	pousse	aussi	bien	dans	la	forêt	que	dans	la	plaine	</S>
a20	0.000784623	0.000670277	0.000659279	0.000703041	0.00295543	0.0116397	0.0190933	0.0384015	0.0378116	0.0460858	0.0443044	0.0514159	0.0729745	0.199981	0.47252
a7	0.000444665	0.000354568	0.000297196	0.000253927	0.00133996	0.00603722	0.0108481	0.0255013	0.0256702	0.0331128	0.0337778	0.0437174	0.070643	0.225038	0.522964
a58	0.000451692	0.000330433	0.000278754	0.000167	0.000880357	0.00390264	0.00696795	0.0159311	0.0163716	0.023219	0.0255653	0.0400029	0.0776805	0.252279	0.535972
a84	0.025241	0.0176316	0.0126718	0.00379341	0.00980101	0.0183017	0.0190378	0.0302386	0.0285282	0.0305355	0.0313161	0.0399297	0.0967767	0.231011	0.405185
a87	0.0496326	0.0858599	0.0548913	0.0220651	0.0370214	0.047553	0.0430065	0.0546522	0.0418008	0.0364705	0.0326445	0.0448687	0.0867943	0.146537	0.216202
a23	0.0587046	0.0971759	0.0484378	0.0177335	0.0121092	0.0237066	0.0250041	0.0426033	0.0355202	0.0391437	0.0391281	0.0903231	0.127755	0.180843	0.161812
a83	0.0214889	0.0393983	0.0206219	0.0155292	0.00969443	0.0309786	0.0298935	0.0347694	0.0320298	0.0478596	0.0543586	0.116685	0.14489	0.175387	0.226417
a54	0.000965771	0.00265326	0.00236728	0.00283162	0.00735142	0.0319727	0.0379897	0.0442976	0.0353619	0.0400173	0.037982	0.0787154	0.121279	0.207119	0.349096
a47	0.000598757	0.00159566	0.00101793	0.00155594	0.00462038	0.0192208	0.029042	0.0444115	0.0361593	0.0350763	0.0299108	0.058033	0.120342	0.245241	0.373174
a0	0.000214634	0.000544367	0.000408043	0.000652898	0.00211442	0.00966624	0.0161659	0.0296298	0.0283519	0.0359752	0.0355713	0.0805499	0.152677	0.266156	0.341323
a25	0.000401175	0.000980936	0.000727849	0.00075056	0.00156723	0.00464212	0.00851354	0.0195596	0.0195154	0.0278194	0.0297816	0.0743758	0.159248	0.280354	0.371763
a90	0.000118354	0.00016195	0.000188352	0.000225647	0.000600745	0.00173675	0.00348366	0.00882207	0.00901236	0.0151221	0.0172029	0.049482	0.137156	0.289551	0.467136
a69	0.000143163	0.000175332	0.000327753	0.000287437	0.0006227	0.00126014	0.00222073	0.006582	0.00724637	0.0137051	0.0169536	0.0493366	0.127627	0.253395	0.520117
a94	0.000147177	0.000143333	0.000267552	0.000195899	0.00039044	0.000862865	0.00150061	0.00511036	0.00608263	0.0115518	0.0143195	0.0426227	0.133403	0.261977	0.521425
a4	0.000187746	0.000147423	0.000301139	0.000176297	0.000309432	0.000767259	0.00116631	0.00311441	0.00327433	0.00531828	0.00632162	0.023051	0.101651	0.27266	0.581553
a57	8.77751e-05	6.97186e-05	9.60412e-05	7.31397e-05	0.000197665	0.000705775	0.00132849	0.00443066	0.00547788	0.00991008	0.0125757	0.0398079	0.131325	0.250419	0.543495
a82	0.000170642	0.000119312	0.000151762	8.06961e-05	0.000161204	0.000376445	0.000497751	0.00132491	0.00153888	0.00290357	0.00394989	0.0147751	0.078066	0.240269	0.655614
a87	0.0213315	0.0281815	0.0246315	0.00914519	0.0229794	0.031981	0.0268559	0.0413492	0.0345877	0.0355347	0.0392305	0.0742223	0.131981	0.193502	0.284487
a23	0.0826396	0.111707	0.126669	0.0421135	0.0562261	0.0750547	0.0578599	0.0649276	0.0539042	0.0439352	0.0435564	0.048623	0.0540185	0.064898	0.0738683
a99	0.0130164	0.00992085	0.0109824	0.00439651	0.00385624	0.00528333	0.00699664	0.0168802	0.0201763	0.0338561	0.0391601	0.0882979	0.176447	0.262688	0.308042
a97	0.00460469	0.00502949	0.00397528	0.00247252	0.00400425	0.00861853	0.0129758	0.0283212	0.0354919	0.0513754	0.0578561	0.091975	0.14974	0.23527	0.308289
a26	0.00186024	0.00185182	0.00158744	0.00127933	0.00200963	0.00557291	0.00902456	0.017064	0.0192806	0.0257831	0.0267876	0.0450937	0.103176	0.254626	0.485002
</S>	0.00401782	0.00664542	0.00482216	0.00390702	0.00377789	0.0112768	0.0161681	0.0288984	0.0357997	0.0437824	0.0427141	0.0588309	0.106918	0.233089	0.399353
