 	les	gens	ne	savent	pas	qui	élire	comme	chef	du	village	</S>
a38	0.0139792	0.0120293	0.0129984	0.0140044	0.0198721	0.0448333	0.0558928	0.0500217	0.0682934	0.114548	0.237518	0.356008
a13	0.0197217	0.0160654	0.014726	0.0152819	0.0159303	0.0324445	0.0517682	0.0463495	0.0704674	0.120884	0.234194	0.362167
a82	0.0131962	0.0119776	0.0123778	0.0124419	0.011822	0.0269872	0.0472719	0.0433687	0.0707352	0.123332	0.244019	0.382471
a10	0.0234865	0.0181885	0.0158146	0.0171635	0.0187475	0.0431704	0.0748347	0.0663086	0.0957275	0.13972	0.215458	0.27138
a97	0.0332651	0.0265884	0.0228559	0.0272175	0.0298115	0.0667647	0.102653	0.0919718	0.111882	0.139436	0.169639	0.177915
a3	0.0326212	0.025507	0.0234552	0.0284863	0.0335458	0.064256	0.0913395	0.080974	0.106513	0.135091	0.175482	0.20273
a9	0.0369467	0.0289685	0.0305716	0.0411267	0.0407097	0.0647031	0.085263	0.0820862	0.112143	0.132017	0.162518	0.182947
a97	0.0402513	0.0386773	0.0523441	0.0605756	0.0413166	0.0563353	0.0660774	0.0660295	0.0874361	0.116449	0.16146	0.213048
a3	0.0509347	0.0498521	0.0663904	0.0627185	0.0370807	0.0500169	0.0608058	0.0617716	0.0828626	0.108442	0.153934	0.21519
</S>	0.078907	0.0767167	0.0915591	0.0718044	0.03983	0.0489015	0.0557015	0.0572273	0.0734015	0.0932947	0.129462	0.183194
