 	quand	nous	étions	au	ruisseau	vouma	nous	avons	vu	de	petits	enfants	pêcher	à	la	ligne	dans	un	étang	où	des	femmes	avaient	déjà	péché	à	l'	écope	</S>
a94	0.0113913	0.0152941	0.00983603	0.0191559	0.0240577	0.0358152	0.0523301	0.0495695	0.0511087	0.0496972	0.0456945	0.0375947	0.0311013	0.0277401	0.0247657	0.0249171	0.0325822	0.0350983	0.0436649	0.0361928	0.0359648	0.0418297	0.0421354	0.0379276	0.0351725	0.0273364	0.0282048	0.0403659	0.0534554
a54	0.00514235	0.00675931	0.00449435	0.0087626	0.0123221	0.0223804	0.0485887	0.0442537	0.0480971	0.0483649	0.0483938	0.0441803	0.0380518	0.0393616	0.0364597	0.0313927	0.0387363	0.0371724	0.0437116	0.0358329	0.0349451	0.038563	0.0412759	0.0412955	0.0409247	0.0315411	0.0292483	0.0410906	0.058657
a47	0.00293564	0.00329096	0.00275531	0.00463588	0.0077339	0.0180124	0.029932	0.0285945	0.0477851	0.069212	0.0812402	0.0751838	0.062549	0.0498729	0.0446226	0.0403544	0.0395864	0.0375904	0.0370043	0.0289374	0.027508	0.0359679	0.03396	0.034128	0.0209945	0.0207846	0.0208346	0.0327483	0.061245
a36	0.00231272	0.00225884	0.00173134	0.00342786	0.00626692	0.0174544	0.0295392	0.0328951	0.0597057	0.0993968	0.113296	0.0953558	0.0769392	0.0668055	0.0568592	0.0465447	0.0382558	0.0311257	0.0257939	0.0207574	0.0199292	0.0291765	0.0278271	0.017259	0.00760368	0.00733663	0.00837157	0.0162986	0.039476
a2	0.00324924	0.00318929	0.00219377	0.00316047	0.00459993	0.0109124	0.0206768	0.0213732	0.0333744	0.0742621	0.107816	0.0952937	0.0828752	0.0933741	0.08225	0.0581261	0.0461258	0.0338693	0.0270692	0.0235332	0.0225618	0.0297009	0.0247331	0.0143598	0.00934897	0.00843158	0.00908019	0.0172542	0.0372048
a57	0.00671008	0.0064605	0.00399927	0.00547066	0.00731352	0.0132301	0.020934	0.0213062	0.027104	0.0522755	0.0774005	0.0680721	0.0649331	0.0795285	0.0740626	0.0622597	0.0567106	0.0499982	0.0460441	0.0385588	0.0358859	0.0435702	0.036953	0.0210162	0.0189152	0.0116292	0.00953988	0.0145638	0.0255549
a87	0.0115992	0.0116126	0.00842495	0.0113374	0.0148045	0.0216932	0.0288169	0.0293879	0.0333673	0.0477238	0.0566787	0.0497424	0.0509278	0.0617687	0.0584702	0.0683569	0.0497391	0.0478205	0.0460384	0.0381183	0.0338447	0.040266	0.0397174	0.0290799	0.0252577	0.0140447	0.0119816	0.0212509	0.0381281
a23	0.04483	0.0357919	0.0212268	0.0231507	0.0294962	0.0352861	0.0385045	0.0346352	0.0409079	0.0452075	0.0412399	0.0361535	0.0360898	0.04882	0.0501179	0.0782291	0.0430869	0.0404637	0.0343284	0.0281657	0.0223101	0.0194171	0.0235853	0.0226636	0.0254513	0.0195599	0.0175616	0.0261254	0.0375939
a99	0.0157636	0.0129207	0.00802772	0.00923151	0.0124673	0.019787	0.0317451	0.026686	0.0333733	0.0330249	0.0346825	0.0380486	0.0378264	0.0348411	0.0382836	0.0449699	0.0308015	0.0311236	0.0317447	0.0260805	0.0234184	0.0239142	0.0308652	0.037256	0.056756	0.0578913	0.0519875	0.0685299	0.097952
a83	0.00109209	0.00141169	0.000972441	0.00232682	0.00430723	0.0155432	0.0314442	0.0216758	0.0260495	0.0366335	0.0417186	0.0556557	0.0539986	0.0479282	0.0520668	0.0546792	0.0398952	0.0351317	0.0291683	0.0245396	0.0213598	0.0198038	0.0267764	0.0338046	0.0456157	0.0550325	0.0579025	0.0690678	0.0943986
a0	0.00128104	0.00151385	0.000852402	0.00220616	0.0036962	0.0085281	0.0160575	0.011025	0.0143269	0.0168431	0.0153232	0.0171159	0.0160759	0.0141313	0.0155843	0.0172459	0.017316	0.0188292	0.0226485	0.020961	0.0191484	0.0169568	0.0219054	0.0340693	0.0631032	0.0869722	0.129166	0.179243	0.197874
a47	0.000645373	0.000727189	0.00036294	0.00082869	0.00117974	0.00244298	0.00612623	0.00464967	0.00638126	0.00819447	0.0085822	0.00912518	0.00844658	0.0103766	0.0113308	0.010278	0.0118371	0.0124904	0.015557	0.0133675	0.0126928	0.0120696	0.0160889	0.0295731	0.0538477	0.0691017	0.125729	0.2307	0.307267
a21	0.00103872	0.00122108	0.000644431	0.00124239	0.00178253	0.00316403	0.00674106	0.00557511	0.00726622	0.0108531	0.0124631	0.0127192	0.0129486	0.0153188	0.0159602	0.0152313	0.0169197	0.017543	0.0219674	0.0185756	0.0179548	0.0186411	0.0233462	0.0305484	0.047001	0.0539603	0.102529	0.20542	0.301424
a12	0.00148203	0.00174555	0.00112024	0.00150998	0.0017461	0.00225268	0.00428243	0.00409634	0.00678486	0.0104165	0.0116291	0.00998482	0.0103839	0.0102075	0.0107755	0.0125591	0.0156765	0.0185569	0.0239076	0.0215866	0.0223329	0.024182	0.0265985	0.0294421	0.0361886	0.0470756	0.11781	0.231731	0.283935
a18	0.00130238	0.00136394	0.000778848	0.00120405	0.00153933	0.00232423	0.00535859	0.00542311	0.00822505	0.0138318	0.0179477	0.0164127	0.0167988	0.0179781	0.0193304	0.0188366	0.0228902	0.0267628	0.0350488	0.0300806	0.0315337	0.0363039	0.0404219	0.0430607	0.0462954	0.0502866	0.097043	0.170083	0.221534
a47	0.000841829	0.000913393	0.000447966	0.000897126	0.00128604	0.00193917	0.0037272	0.00332467	0.00397316	0.00699801	0.0103743	0.012306	0.0138852	0.0179457	0.0195132	0.015712	0.0178026	0.0177851	0.0257533	0.0205754	0.0244623	0.03273	0.0448151	0.0545402	0.0700234	0.0749705	0.124303	0.176024	0.20213
a88	0.00156895	0.001326	0.000607248	0.000977103	0.00156537	0.00264471	0.00458107	0.00399666	0.00449883	0.00884233	0.0147044	0.0182912	0.0220811	0.0265562	0.02869	0.0236597	0.0251808	0.0257006	0.0366969	0.0312738	0.0369997	0.0476155	0.0603508	0.0648047	0.0757411	0.0715163	0.106343	0.123049	0.130137
a75	0.000969675	0.000852963	0.000458422	0.00069337	0.00108449	0.00181335	0.00337038	0.00317024	0.00386708	0.00705199	0.0110908	0.0115818	0.0130436	0.0155916	0.017954	0.0133035	0.0144344	0.0148989	0.0241283	0.0199217	0.0262901	0.0356624	0.0447218	0.0453762	0.0454486	0.0476393	0.100837	0.195629	0.279115
a85	0.000346588	0.000293344	0.00020566	0.00033255	0.000641077	0.00185194	0.00418042	0.00383981	0.00590885	0.0123414	0.0197705	0.0189044	0.0197591	0.0214786	0.0249173	0.0198584	0.0221794	0.0244827	0.0363482	0.0310517	0.0369945	0.0439589	0.0517545	0.0435867	0.0321436	0.0355574	0.076124	0.152301	0.258888
a6	0.000321283	0.000288679	0.000210267	0.000347102	0.000664532	0.00226464	0.00449773	0.00438638	0.00803804	0.0182639	0.0274598	0.0269346	0.0269574	0.0250158	0.0278146	0.0248643	0.0265063	0.0285668	0.0386265	0.0334187	0.0400815	0.0505124	0.0629584	0.0457118	0.0325928	0.0349762	0.0680529	0.126724	0.212943
a98	0.000188983	0.000202473	0.000163349	0.000278723	0.000434363	0.0012306	0.00296818	0.00274939	0.00513789	0.0140937	0.0251608	0.0288424	0.0261409	0.0238151	0.0253484	0.0190045	0.0218347	0.0216686	0.0338199	0.0266673	0.0356769	0.0572422	0.0753701	0.0494019	0.0214055	0.0232521	0.053542	0.12323	0.281129
a47	0.000251795	0.00023285	0.000168676	0.000363976	0.0006387	0.00236891	0.00502592	0.00484482	0.0102829	0.0263333	0.0392174	0.0369874	0.0346625	0.0319881	0.0356396	0.0321947	0.0314553	0.0320674	0.0385089	0.0325055	0.0380265	0.0517189	0.0565069	0.0363624	0.0177871	0.0202737	0.0460383	0.106725	0.230823
a6	0.000228047	0.000205015	0.000178247	0.000387554	0.000598194	0.00184304	0.00417024	0.00365607	0.00743513	0.0211992	0.0379516	0.0419337	0.0369317	0.0368397	0.0397521	0.0297777	0.0298068	0.0267879	0.0303222	0.0226714	0.0273157	0.0459013	0.053894	0.0334725	0.0151764	0.0175989	0.0447521	0.111786	0.277428
a36	0.000180163	0.000156916	0.000113458	0.000196414	0.000291487	0.000814163	0.00203163	0.00200978	0.00453798	0.0127842	0.0221921	0.0229107	0.0207581	0.0175268	0.0190527	0.0143541	0.018324	0.0188645	0.0293233	0.0259554	0.0365643	0.061347	0.0712407	0.0424793	0.0181315	0.0220512	0.0603027	0.141915	0.31359
a47	0.00080782	0.000700059	0.00042185	0.000694963	0.000875321	0.00201201	0.00348208	0.0031384	0.00396034	0.00827096	0.0131142	0.0187586	0.0196139	0.0205363	0.0222261	0.0176638	0.0168126	0.0129663	0.0173648	0.0163135	0.0228528	0.0357872	0.0409454	0.0251024	0.0143784	0.0175918	0.0583262	0.165757	0.419525
a0	0.000514923	0.000490147	0.000283974	0.000518967	0.000645384	0.00147192	0.00278493	0.00257696	0.00340717	0.00650347	0.00941229	0.01332	0.0136155	0.014547	0.0153572	0.0116494	0.0128952	0.0105649	0.0150359	0.0137364	0.0201245	0.032505	0.0405075	0.0251775	0.0149757	0.0184822	0.066941	0.197681	0.434274
a24	0.000613941	0.000584823	0.000316972	0.000676606	0.000887936	0.00216576	0.00412004	0.00346487	0.00381515	0.00696743	0.0100479	0.015516	0.0171446	0.0185681	0.019164	0.0128122	0.0120086	0.00873539	0.0108789	0.0105736	0.0147969	0.0205688	0.0224893	0.0167376	0.0142919	0.0198102	0.0753484	0.197604	0.45929
a9	0.000857499	0.000797627	0.000362315	0.000770702	0.000911422	0.00217733	0.00454269	0.00349842	0.00401242	0.0083588	0.0133741	0.0220874	0.0242797	0.025121	0.0254181	0.0163289	0.0149263	0.0110072	0.0130549	0.013001	0.0188214	0.0259051	0.0279005	0.0220968	0.0170698	0.0209808	0.0721702	0.175549	0.414618
a87	0.0143071	0.0120937	0.00502953	0.00645676	0.00596422	0.0088388	0.0118037	0.0111001	0.0109284	0.0178862	0.0280907	0.0416141	0.0472815	0.0542591	0.0591652	0.0543382	0.0417784	0.0312682	0.0343381	0.0304527	0.0378138	0.0481129	0.0443368	0.0217079	0.0180394	0.0204927	0.0487917	0.087692	0.146018
a23	0.0255778	0.0206511	0.00678124	0.00765757	0.00610016	0.00752148	0.00926369	0.0096264	0.0103711	0.0172003	0.0244856	0.0362028	0.0448729	0.0457795	0.0540959	0.0915783	0.0584303	0.0510847	0.048852	0.0414212	0.0358578	0.0347676	0.0274695	0.0187939	0.0211508	0.023842	0.0415127	0.0747588	0.104293
a54	0.00626868	0.00642898	0.00221758	0.00365687	0.00280008	0.00408003	0.00576927	0.0047026	0.00751434	0.01181	0.013069	0.0225682	0.0261194	0.0185118	0.0210329	0.0381631	0.0278664	0.0272474	0.026325	0.0229891	0.0183649	0.0178061	0.0244565	0.0320717	0.0460167	0.0645835	0.113131	0.181187	0.203243
a36	0.000484169	0.000562425	0.000220069	0.000588354	0.000621293	0.00115009	0.00245667	0.00207153	0.00390833	0.0101977	0.0193083	0.0238057	0.0237486	0.0246495	0.0274054	0.0226578	0.0216435	0.0201061	0.0263059	0.0199592	0.0217962	0.0285159	0.0362043	0.0298179	0.0364931	0.0383484	0.0742992	0.177344	0.30533
a37	8.33565e-05	0.000107936	5.41293e-05	0.000167812	0.000223841	0.000550775	0.00123786	0.00095469	0.00214606	0.00779813	0.0157998	0.0224444	0.0230481	0.0193476	0.021121	0.0154537	0.0150992	0.0123937	0.0169532	0.0120659	0.0158165	0.0233844	0.0391505	0.0326137	0.0354089	0.0422095	0.0857627	0.190579	0.348023
a79	9.987e-05	0.000112484	5.69601e-05	0.000130033	0.000167993	0.000428498	0.000968727	0.000721878	0.00150624	0.0057787	0.0109475	0.0151613	0.0156535	0.0117791	0.0125249	0.0086398	0.00878571	0.0077896	0.0117301	0.00934322	0.0131435	0.0197706	0.037616	0.0361229	0.0370527	0.0481346	0.102449	0.208932	0.374453
a69	5.93309e-05	6.47273e-05	3.83841e-05	0.000107026	0.000164568	0.000483691	0.00103154	0.000785237	0.00182444	0.00703732	0.0141548	0.0170412	0.016654	0.0118826	0.0132994	0.010851	0.0119895	0.0119104	0.0189689	0.0158102	0.024078	0.0367733	0.0511614	0.0344892	0.0275232	0.0346378	0.0855968	0.18214	0.369442
a90	6.86361e-05	7.59233e-05	4.60739e-05	0.000126772	0.000180278	0.000467349	0.000902843	0.000718376	0.00134456	0.00469331	0.00949197	0.0125108	0.0135384	0.0105692	0.0121342	0.00972496	0.0104148	0.00969507	0.0157507	0.0124228	0.0187281	0.0286858	0.0399035	0.0227367	0.0202356	0.0260588	0.0787624	0.200354	0.439658
a79	5.38533e-05	5.2788e-05	3.16309e-05	7.56643e-05	0.00011078	0.000310329	0.000678648	0.00057584	0.00114446	0.00378008	0.00707819	0.00881463	0.00939329	0.00702687	0.00797692	0.00593906	0.00701951	0.00701165	0.0130089	0.0115444	0.0186407	0.0298226	0.038812	0.0228166	0.016503	0.0225378	0.0774513	0.208081	0.473707
a7	4.85557e-05	4.96181e-05	2.76632e-05	7.58893e-05	0.000106519	0.000329883	0.000722374	0.000639232	0.00136818	0.00458441	0.00815393	0.010058	0.00965868	0.00655813	0.00728861	0.00549129	0.00654658	0.00633277	0.0107625	0.00946118	0.0146521	0.0249068	0.0313383	0.0181871	0.0126427	0.0182674	0.0686674	0.210244	0.51283
a32	0.000296942	0.000299694	0.000141774	0.000370649	0.000421809	0.00102951	0.00149728	0.00122017	0.00155666	0.00337409	0.00655454	0.0117065	0.0121084	0.0110817	0.0116818	0.00854409	0.00732	0.00464712	0.0047353	0.00448286	0.0052872	0.00764942	0.0100785	0.00903328	0.0138887	0.0262615	0.0864687	0.23379	0.514472
a54	0.000332682	0.000378543	0.00019886	0.000502791	0.000581212	0.00134988	0.00227399	0.0017827	0.00215326	0.00491708	0.00836045	0.0144942	0.0145845	0.01317	0.0135213	0.00872998	0.0075737	0.00483019	0.00547823	0.00498635	0.0070069	0.0112808	0.0149991	0.0117901	0.0134983	0.0231482	0.0842724	0.22727	0.496534
a37	0.000321282	0.000374328	0.000194681	0.00067371	0.000886451	0.00219828	0.00408951	0.00297425	0.00367228	0.00718939	0.0116984	0.0185941	0.0184073	0.0157639	0.0157243	0.0118926	0.00927885	0.00642363	0.00671603	0.00606134	0.00808902	0.0137098	0.0153	0.0156014	0.0165491	0.0233068	0.0752496	0.226706	0.462354
a94	0.000426982	0.000506375	0.000274511	0.000804374	0.000912619	0.00210018	0.00354021	0.0025733	0.00308405	0.00663149	0.010397	0.0181706	0.0168894	0.0155629	0.0152427	0.00959807	0.00869496	0.00547381	0.00568816	0.00529922	0.00705897	0.0114735	0.0143742	0.0138332	0.0135864	0.0240331	0.0790805	0.211685	0.493004
a13	0.000483595	0.000587433	0.000309976	0.000925752	0.00105741	0.00239328	0.0039432	0.00284887	0.00344816	0.00734371	0.0110067	0.0190091	0.01842	0.0169073	0.0165434	0.0100136	0.00922828	0.00590651	0.00628858	0.00580055	0.00784864	0.0121778	0.0163947	0.0153508	0.0177048	0.0308369	0.0974426	0.216964	0.442815
a57	0.00304447	0.00309917	0.00137975	0.00352414	0.00390366	0.00803127	0.0125514	0.00842966	0.00917933	0.0193858	0.0318818	0.0543338	0.058505	0.0618808	0.0601404	0.036618	0.0314229	0.0203595	0.0199713	0.0187426	0.0237812	0.0322402	0.0346007	0.0215909	0.0186007	0.0233313	0.0564524	0.104157	0.218861
a82	0.0274717	0.0223436	0.0103351	0.0167263	0.0158644	0.0213346	0.0230682	0.0193839	0.019906	0.026463	0.0314551	0.0435974	0.0480201	0.0503926	0.0548172	0.064939	0.0456248	0.0344917	0.0317521	0.0268895	0.0287323	0.0298392	0.0292164	0.017936	0.0195921	0.0206884	0.039974	0.066825	0.11232
a87	0.0464096	0.036466	0.0163957	0.0171843	0.0141999	0.0143138	0.0162442	0.0162846	0.0160418	0.0201463	0.023892	0.0295613	0.0359957	0.0422888	0.0503521	0.0822242	0.0544428	0.0481912	0.0509345	0.0428512	0.0444475	0.0433387	0.0379351	0.0219119	0.0193379	0.0173499	0.0264153	0.0443569	0.0704869
a23	0.0271289	0.0234509	0.0114127	0.00997882	0.00732582	0.00716788	0.0101779	0.0111845	0.0113963	0.0154705	0.0207143	0.026848	0.0375977	0.0492937	0.0620737	0.103002	0.0769673	0.0729956	0.0732682	0.0594858	0.0519149	0.0451906	0.0356348	0.0255895	0.0215289	0.0183638	0.0201697	0.0301516	0.0345157
a87	0.0119007	0.0113686	0.00418654	0.00608372	0.00461711	0.00621638	0.00900091	0.00854141	0.0133961	0.0188135	0.0206148	0.0312942	0.0367115	0.0297775	0.0353851	0.0690493	0.0522134	0.0538993	0.0513202	0.0448488	0.0341025	0.0296874	0.0304815	0.0316639	0.0360714	0.0432028	0.0684851	0.102684	0.104382
a23	0.00457707	0.00496287	0.00271708	0.00454264	0.00403537	0.00759599	0.0127564	0.0107818	0.0156094	0.0179275	0.0189049	0.0330286	0.0369732	0.0310655	0.036868	0.0802268	0.0533031	0.051904	0.0444575	0.0338531	0.0264434	0.0238778	0.0308496	0.0318908	0.035868	0.0313293	0.0504671	0.105843	0.157341
a87	0.00470845	0.00536302	0.00287122	0.0047907	0.00398034	0.00655563	0.0128532	0.0129773	0.0181455	0.0191936	0.0209302	0.0352115	0.0399666	0.0349083	0.0404287	0.0798186	0.0636543	0.0655218	0.0608924	0.0467808	0.0379434	0.0360733	0.0380614	0.0343449	0.0341432	0.0298017	0.0433987	0.0759763	0.090705
</S>	0.00609337	0.00659279	0.00403479	0.00576061	0.00474192	0.00851339	0.0158076	0.013254	0.0169144	0.0164653	0.0167144	0.0317795	0.0356833	0.0300994	0.0347267	0.0699169	0.0512825	0.0488973	0.0410828	0.0326589	0.0255273	0.0232247	0.0278529	0.0324582	0.0390902	0.0374451	0.0589135	0.114363	0.150105
