 	le	village	est	dans	un	silence	tendu	aujourd'	hui	parce	que	les	femmes	sont	allées	à	la	pêche	avec	les	enfants	</S>
a7	0.0020352	0.00199692	0.00269833	0.00247932	0.00359843	0.00851861	0.0363806	0.11536	0.0787639	0.0870813	0.0897194	0.0957843	0.0929642	0.062188	0.0918483	0.0487921	0.0454906	0.0319859	0.0263285	0.0237541	0.0250803	0.0271519
a98	0.00317576	0.00315057	0.00507058	0.003578	0.00551906	0.0108451	0.0229242	0.0976859	0.0924601	0.0964169	0.106489	0.110658	0.0947724	0.0619461	0.0804635	0.0410976	0.0284727	0.0219441	0.020463	0.0240982	0.0296214	0.0391475
a15	0.0018936	0.00176269	0.00224739	0.00177954	0.00274961	0.00572235	0.0210333	0.0918072	0.0743814	0.0879178	0.0941463	0.114362	0.117717	0.0729589	0.0832312	0.0416628	0.0309564	0.0219309	0.0226393	0.0274168	0.0356627	0.0460209
a98	0.00132984	0.00113818	0.00146037	0.00125645	0.00202665	0.00402524	0.0137663	0.0698261	0.0667294	0.0904389	0.0999511	0.123965	0.128054	0.0802482	0.0885289	0.0470466	0.0376926	0.0257971	0.023689	0.0261653	0.0304933	0.0363711
a47	0.0005547	0.000524092	0.000668415	0.000628312	0.00109717	0.00254556	0.0167606	0.0707315	0.0554202	0.077934	0.0864213	0.114836	0.143437	0.0963576	0.0938764	0.0554569	0.0395057	0.027177	0.0252331	0.0289284	0.030309	0.0315967
a36	0.00139245	0.00127994	0.00155002	0.00113672	0.00193305	0.00334285	0.0144147	0.0771798	0.0712369	0.0920037	0.0935426	0.112681	0.149131	0.0896728	0.086161	0.0453889	0.0307721	0.0177194	0.015778	0.0225529	0.0304329	0.0406982
a0	0.00259343	0.00230142	0.00341037	0.00185416	0.00261595	0.00409291	0.016568	0.076586	0.0677409	0.0962937	0.0836141	0.111733	0.150743	0.101705	0.0889288	0.0494438	0.0275876	0.0154836	0.012372	0.0184516	0.0258976	0.0399828
a43	0.00285331	0.00262869	0.00406738	0.00228497	0.00317318	0.00517215	0.0223103	0.0564345	0.0585645	0.0863325	0.0764041	0.116008	0.161854	0.100964	0.0950712	0.0485578	0.0301022	0.0159005	0.0147977	0.0229583	0.0302397	0.0433203
a75	0.00175131	0.00166976	0.00271033	0.00140029	0.00203135	0.00333428	0.0167522	0.0433771	0.0451721	0.0777308	0.0656517	0.105244	0.157434	0.110489	0.109724	0.0669838	0.0442487	0.0233075	0.0192573	0.0262566	0.0322621	0.0432118
a85	0.00079013	0.000647549	0.000869763	0.000616662	0.00092307	0.00145401	0.00694097	0.0327552	0.0327676	0.0555736	0.0561019	0.0855584	0.157458	0.096381	0.0750549	0.070246	0.0431884	0.0311679	0.0375739	0.0607453	0.0688121	0.0843739
a47	0.000495116	0.000507598	0.00071868	0.000557207	0.000857226	0.00134745	0.00647137	0.0306217	0.0310986	0.0524697	0.0539516	0.0958718	0.183017	0.104444	0.0805483	0.0717137	0.0414629	0.026969	0.0332598	0.0545331	0.0618956	0.067188
a36	0.00186912	0.00150665	0.0020482	0.00111087	0.00156245	0.0019208	0.00817424	0.034862	0.0377659	0.0684697	0.0562891	0.0860911	0.190981	0.117711	0.0756607	0.0706444	0.0366739	0.021314	0.0205803	0.033905	0.0481151	0.0827443
a2	0.0162415	0.0132492	0.018908	0.00947725	0.0102516	0.0144831	0.0321592	0.079625	0.061729	0.0936778	0.0633182	0.0756899	0.128623	0.100777	0.0793088	0.0569292	0.0315919	0.0176562	0.0127812	0.01905	0.0258598	0.0386139
a40	0.0466417	0.0372746	0.0458579	0.0277135	0.0274213	0.0335111	0.03467	0.0731257	0.0782477	0.0822588	0.0655569	0.0774516	0.109883	0.0658359	0.0553711	0.0319811	0.0239869	0.0129724	0.0109788	0.014497	0.0193069	0.0254557
a85	0.00589903	0.00418745	0.00436975	0.00216875	0.00218764	0.00266904	0.0147698	0.0330903	0.034326	0.0575921	0.0526664	0.0706506	0.110696	0.0825518	0.0686979	0.0741423	0.0472163	0.0395041	0.0455981	0.0624448	0.076086	0.108486
a92	0.00224133	0.00141503	0.00170527	0.00102002	0.00119295	0.00152135	0.00455054	0.0181332	0.0210942	0.0392565	0.0373572	0.0560285	0.117045	0.0773058	0.0561631	0.0766882	0.0589761	0.0482816	0.0594079	0.0904253	0.103731	0.12646
a12	0.00113151	0.000905563	0.00101918	0.000731433	0.000819894	0.00109921	0.00339534	0.0124527	0.0151437	0.0326639	0.0339105	0.0640782	0.131728	0.0754756	0.0482068	0.0747684	0.0540096	0.0425073	0.0635459	0.101898	0.11736	0.123149
a75	0.00139478	0.00118507	0.00173724	0.00107436	0.00132289	0.00192074	0.00562154	0.0196099	0.0255115	0.0534594	0.0469754	0.0797814	0.144678	0.0866557	0.0625468	0.0972356	0.07094	0.0481074	0.0533933	0.0668364	0.0613699	0.0686433
a85	0.000730547	0.000546378	0.000715334	0.000495825	0.000616368	0.000872865	0.00261892	0.0122012	0.0144636	0.0323514	0.0298135	0.0510194	0.119618	0.0708495	0.0431247	0.0793312	0.0510591	0.0384683	0.0556793	0.105962	0.133213	0.156249
a6	0.000505185	0.000497425	0.000784653	0.000561832	0.000717188	0.000953966	0.00203814	0.00956759	0.0124962	0.0296536	0.0271944	0.0574842	0.128505	0.0720357	0.044888	0.0849897	0.0557112	0.0448342	0.0676963	0.103577	0.122638	0.13267
a37	0.000510407	0.000419039	0.000529435	0.000372677	0.000424097	0.000658638	0.00204543	0.00871783	0.0121888	0.0341854	0.0330243	0.067422	0.137558	0.0820957	0.052705	0.0929921	0.066194	0.0480963	0.0678812	0.0967492	0.0980253	0.097205
a61	0.00071744	0.00049415	0.000656559	0.000415842	0.000481143	0.000803093	0.00235802	0.0105218	0.0148761	0.0358492	0.0316681	0.0600178	0.116196	0.0727243	0.0454579	0.0947366	0.0663711	0.0467561	0.0684404	0.111642	0.112118	0.106699
a62	0.00235135	0.00160034	0.00231853	0.00151759	0.00182893	0.00240027	0.0043571	0.0122685	0.0146313	0.0292294	0.0262728	0.0464473	0.0865841	0.0518373	0.0356481	0.0798924	0.0656832	0.0537593	0.0817322	0.131656	0.136939	0.131045
a88	0.00329594	0.00247193	0.0040853	0.00237536	0.00302408	0.00444129	0.0106178	0.0249554	0.0300311	0.050288	0.0403828	0.0608485	0.100924	0.0650891	0.0425125	0.073	0.049109	0.038259	0.0508392	0.0926779	0.112179	0.138593
a71	0.00464303	0.00399063	0.00745206	0.00389881	0.00442738	0.00799332	0.0220796	0.0304265	0.0302319	0.055523	0.0416873	0.0588632	0.0831732	0.0707716	0.0494517	0.0725815	0.0355234	0.0311807	0.0397309	0.0794524	0.10784	0.159078
a25	0.0130158	0.0109087	0.0155722	0.0101874	0.0112518	0.018773	0.0314214	0.0361615	0.0363693	0.0642118	0.0445853	0.0693701	0.0924267	0.0743694	0.0473976	0.0528534	0.0271638	0.0256269	0.0334172	0.0594569	0.0844221	0.141038
a38	0.0338921	0.0209303	0.0249143	0.0156246	0.016419	0.0197728	0.0228793	0.0274702	0.0347063	0.0524557	0.0396003	0.0535605	0.0690555	0.0534375	0.0382913	0.0465203	0.0322472	0.0299123	0.0412169	0.0719015	0.103627	0.151565
a90	0.0092118	0.00602734	0.00665102	0.00453292	0.00499193	0.00739391	0.0167616	0.020793	0.0212754	0.0368557	0.0252795	0.0361518	0.0490361	0.0434934	0.0302735	0.0488825	0.030027	0.0329603	0.0527008	0.109322	0.164656	0.242722
a98	0.001868	0.00122002	0.00170688	0.00113775	0.00113966	0.00178456	0.00507491	0.0122194	0.0134179	0.0292478	0.0222279	0.0336429	0.0482999	0.0429677	0.0286415	0.0625672	0.0338941	0.0353279	0.0537174	0.112676	0.17515	0.282071
a85	0.00058113	0.000467972	0.000678371	0.000509351	0.000556594	0.000748918	0.00202581	0.0071735	0.00879884	0.019001	0.0151999	0.0238482	0.0428927	0.0293074	0.0195766	0.0503044	0.0332742	0.0305565	0.0558179	0.130117	0.199249	0.329315
a47	0.000365565	0.00026557	0.000333741	0.000248258	0.000272137	0.000324471	0.000841675	0.00465423	0.00569287	0.0128585	0.0100608	0.0159538	0.0324382	0.020051	0.0137603	0.0409834	0.0318821	0.029443	0.0603829	0.148488	0.231433	0.339267
a36	0.000368303	0.000260154	0.000404031	0.000201548	0.00020406	0.000215316	0.000460436	0.00321191	0.0035305	0.00868929	0.00626378	0.00956131	0.0201414	0.0126942	0.00837292	0.0311031	0.0211169	0.022028	0.0535709	0.150355	0.251654	0.395593
a98	0.00644344	0.00359942	0.00505743	0.00231563	0.00209021	0.0024877	0.00329038	0.00715345	0.00683773	0.01178	0.00753354	0.0092871	0.0153501	0.0127981	0.00848228	0.0289826	0.0194695	0.0252031	0.0620498	0.170889	0.254794	0.334105
a47	0.000252123	0.000169435	0.000241311	0.000138768	0.00011976	0.000149259	0.000278658	0.00191537	0.00210229	0.00526573	0.0038998	0.00626364	0.0139486	0.00835836	0.00552523	0.0255605	0.0231422	0.0237051	0.0634571	0.176661	0.271184	0.367662
a6	0.000304694	0.00018969	0.00027571	0.000142791	0.000144304	0.000156799	0.000346212	0.00273697	0.00266043	0.00693823	0.00502328	0.00789277	0.0177778	0.0108603	0.00700641	0.0326139	0.022914	0.0276182	0.0741105	0.186237	0.248576	0.345473
a36	0.000318621	0.000187194	0.00024532	0.000150186	0.000146545	0.000178337	0.000330398	0.00221277	0.00268322	0.00678631	0.00522076	0.00951507	0.02043	0.0114504	0.0062317	0.0324231	0.0273001	0.0299017	0.0793872	0.195997	0.266072	0.302832
a2	0.00232543	0.00123277	0.00162549	0.000844608	0.000797403	0.000993688	0.00211278	0.00904775	0.0103102	0.0159141	0.0117558	0.0162471	0.0289839	0.0203974	0.0120268	0.0327527	0.0263515	0.0290413	0.0644466	0.159283	0.226351	0.327159
a57	0.043482	0.0263994	0.0319319	0.0249457	0.0250082	0.0238371	0.019523	0.0192673	0.0190255	0.0247132	0.0182442	0.0215319	0.0309354	0.027215	0.0174126	0.0366163	0.0275893	0.0356187	0.0692921	0.12568	0.146368	0.185363
a87	0.0850697	0.0399379	0.0347628	0.0220069	0.0231106	0.0216862	0.0230895	0.0153811	0.0157238	0.0253527	0.0215062	0.0227724	0.037467	0.0324453	0.0196179	0.0526764	0.0480275	0.0503713	0.0806301	0.113869	0.111303	0.103192
a23	0.06011	0.0440711	0.0340888	0.01261	0.0125082	0.0081917	0.0136525	0.0101982	0.00831486	0.0198772	0.0174784	0.020448	0.0334962	0.0340302	0.0194164	0.0590968	0.0463165	0.0502811	0.0851976	0.116789	0.144038	0.149789
a87	0.00513864	0.00276684	0.00264746	0.000979971	0.00115307	0.00092276	0.00177968	0.00368971	0.00240814	0.0105258	0.00670083	0.00853222	0.0168863	0.0178858	0.0126988	0.0773684	0.0648418	0.0844167	0.132135	0.179131	0.185981	0.18141
a23	0.00532708	0.00272515	0.00231711	0.000812394	0.000827178	0.000521232	0.00252428	0.00438814	0.00269698	0.00808671	0.00569587	0.00673693	0.0110252	0.0106035	0.00742956	0.0314975	0.0292547	0.0389121	0.0812609	0.147495	0.245881	0.353982
a87	0.00263782	0.00146284	0.00147576	0.00053375	0.000484583	0.000317533	0.00123638	0.00633545	0.00385169	0.0160693	0.00969334	0.0113952	0.0226277	0.0217676	0.0164939	0.0697027	0.0659754	0.07132	0.105271	0.149353	0.190639	0.231356
</S>	0.0078489	0.00433461	0.00397066	0.00152793	0.00146801	0.00085159	0.00393218	0.00740613	0.00483036	0.0125868	0.00949192	0.0114154	0.0175303	0.0153199	0.00960886	0.0359613	0.0312191	0.0387587	0.0750428	0.136916	0.231492	0.338486
