 	si	tu	ne	suis	pas	les	conseils	du	guérisseur	c'	est	toi-même	qui	seras	contaminé	de	rougeole	</S>
a83	0.00104588	0.000858198	0.000741013	0.000801132	0.00100411	0.00129117	0.00260938	0.00271745	0.00244243	0.00370857	0.00336587	0.00622104	0.0103259	0.0327767	0.0726253	0.185798	0.215177	0.45649
a34	0.000382929	0.000333381	0.000319488	0.000391762	0.000503056	0.000705434	0.00180262	0.00210149	0.002064	0.00287868	0.00268391	0.00408966	0.0059366	0.0270658	0.0557503	0.153008	0.200171	0.539812
a79	0.000318948	0.000263324	0.000245394	0.000285145	0.000415591	0.000684087	0.00206133	0.00190313	0.00152022	0.00223472	0.00149286	0.00315961	0.00562366	0.0248698	0.0605211	0.170887	0.216955	0.506559
a37	6.51046e-05	5.44842e-05	6.10158e-05	7.89908e-05	0.000147169	0.000250788	0.000921143	0.000747941	0.000577959	0.000855687	0.000389852	0.00073422	0.00125662	0.00687015	0.0193639	0.081741	0.160908	0.724976
a21	0.000319924	0.000251186	0.000222309	0.000286975	0.000422857	0.000645096	0.00224773	0.00283885	0.00257159	0.00336941	0.00213238	0.00245963	0.00380625	0.021931	0.045324	0.121468	0.195028	0.594675
a61	0.000290166	0.000242329	0.000211849	0.000236008	0.000344887	0.00058257	0.00180101	0.00211984	0.00168087	0.00214207	0.00144497	0.00234677	0.00344745	0.0175731	0.0554705	0.156591	0.201713	0.551761
a18	0.000345005	0.000302465	0.000282052	0.000323345	0.000475971	0.000737744	0.00212005	0.00218581	0.00156823	0.00218099	0.00150464	0.00240793	0.00395579	0.0175232	0.0479405	0.14834	0.192415	0.575391
a25	0.00256964	0.00176628	0.00125225	0.00143999	0.0015085	0.00183236	0.00562676	0.0066217	0.00668607	0.00922175	0.0056425	0.00597959	0.00943442	0.0373985	0.062846	0.144758	0.197087	0.498329
a99	0.0189442	0.0131488	0.0101175	0.0100036	0.00945394	0.010564	0.0164364	0.0263561	0.0362893	0.0360301	0.0353336	0.0368024	0.0263186	0.0476285	0.0637379	0.155474	0.169084	0.278277
a87	0.0243205	0.0166864	0.0128174	0.0117321	0.0115878	0.0138883	0.0205832	0.0430799	0.0679883	0.0641655	0.0702445	0.0698676	0.0366077	0.0452728	0.0586298	0.113389	0.126108	0.193031
a23	0.0264755	0.0169814	0.0129277	0.0113054	0.0121143	0.0158944	0.0267497	0.0624044	0.0951934	0.10293	0.121209	0.12281	0.0544421	0.0344111	0.038413	0.0645118	0.0682567	0.11297
a87	0.0328891	0.0148244	0.0100976	0.00845303	0.00967176	0.0107436	0.0201178	0.0294345	0.0421984	0.0694975	0.0575501	0.0625255	0.0334777	0.0214085	0.0303817	0.0698703	0.129568	0.347291
</S>	0.0128867	0.00714865	0.00633449	0.00601223	0.00815512	0.00947845	0.0229187	0.0260482	0.0342612	0.0503191	0.0552109	0.0477136	0.0192087	0.0118003	0.0201301	0.0588016	0.115815	0.487757
