 	j'	ai	souffert	pour	décrasser	la	chambre	où	logeait	le	malade	</S>
a87	0.0163379	0.0236853	0.0210374	0.0268745	0.0383583	0.0441804	0.0668722	0.117639	0.134701	0.114473	0.146779	0.249062
a23	0.00939428	0.013605	0.0104299	0.0114602	0.0246131	0.0539398	0.100353	0.103066	0.110826	0.124844	0.166525	0.270942
a83	0.0211812	0.0229059	0.0137339	0.0123254	0.0202508	0.0589251	0.107438	0.113743	0.0903745	0.0925907	0.137863	0.308669
a62	0.0258991	0.0237631	0.0197194	0.013944	0.0198998	0.0432136	0.0565661	0.0686954	0.0683091	0.0915595	0.163728	0.404702
a83	0.0719626	0.0629682	0.0591927	0.0534173	0.0692733	0.0932203	0.109568	0.104361	0.0905518	0.0760074	0.0854018	0.124075
a9	0.0316716	0.0343315	0.0355363	0.0385448	0.0565567	0.0764827	0.118954	0.127654	0.138999	0.121521	0.103841	0.115907
a38	0.0054991	0.00725506	0.00833671	0.00960637	0.0163973	0.0357717	0.0626613	0.0956893	0.138916	0.235381	0.195099	0.189387
a56	0.0073479	0.00865641	0.00854005	0.0100639	0.0127746	0.0153382	0.0327932	0.0536956	0.115268	0.192723	0.233429	0.30937
a92	0.0144299	0.0126186	0.016534	0.019657	0.0166517	0.0209495	0.0483918	0.0835109	0.13338	0.170965	0.201769	0.261143
a98	0.00849371	0.00738691	0.0094068	0.0121166	0.0110311	0.0121581	0.025519	0.0507375	0.0996332	0.167088	0.238983	0.357446
a44	0.00334406	0.00314405	0.00393686	0.00557165	0.00716614	0.00772084	0.0107232	0.0295109	0.09491	0.222622	0.269471	0.341879
a13	0.00328913	0.00349806	0.00400616	0.00578181	0.00578875	0.00624745	0.00986604	0.031725	0.104618	0.238512	0.278376	0.308292
a90	0.0024994	0.00280996	0.0035	0.00461851	0.00363217	0.00489098	0.00862681	0.0268437	0.0983692	0.233106	0.297325	0.313778
a92	0.00289206	0.00247459	0.00264807	0.00360185	0.00385978	0.00508718	0.0114725	0.0377316	0.140461	0.240716	0.274667	0.274388
a11	0.0039483	0.00354314	0.00361389	0.00438123	0.00479334	0.00681	0.012805	0.038468	0.128703	0.217847	0.258958	0.31613
a75	0.000357864	0.000491479	0.000482997	0.000718849	0.000699143	0.00101136	0.0020997	0.00772216	0.0316329	0.14094	0.299859	0.513985
a5	0.00314202	0.00329392	0.00280421	0.00306319	0.0031652	0.00423916	0.007067	0.0178841	0.0641707	0.171731	0.286016	0.433423
a96	0.00405081	0.00334781	0.00337099	0.00422201	0.00281063	0.0042263	0.00864417	0.0244238	0.0792957	0.171398	0.287128	0.407082
a83	0.000850324	0.000985026	0.0010391	0.00150133	0.00112636	0.00178886	0.00387657	0.0130561	0.0493158	0.144258	0.288959	0.493243
a21	0.000386949	0.000537597	0.000523396	0.000817491	0.000836331	0.00129424	0.00273829	0.00798737	0.0329947	0.118999	0.288001	0.544884
a66	0.00155386	0.00151361	0.00162399	0.00235332	0.00204222	0.00340145	0.00891939	0.0214524	0.0618421	0.135611	0.281028	0.478658
a75	0.000286839	0.000378955	0.000294693	0.000326337	0.000392754	0.000603805	0.0012435	0.00430661	0.0233346	0.129826	0.29516	0.543846
a25	0.000341634	0.000501472	0.000391902	0.000514622	0.000700136	0.000871167	0.00175721	0.00363014	0.0145723	0.0703231	0.246181	0.660215
a90	0.000438843	0.000588302	0.000417776	0.000519703	0.000915909	0.00119247	0.00246046	0.00847684	0.0418274	0.147896	0.283078	0.512189
a82	0.000206057	0.000300779	0.000274353	0.000392537	0.000441647	0.00055892	0.00113951	0.00404704	0.0194956	0.100999	0.260539	0.611606
a84	0.000305808	0.000327482	0.000245608	0.000265637	0.00025158	0.000370289	0.000653577	0.00218107	0.00859414	0.077076	0.242637	0.667092
a53	0.00526614	0.00454289	0.00326113	0.00301777	0.00227694	0.00322915	0.00528254	0.0139486	0.0344467	0.144291	0.293445	0.486993
a93	0.000534339	0.000622332	0.0003244	0.000270855	0.000262687	0.000598701	0.00121193	0.00353853	0.0138472	0.0958345	0.276031	0.606923
a83	6.6841e-05	0.000111448	7.17972e-05	7.29901e-05	9.21726e-05	0.000177733	0.000402342	0.00141047	0.00671257	0.071404	0.255566	0.663912
a9	0.000187692	0.000283545	0.000202791	0.000208666	0.000208879	0.000355627	0.000687263	0.00277175	0.0124896	0.095373	0.259883	0.627348
a87	0.00212995	0.00184556	0.00100548	0.000729376	0.000469847	0.00100256	0.00178792	0.00662857	0.0229063	0.114104	0.2864	0.56099
a23	0.0492718	0.0386739	0.021382	0.0141415	0.00642242	0.0126033	0.0272116	0.0495613	0.0601864	0.143069	0.248413	0.329064
a87	0.00974574	0.0123125	0.00766409	0.00488329	0.0029407	0.00760127	0.0145539	0.0251309	0.0307281	0.134704	0.29509	0.454645
</S>	0.00392764	0.00507128	0.00293618	0.0021007	0.00208633	0.00606042	0.0160956	0.0232618	0.0267703	0.117346	0.261777	0.532566
