 	le	chasseur	a	flétri	des	feuilles	du	bananier	pour	emballer	la	viande	</S>
a76	0.00583812	0.00740741	0.00944968	0.0153219	0.0250879	0.0464093	0.0652779	0.0805611	0.0757928	0.0702213	0.123431	0.198415	0.276787
a56	0.00663305	0.00709443	0.00891913	0.0103621	0.0170069	0.0306805	0.0403282	0.0432473	0.0493837	0.0555328	0.119498	0.231139	0.380175
a96	0.00613184	0.00741215	0.00812252	0.011249	0.0179338	0.0364814	0.0554028	0.0670795	0.0781252	0.104311	0.150272	0.194695	0.262784
a24	0.00258529	0.00295663	0.0031971	0.004958	0.00808153	0.0159371	0.0240068	0.0298159	0.0386169	0.0525673	0.13224	0.258329	0.426709
a66	0.00346994	0.00362932	0.00396527	0.00600236	0.0087632	0.0165399	0.0251082	0.0298306	0.0386135	0.0524808	0.129414	0.259576	0.422607
a75	0.00220958	0.00220618	0.00260204	0.00438568	0.00635619	0.0113534	0.0167098	0.0198263	0.033556	0.0440827	0.129078	0.262176	0.465458
a47	0.00318794	0.00387777	0.00439786	0.00715206	0.0111138	0.0191026	0.0247884	0.0261964	0.0341943	0.0537987	0.144532	0.259609	0.408049
a56	0.00308362	0.00371048	0.00413417	0.00691805	0.00953628	0.0143155	0.0183332	0.0189862	0.0301467	0.0495106	0.145601	0.258935	0.436789
a75	0.00100771	0.00112248	0.00128977	0.00224117	0.00352591	0.00653311	0.0089039	0.0107434	0.0180546	0.0292521	0.111241	0.256806	0.549279
a85	0.00111166	0.00130489	0.00156428	0.00269304	0.00468136	0.00895897	0.0126761	0.0142316	0.0260075	0.0469962	0.150366	0.265358	0.464051
a61	0.00181226	0.00205805	0.00249843	0.00353803	0.0059133	0.0108135	0.0156483	0.0183089	0.0351477	0.0629154	0.168157	0.264139	0.409051
a41	0.000885142	0.000868716	0.00101724	0.00155397	0.0023582	0.00474137	0.00686104	0.00889611	0.0145448	0.0254439	0.109376	0.260962	0.562492
a6	0.00112142	0.00125684	0.00175334	0.00229137	0.00475113	0.00958658	0.0110659	0.0103572	0.023418	0.0409338	0.126233	0.251834	0.515397
a37	0.000797781	0.000906343	0.00110233	0.00189843	0.0035625	0.00742581	0.0100846	0.01175	0.0252953	0.0436349	0.151867	0.268723	0.472952
a66	0.000357145	0.000473039	0.000520381	0.000935907	0.00169808	0.0026537	0.00352925	0.00397911	0.00990963	0.017976	0.0937869	0.268932	0.595249
a26	0.00274471	0.00332696	0.00366233	0.00448042	0.00888482	0.0130383	0.0149531	0.0147253	0.0354754	0.0503039	0.135318	0.254632	0.458455
a57	0.0234162	0.0196954	0.0140463	0.0101729	0.0169244	0.0244427	0.0256032	0.0238382	0.0503667	0.0656541	0.138644	0.217835	0.369361
a87	0.0614881	0.0510561	0.0406628	0.0263678	0.0409965	0.04601	0.0449013	0.0447938	0.0779505	0.0985966	0.132029	0.148381	0.186766
a23	0.0819749	0.0699481	0.0621104	0.0519572	0.0848291	0.0851066	0.0716259	0.0616112	0.0730077	0.0928355	0.0838816	0.0863378	0.0947739
a87	0.00802779	0.00600734	0.0063495	0.00409282	0.0144706	0.023588	0.0256989	0.0259618	0.0589628	0.11273	0.17299	0.244253	0.296868
</S>	0.00350365	0.0032921	0.0034616	0.00405548	0.0139574	0.0233017	0.0196458	0.0169598	0.0395251	0.0787005	0.145224	0.25561	0.392762
