 	la	manière	dont	il	a	quitté	la	maison	cache	quelque	chose	</S>
a31	0.00628972	0.0108392	0.0173499	0.0393548	0.0558519	0.0872572	0.136881	0.152098	0.130495	0.0982938	0.10397	0.161319
a47	0.00392523	0.00598795	0.0101711	0.0265119	0.0415794	0.0656134	0.111327	0.137649	0.137958	0.126697	0.134531	0.198049
a62	0.00557934	0.00733661	0.0114238	0.0288659	0.0397035	0.0521183	0.0911092	0.117248	0.133437	0.12352	0.144767	0.244891
a88	0.00428788	0.0061722	0.0092467	0.0185085	0.0272044	0.0430751	0.076652	0.106424	0.123515	0.150431	0.186074	0.248409
a93	0.00175095	0.00242091	0.00364343	0.00954882	0.0145073	0.0205975	0.040155	0.0637583	0.0891268	0.13261	0.237309	0.384573
a90	0.00191639	0.00277742	0.00410938	0.010095	0.0149861	0.0199857	0.0394149	0.0651125	0.0954447	0.140108	0.223175	0.382876
a69	0.000543536	0.000870451	0.00129365	0.00417898	0.00691455	0.00937254	0.022715	0.0446541	0.0759159	0.148119	0.235166	0.450256
a4	0.000621823	0.000872052	0.00131941	0.00480164	0.00771799	0.0101619	0.0215658	0.041987	0.0772729	0.141195	0.233479	0.459005
a58	0.00102749	0.000801122	0.000814323	0.00279977	0.00508515	0.00639256	0.0152644	0.0272587	0.063867	0.152739	0.2533	0.470651
a57	0.00189752	0.00164034	0.00134065	0.00284707	0.0036475	0.00430043	0.00933196	0.0156479	0.0292666	0.0838464	0.215949	0.630284
a82	0.011597	0.00940743	0.00711944	0.0110176	0.0123957	0.0136653	0.0236714	0.0410687	0.0800989	0.128119	0.230895	0.430944
a3	0.0282373	0.0189384	0.0111883	0.0147466	0.0170621	0.0230872	0.0383516	0.0790945	0.156177	0.180377	0.205389	0.227351
a99	0.0283818	0.0168942	0.00950651	0.0154643	0.0209273	0.0336325	0.0707179	0.147625	0.217508	0.17435	0.134108	0.130885
a87	0.0399787	0.0167687	0.00911078	0.0176403	0.0296258	0.0473269	0.0922969	0.159934	0.199291	0.147809	0.119292	0.120926
a23	0.0353791	0.0161926	0.0111797	0.0267256	0.0464808	0.0667501	0.104004	0.162284	0.192739	0.117572	0.0987889	0.121905
a99	0.0236555	0.0114876	0.00671853	0.0114117	0.0203734	0.0358886	0.0552729	0.0874463	0.0983391	0.184556	0.193553	0.271298
a87	0.0240151	0.0120081	0.00924786	0.0198337	0.0298286	0.0402513	0.0480734	0.0711316	0.0769352	0.147499	0.202038	0.319138
a23	0.0101302	0.00521952	0.00358916	0.00763344	0.0121094	0.0183638	0.0253484	0.0457914	0.0485196	0.0805458	0.181687	0.561063
a3	0.0156479	0.00823946	0.00509556	0.00858072	0.0161008	0.0264602	0.0363558	0.0649035	0.0701718	0.126848	0.203858	0.417738
</S>	0.016276	0.0139338	0.00936199	0.013938	0.0200612	0.0313488	0.0365779	0.0561753	0.0566507	0.102352	0.18883	0.454495
