 	quand	tu	dépèces	un	animal	garde-toi	de	crever	la	bile	car	celle-ci	est	amère	</S>
a75	0.0314666	0.0526487	0.107801	0.132414	0.157682	0.15382	0.117725	0.0721988	0.0337094	0.0331416	0.0220136	0.0171375	0.0147973	0.0200875	0.0333566
a5	0.0297559	0.0418806	0.0973998	0.126698	0.155635	0.153493	0.109206	0.0710086	0.0436924	0.0526542	0.0311142	0.0181685	0.014184	0.0181145	0.0369951
a96	0.0405518	0.0439761	0.097103	0.129055	0.149397	0.151076	0.107335	0.0711323	0.0440195	0.0559977	0.0309049	0.0176597	0.014293	0.0161564	0.0313428
a75	0.0263069	0.0359875	0.0714496	0.122598	0.167113	0.172565	0.118903	0.0734377	0.0456243	0.0569068	0.0319986	0.0168752	0.0131065	0.0158403	0.0312871
a6	0.0312258	0.0372674	0.0802742	0.0976527	0.139864	0.140583	0.100165	0.0661489	0.0532519	0.0714848	0.0476966	0.0306101	0.0250072	0.0274574	0.0513121
a37	0.0155612	0.0261743	0.0604082	0.0882677	0.141105	0.15167	0.119845	0.0815578	0.0536949	0.0653429	0.0479774	0.0278847	0.0232219	0.0312511	0.0660378
a7	0.0113541	0.0217391	0.0552624	0.0845535	0.129386	0.142836	0.125731	0.0955209	0.0609629	0.0646824	0.0558994	0.0312411	0.0244861	0.0317581	0.0645872
a57	0.0110177	0.0200124	0.0459509	0.0755209	0.127256	0.149089	0.148122	0.109013	0.0716501	0.0726996	0.0574201	0.0270801	0.0185848	0.0225525	0.0440303
a87	0.0124687	0.0205635	0.0357797	0.0564093	0.125018	0.139705	0.156586	0.107362	0.0762982	0.091516	0.0539883	0.0270124	0.0189847	0.0256747	0.0526336
a97	0.0158285	0.0171972	0.0209081	0.040217	0.0707298	0.0766054	0.0996678	0.0602845	0.0540604	0.0665794	0.061529	0.0623468	0.0646899	0.111566	0.17779
a87	0.0368531	0.0305703	0.0403726	0.0363487	0.0389402	0.0439351	0.0500016	0.0285719	0.0319111	0.0451254	0.0524385	0.0651357	0.0870188	0.166357	0.24642
a97	0.0399787	0.0316959	0.0359936	0.0276084	0.0297939	0.0353351	0.0402813	0.0219373	0.0240407	0.0347314	0.0539755	0.0875619	0.128155	0.208358	0.200554
a87	0.0506339	0.0279062	0.0304353	0.0172055	0.0161698	0.0198496	0.025633	0.0160348	0.0212717	0.0318483	0.0626274	0.100502	0.139307	0.211814	0.228762
a79	0.0425828	0.0210219	0.0243309	0.0169579	0.0151659	0.0176152	0.0240767	0.0167155	0.0213503	0.0309104	0.0668424	0.116174	0.153537	0.222714	0.210006
a90	0.00862663	0.00774138	0.0156816	0.0254613	0.0286253	0.0322158	0.0388976	0.0293976	0.0386488	0.0295724	0.0701363	0.121831	0.16055	0.182482	0.210132
a4	0.0142519	0.0296899	0.0317201	0.0889219	0.107966	0.0933016	0.0804614	0.0500736	0.0352824	0.0332951	0.0299301	0.0341419	0.0431967	0.0884174	0.239351
a13	0.0185452	0.0282816	0.0345798	0.0976889	0.156394	0.142307	0.126241	0.0844769	0.0452367	0.0456429	0.0325795	0.026553	0.0249649	0.0410291	0.0954796
a20	0.006896	0.0137251	0.0193735	0.0632096	0.119695	0.121111	0.135704	0.112435	0.0645273	0.0583891	0.0481495	0.0404049	0.0336931	0.0506557	0.112031
a47	0.0082473	0.0225536	0.0308712	0.0676756	0.135904	0.123203	0.110265	0.0711142	0.0460025	0.0436747	0.0343113	0.03201	0.0372341	0.0670953	0.169838
a73	0.0144444	0.0358933	0.0420728	0.0973477	0.152641	0.137728	0.11201	0.0698209	0.044123	0.0418124	0.0306242	0.0274904	0.0301864	0.046886	0.116919
a44	0.00550678	0.0159164	0.0218092	0.0734135	0.175024	0.168235	0.139269	0.0881901	0.0509916	0.0522403	0.0345493	0.0241255	0.0237811	0.0341484	0.0927992
a90	0.00389056	0.0122254	0.0199363	0.0584652	0.150201	0.15087	0.135329	0.0958099	0.055793	0.0556682	0.0391643	0.029238	0.0299297	0.0477757	0.115704
a13	0.00655077	0.0196855	0.0250911	0.0659025	0.159315	0.145613	0.125818	0.0914841	0.056799	0.0555626	0.0424793	0.0329572	0.0329008	0.0453733	0.0944679
a53	0.00227083	0.00620568	0.0118025	0.0356106	0.101548	0.110613	0.11851	0.0975095	0.0659098	0.0652656	0.0560454	0.0477577	0.049534	0.0783071	0.15311
a93	0.00155578	0.00411142	0.00821068	0.0245847	0.0738384	0.0855254	0.100681	0.0886954	0.0690371	0.0736885	0.0662334	0.0601318	0.0650024	0.0993683	0.179336
a56	0.00427944	0.00886223	0.0119203	0.0339987	0.0867061	0.0859127	0.087912	0.0729871	0.0574683	0.0579237	0.0520728	0.0521966	0.0640932	0.105503	0.218163
a66	0.00400486	0.00746765	0.0110295	0.0303521	0.0741489	0.0771276	0.0846605	0.0735561	0.0596785	0.0582286	0.0567882	0.0586508	0.0737933	0.109891	0.220623
a11	0.000918168	0.00197529	0.00380846	0.0104466	0.0321594	0.0386682	0.0591706	0.0636674	0.0635164	0.0663887	0.0721807	0.0842708	0.100253	0.15493	0.247646
a21	0.000803535	0.00165716	0.00314343	0.00807525	0.0228732	0.0286008	0.0449964	0.0490402	0.0541113	0.0605686	0.0702092	0.0893469	0.116406	0.177174	0.272994
a47	0.00436717	0.00657117	0.010457	0.024144	0.0475538	0.0496956	0.0543839	0.0532942	0.0480423	0.0475736	0.0567742	0.0696563	0.0975817	0.154796	0.275109
a96	0.002253	0.00339345	0.00525451	0.0115604	0.0259942	0.0307793	0.0437284	0.046819	0.047327	0.0495163	0.0598978	0.0748924	0.0996166	0.18191	0.317058
a31	0.0016501	0.00263987	0.00437311	0.0102618	0.0240009	0.0292216	0.0394557	0.0410754	0.043837	0.0488688	0.0551204	0.0709062	0.103812	0.19382	0.330957
a96	0.00247055	0.00359244	0.00512947	0.0128483	0.0336999	0.0410024	0.0526781	0.0531969	0.0610014	0.0780148	0.0707244	0.0788091	0.101155	0.15532	0.250358
a83	0.00103744	0.00189145	0.0031345	0.00707433	0.0186704	0.0235381	0.0345142	0.0383121	0.0429652	0.0533598	0.0551562	0.0706165	0.104113	0.200475	0.345142
a24	0.000853968	0.00154444	0.0024882	0.00552574	0.0143422	0.0184303	0.0286727	0.0331397	0.0375894	0.0461517	0.0497095	0.0663695	0.103014	0.20903	0.383138
a9	0.000903797	0.00135386	0.00202472	0.00446102	0.0108712	0.0131286	0.0265884	0.0382017	0.0454496	0.0603966	0.0562069	0.0683433	0.107157	0.204361	0.360552
a10	0.000997913	0.00143763	0.0026009	0.00593777	0.0188654	0.0214237	0.0546713	0.0597519	0.0640851	0.0898755	0.057016	0.0589228	0.0920817	0.166	0.306332
a0	0.00320331	0.00268009	0.00413398	0.0105564	0.0284191	0.0253469	0.0346287	0.0270033	0.0333	0.0379619	0.047232	0.0854934	0.145427	0.226894	0.28772
a75	0.00348033	0.00199667	0.00298593	0.00704328	0.0198062	0.017915	0.0265815	0.0206333	0.032238	0.0418698	0.0622926	0.107837	0.154082	0.214571	0.286667
a21	0.00022847	0.00024157	0.000331046	0.00123972	0.00303017	0.00356215	0.00764951	0.0106278	0.0141417	0.0122348	0.02869	0.0763373	0.16843	0.277637	0.395619
a31	0.000726248	0.000895606	0.00119248	0.00391673	0.00948803	0.0112714	0.0161911	0.0181051	0.0255253	0.0260809	0.0365395	0.0775887	0.145313	0.237852	0.389315
a47	0.000698021	0.000858596	0.00119438	0.00371486	0.00957575	0.0119801	0.0191059	0.0206518	0.0305753	0.0385219	0.043154	0.0786051	0.139609	0.220172	0.381583
a88	0.000798374	0.00109362	0.00169514	0.00438159	0.0109841	0.0137611	0.0220877	0.0235574	0.0339716	0.041061	0.0447024	0.0799567	0.135148	0.23053	0.356271
a47	0.000398198	0.000563558	0.000884917	0.00296735	0.00754361	0.00814046	0.0145922	0.0181936	0.0266515	0.0339325	0.0342839	0.0640368	0.11416	0.220399	0.453252
a75	0.000438797	0.000592594	0.000885833	0.00235799	0.00701953	0.00719049	0.0212754	0.0293503	0.0409807	0.0464754	0.0504441	0.0845305	0.137157	0.208715	0.362586
a41	0.000363749	0.00055448	0.000743671	0.00258456	0.00586104	0.00645926	0.00985399	0.0116078	0.0154687	0.0126575	0.0229908	0.0622325	0.142507	0.26276	0.443355
a27	0.000329205	0.000554759	0.00076218	0.00238123	0.00663834	0.00717968	0.0098879	0.0105159	0.0134086	0.0138086	0.018847	0.0457451	0.0974335	0.229185	0.543323
a75	0.000545162	0.000860244	0.00104728	0.00318336	0.00747041	0.00672946	0.0162711	0.0242107	0.0404653	0.0368413	0.0435606	0.0690078	0.124076	0.204093	0.421639
a41	9.84464e-05	0.00012395	0.000204276	0.000745665	0.00201081	0.00242211	0.00399028	0.0047571	0.00622282	0.00565886	0.00885818	0.0251967	0.0803378	0.25781	0.601563
a18	0.000173847	0.000290884	0.000364872	0.00125163	0.00337254	0.0034539	0.00625552	0.0082869	0.0102647	0.0103106	0.0133783	0.0318502	0.0801331	0.223557	0.607056
a71	0.000331258	0.000526624	0.000676778	0.00177394	0.00439889	0.00382406	0.00797653	0.0129441	0.0189215	0.0199131	0.0235265	0.0461243	0.10212	0.215644	0.541299
a9	0.000946135	0.00118237	0.00153044	0.00378732	0.0092978	0.00825643	0.0204166	0.0235935	0.0383523	0.0368254	0.0405188	0.0651238	0.119442	0.207118	0.423608
a87	0.00326763	0.00185942	0.00189332	0.00687465	0.0180162	0.0137073	0.0205489	0.0165703	0.030925	0.0278053	0.0519758	0.103554	0.162408	0.221942	0.318652
a23	0.013815	0.0049953	0.00345219	0.0153579	0.0320168	0.020137	0.0264257	0.0222013	0.0442282	0.0466144	0.0921453	0.131812	0.15011	0.177667	0.219023
a97	0.00329587	0.00115833	0.00118738	0.00492292	0.0094323	0.00615885	0.0119705	0.0126166	0.0273764	0.0243553	0.045245	0.0745784	0.123942	0.218706	0.435054
</S>	0.00330469	0.00232927	0.00286422	0.0139017	0.024097	0.0156456	0.0220602	0.0168821	0.0255429	0.0295407	0.0411874	0.065708	0.0988939	0.193596	0.444447
