 	il	y	a	plusieurs	manières	d'	annuler	votre	voyage	</S>
a47	0.019282	0.0213667	0.0215762	0.0236765	0.0175316	0.0237523	0.0193558	0.0654892	0.256082	0.531888
a36	0.00707428	0.00756932	0.00759667	0.0100818	0.0073732	0.0119466	0.011133	0.0404562	0.246101	0.650668
a2	0.0198924	0.0182985	0.0157695	0.0160109	0.0129279	0.0212294	0.0258245	0.0778855	0.25013	0.542032
a40	0.0513363	0.0496056	0.049164	0.0541445	0.0424038	0.0711115	0.0788894	0.0908779	0.160947	0.35152
a85	0.0023426	0.00234185	0.00210352	0.00265715	0.00166749	0.00350651	0.00483932	0.0674692	0.302776	0.610296
a6	0.00554909	0.00557492	0.00510385	0.00551765	0.00463167	0.00775912	0.00667235	0.0289494	0.228384	0.701858
a36	0.00124964	0.00124317	0.00105987	0.00110806	0.000769606	0.00144083	0.00187841	0.0238048	0.240346	0.7271
a56	0.000705551	0.000640284	0.000601731	0.00061905	0.000379998	0.0007308	0.000779372	0.00949922	0.138395	0.847649
a12	0.00118941	0.00106747	0.00100566	0.000884577	0.000669281	0.00117027	0.0010889	0.0126682	0.146988	0.833268
a47	0.00185542	0.00189831	0.00191062	0.00189451	0.00157703	0.00258033	0.00210488	0.0139943	0.156757	0.815427
a31	0.00104577	0.00112567	0.00130783	0.00170735	0.00168124	0.00338109	0.00337429	0.0223794	0.200657	0.76334
a62	0.000676225	0.000714893	0.000823567	0.00111432	0.0010899	0.0020368	0.00209925	0.0144476	0.19977	0.777227
a24	0.000764814	0.000849167	0.000987491	0.00134627	0.00138276	0.00236822	0.00265826	0.0206484	0.224139	0.744856
a9	0.000912276	0.000894562	0.00102682	0.00131925	0.00145119	0.00240557	0.0027099	0.0215483	0.214996	0.752736
a10	0.0169876	0.0121901	0.0121524	0.0130409	0.0135804	0.0216919	0.0354832	0.0703498	0.227954	0.576569
a87	0.107317	0.0675004	0.0486114	0.0421045	0.0331264	0.0432795	0.0694083	0.0662298	0.175475	0.346947
a23	0.141981	0.0842961	0.0540212	0.0490244	0.0388051	0.0558395	0.0694556	0.0845692	0.1752	0.246808
a87	0.0542176	0.0345371	0.0189393	0.0136354	0.0068905	0.0189852	0.0183633	0.0719321	0.255766	0.506733
a23	0.0080561	0.00496025	0.00296362	0.00283322	0.00199143	0.00913557	0.0171467	0.0622067	0.244953	0.645754
a87	0.0217987	0.0154699	0.00899795	0.00804762	0.00385695	0.0102771	0.0103685	0.0643746	0.271188	0.585621
a23	0.00612673	0.00422036	0.00236899	0.00184899	0.00119499	0.00340228	0.00447423	0.0296161	0.243301	0.703447
a87	0.0230187	0.0178726	0.0101008	0.00859507	0.00419436	0.00970076	0.00934503	0.0408303	0.253252	0.62309
</S>	0.00924466	0.00685761	0.00363369	0.00278681	0.00175606	0.00534452	0.00756771	0.0382235	0.263237	0.661349
