 	il	n'	a	pas	encore	de	femme	il	ne	connaît	pas	son	bonheur	</S>
a79	0.0473344	0.0546928	0.0659376	0.0734706	0.093988	0.105627	0.103766	0.0850317	0.0744723	0.0747369	0.0606214	0.0542668	0.0567348	0.0493196
a15	0.0456506	0.0529753	0.066173	0.0733358	0.086253	0.0919246	0.0852956	0.0696114	0.0686495	0.0821865	0.0682625	0.0672839	0.0731432	0.069255
a73	0.0154909	0.0185867	0.0251495	0.038822	0.0557572	0.0687367	0.0672503	0.0581782	0.0687754	0.109141	0.0964649	0.11343	0.132065	0.132152
a2	0.0183588	0.0240994	0.0327313	0.0482216	0.0660418	0.0759271	0.0738972	0.0666752	0.0779426	0.109848	0.0920907	0.0929989	0.103691	0.117476
a40	0.0151768	0.0208239	0.0300418	0.0445521	0.0703646	0.0718931	0.077528	0.0721013	0.0866948	0.121159	0.0874352	0.0796043	0.0967652	0.12586
a54	0.0332563	0.0357851	0.0397996	0.0495992	0.0584105	0.0646499	0.061521	0.0515693	0.060828	0.113542	0.0864528	0.100237	0.116372	0.127978
a73	0.0214035	0.0232258	0.0277054	0.0416757	0.0559956	0.0618648	0.0595543	0.0477907	0.063889	0.096335	0.0947715	0.120135	0.142327	0.143327
a2	0.0129593	0.0166562	0.0230744	0.0381273	0.0542536	0.0612385	0.0612372	0.0507165	0.0736176	0.118042	0.105878	0.117395	0.131671	0.135134
a57	0.00969532	0.01228	0.0171956	0.0251845	0.0443741	0.0474687	0.0548275	0.0433493	0.0653804	0.107919	0.0922654	0.0989166	0.150873	0.230271
a87	0.00399831	0.00460045	0.00536374	0.00794554	0.0154528	0.0200915	0.0248954	0.0276561	0.0582536	0.133168	0.122623	0.136115	0.194782	0.245054
a40	0.00244462	0.00265685	0.00314851	0.00499882	0.0132866	0.0181272	0.0229891	0.0237968	0.0489947	0.102008	0.127345	0.16605	0.206468	0.257686
a73	0.0266365	0.0227278	0.0221382	0.024909	0.0367589	0.0486203	0.0584445	0.0463549	0.0483022	0.0474955	0.0506455	0.0790902	0.14397	0.343906
a11	0.00830303	0.0125623	0.0189527	0.0301859	0.0542245	0.0668581	0.0727145	0.0543681	0.0627664	0.0837007	0.0827096	0.0991482	0.137555	0.215951
a54	0.00733531	0.00919106	0.0131152	0.0192915	0.0334884	0.041832	0.0479277	0.0391946	0.0510927	0.0773982	0.0852134	0.119011	0.188421	0.267487
a76	0.0200343	0.0231061	0.0302915	0.0392922	0.0530648	0.0599989	0.0643386	0.0525645	0.0698209	0.0853255	0.0803785	0.0923287	0.130559	0.198897
a94	0.0243757	0.0322364	0.0397647	0.0456937	0.0575473	0.0639987	0.0736983	0.0601716	0.0745282	0.0866721	0.0769887	0.0842595	0.1069	0.173165
a58	0.00784835	0.0112308	0.0178164	0.0271212	0.0414885	0.0489359	0.0561281	0.0430631	0.0632404	0.100334	0.0962915	0.118615	0.158546	0.209341
a57	0.00596053	0.00669921	0.009103	0.0139718	0.0251622	0.0331526	0.0411478	0.0325003	0.0507472	0.0913324	0.0918966	0.11962	0.192526	0.28618
a9	0.00367737	0.00375109	0.00449581	0.00587602	0.0108845	0.014123	0.020168	0.0185136	0.0327642	0.0748165	0.0884487	0.141969	0.248653	0.33186
a38	0.0043772	0.00398831	0.00415738	0.00437564	0.00724747	0.00879051	0.0129198	0.013976	0.0254131	0.0562748	0.0821833	0.151179	0.281974	0.343144
a75	0.00378196	0.00345475	0.0038631	0.00494795	0.00872827	0.0111808	0.0145895	0.0127259	0.0222166	0.0467029	0.0628042	0.12366	0.254138	0.427206
a41	0.00482899	0.00503366	0.00608059	0.00951832	0.0162741	0.020598	0.0247606	0.0214707	0.0389823	0.0686961	0.0816461	0.13238	0.21386	0.35587
a27	0.00344166	0.00432452	0.00600118	0.0101986	0.0163295	0.0199945	0.0242899	0.0226245	0.0365507	0.0602303	0.0724065	0.122566	0.239888	0.361155
a40	0.00220981	0.00214628	0.0024245	0.00346867	0.00596842	0.00742656	0.00959306	0.00869672	0.0146586	0.0307063	0.0449681	0.101815	0.274913	0.491005
a84	0.00426135	0.00421304	0.00479917	0.00645762	0.0108559	0.0124133	0.0147483	0.0114934	0.0189423	0.0302909	0.0486686	0.109835	0.238017	0.485004
a4	0.00174709	0.00217901	0.00268043	0.00354277	0.00573538	0.00613093	0.00853623	0.00912146	0.0188302	0.0444124	0.0765407	0.161304	0.28494	0.374299
a57	0.0046008	0.0036612	0.00316164	0.00337791	0.00510772	0.00537467	0.00700543	0.00704493	0.0130477	0.0264957	0.0568017	0.149731	0.295242	0.419348
a3	0.00152398	0.0016094	0.00167966	0.00197748	0.00336575	0.00344782	0.00459423	0.00468034	0.0109977	0.0260677	0.055734	0.14927	0.272188	0.462864
a87	0.00852781	0.00780385	0.00679799	0.00656819	0.00966581	0.00872161	0.00833118	0.00745021	0.0168186	0.03387	0.0683163	0.158513	0.261042	0.397573
a38	0.00552261	0.00535718	0.00511419	0.00610645	0.011233	0.01225	0.0121891	0.0115558	0.0312754	0.0618916	0.0882924	0.163198	0.218888	0.367126
a14	0.00803144	0.0080066	0.00839123	0.00999612	0.0167477	0.0164731	0.0151457	0.0188327	0.056444	0.115615	0.147895	0.205046	0.200849	0.172526
a73	0.00328887	0.00383783	0.00493175	0.00721252	0.0172832	0.0199893	0.0227593	0.020154	0.0336177	0.0724138	0.12069	0.18119	0.198295	0.294336
a2	0.00129077	0.00175348	0.00277198	0.00539445	0.0133317	0.0179957	0.021285	0.0184526	0.0304575	0.0647874	0.115978	0.183098	0.22413	0.299274
a57	0.000675039	0.000865083	0.00133191	0.00243804	0.0064245	0.00962901	0.0134047	0.0126985	0.0211615	0.0537773	0.0998331	0.18438	0.269652	0.32373
a40	0.00146517	0.00165593	0.00213037	0.00278386	0.00623292	0.00675478	0.00783846	0.0079614	0.0206137	0.0656463	0.117069	0.203226	0.265046	0.291576
a30	0.00439367	0.00395561	0.00417571	0.00582146	0.0107004	0.0139759	0.017881	0.0166201	0.0283615	0.0536324	0.0806716	0.153919	0.226025	0.379867
a57	0.000934992	0.00114894	0.00169076	0.00319814	0.0070509	0.0103733	0.0148749	0.0133196	0.0224956	0.0428764	0.0712756	0.147814	0.259176	0.403771
a87	0.0021358	0.00212887	0.00246645	0.00280345	0.00494777	0.00481017	0.00572023	0.00571611	0.0142231	0.0412222	0.0915485	0.189009	0.290989	0.342278
</S>	0.00227423	0.00250314	0.00309115	0.00398401	0.00782082	0.00745415	0.00742282	0.00715834	0.0188869	0.0555721	0.105525	0.191301	0.250006	0.337
