 	de	nos	jours	les	garçons	et	les	filles	étudient	dans	une	même	école	</S>
a88	0.00186482	0.0027065	0.00406887	0.00571589	0.0109601	0.0280639	0.0476889	0.0910268	0.0821775	0.104687	0.116964	0.132976	0.170684	0.200416
a71	0.00207624	0.00248732	0.00322664	0.00368281	0.00631109	0.0151796	0.0239003	0.0456327	0.038567	0.0604341	0.0975742	0.160872	0.250753	0.289303
a9	0.00343527	0.00363662	0.00408097	0.00402173	0.00731192	0.0172372	0.0246279	0.0417813	0.0360442	0.0597662	0.102054	0.163293	0.247318	0.285391
a87	0.0178911	0.0155326	0.0139481	0.0133255	0.0184979	0.0360578	0.0499907	0.0770241	0.0695632	0.0819004	0.102893	0.141213	0.173443	0.188719
a23	0.088908	0.0225875	0.013868	0.0156004	0.0169978	0.0318734	0.0438452	0.0605322	0.0652369	0.0877081	0.12551	0.137996	0.137515	0.151821
a99	0.0375761	0.0105212	0.00610637	0.00633132	0.00684688	0.0138659	0.0205076	0.0279562	0.0289772	0.0546933	0.112229	0.168205	0.226086	0.280099
a50	0.00757237	0.0019674	0.00127244	0.00196396	0.00275853	0.0093809	0.0217479	0.0430372	0.04773	0.0812885	0.136338	0.182138	0.210313	0.252492
a88	0.00536249	0.00142084	0.0011381	0.00159057	0.00248773	0.0079602	0.0170721	0.036655	0.0361241	0.0654959	0.117615	0.184659	0.237548	0.28487
a71	0.00206523	0.000972271	0.000893623	0.00116162	0.00179791	0.00529286	0.0111634	0.0270837	0.025912	0.0535911	0.112904	0.194809	0.264327	0.298027
a53	0.00236676	0.0011943	0.00113526	0.00139655	0.0022424	0.00568725	0.00982032	0.0197494	0.0195565	0.0374416	0.0881673	0.171802	0.289347	0.350093
a4	0.000972914	0.000602075	0.000692576	0.00122416	0.00191079	0.00615055	0.0129513	0.0295797	0.0316359	0.0608569	0.11926	0.198721	0.258728	0.276714
a57	0.000402172	0.000384217	0.0005619	0.00105771	0.00152754	0.00441452	0.00869067	0.0195338	0.0225461	0.0434401	0.0911724	0.180032	0.288777	0.337459
a82	0.000757605	0.000537946	0.000666851	0.00103117	0.0016425	0.00423438	0.00754318	0.0155817	0.0171528	0.0322162	0.0695041	0.15554	0.290575	0.403017
a87	0.00490938	0.00246424	0.00200453	0.00200226	0.00266385	0.00595524	0.00988508	0.0214619	0.0215956	0.0370876	0.0831955	0.15988	0.275709	0.371186
a23	0.104253	0.0427936	0.0191883	0.0200921	0.0197735	0.0264813	0.0300989	0.0319594	0.0429044	0.058434	0.0859717	0.120852	0.168529	0.228669
a87	0.100524	0.0350193	0.0178822	0.0205753	0.0225458	0.0347845	0.0398995	0.0413282	0.0482337	0.0667504	0.0944585	0.117333	0.156404	0.204261
</S>	0.0159039	0.00634987	0.00552941	0.00897197	0.0113586	0.0245865	0.0311159	0.0330293	0.0313677	0.0544567	0.0952441	0.145634	0.225294	0.311158
