 	ma	femme	a	fait	moisir	le	maïs	pour	la	préparation	de	l'	alcool	indigène	</S>
a85	0.0507049	0.0653721	0.0917652	0.138645	0.172682	0.138167	0.118972	0.0876609	0.0502796	0.0208931	0.008546	0.00896954	0.00885114	0.0142098	0.0242819
a44	0.0495326	0.0577737	0.0734297	0.110331	0.1509	0.123395	0.123814	0.101419	0.0635911	0.0319092	0.0148369	0.0140041	0.0157526	0.0255412	0.043769
a11	0.030297	0.03424	0.0413971	0.0818893	0.16118	0.175178	0.153505	0.120939	0.0773655	0.0317566	0.00995258	0.0104184	0.0117057	0.0190989	0.0410767
a96	0.0251799	0.0287888	0.0345311	0.072729	0.140288	0.179723	0.155899	0.121973	0.0863926	0.0380984	0.0123799	0.0142662	0.0160452	0.0242382	0.0494674
a88	0.018471	0.020941	0.0262615	0.0646301	0.138393	0.185874	0.160098	0.125586	0.0925969	0.041897	0.0129752	0.0153873	0.0172188	0.0269423	0.052728
a44	0.0271023	0.0284471	0.0341257	0.0742974	0.143801	0.1726	0.156832	0.120725	0.0788964	0.0413306	0.0153559	0.016402	0.0177265	0.0266779	0.0456799
a11	0.0158806	0.0163252	0.0198777	0.0525363	0.113473	0.182816	0.17155	0.13001	0.0937874	0.0463138	0.0150967	0.0181374	0.020827	0.0349264	0.0684427
a75	0.0126866	0.0131152	0.0157185	0.0426617	0.0946414	0.185759	0.173606	0.133542	0.100227	0.0502187	0.0168273	0.0209869	0.0248895	0.0397008	0.0754196
a85	0.0256278	0.0226076	0.0265313	0.0532129	0.0704686	0.105385	0.1398	0.0998366	0.0652693	0.0304495	0.0193295	0.0313758	0.0414243	0.0746008	0.19408
a6	0.0389136	0.0344357	0.0381323	0.070142	0.0869711	0.113215	0.130487	0.102688	0.0613246	0.0303146	0.0220883	0.0318689	0.0407043	0.0649931	0.133721
a11	0.0316948	0.0259752	0.0282309	0.0548276	0.0783055	0.131329	0.150475	0.112331	0.0652855	0.0290525	0.0192534	0.0272605	0.0330536	0.0566936	0.156232
a75	0.00992659	0.00919249	0.0107472	0.0328268	0.0662076	0.13876	0.172375	0.120313	0.0873949	0.0458096	0.0249398	0.0324941	0.0381729	0.0646105	0.146229
a5	0.0173263	0.0151913	0.0177514	0.0376533	0.0600037	0.105303	0.122697	0.0923094	0.0587518	0.0283767	0.021258	0.035913	0.0468733	0.0871224	0.25347
a96	0.0284432	0.0226441	0.025623	0.0568223	0.081138	0.139651	0.165438	0.110503	0.0694631	0.0378735	0.0254672	0.0312157	0.03694	0.0520182	0.11676
a62	0.0103046	0.0088184	0.0096912	0.026756	0.0508026	0.102046	0.135189	0.0887341	0.067271	0.0428249	0.0375322	0.0542468	0.0612156	0.0969867	0.207581
a83	0.015408	0.0131795	0.0149266	0.0358641	0.0604354	0.1103	0.133244	0.0893698	0.0635254	0.0394682	0.0315525	0.047804	0.0592421	0.0935702	0.19211
a12	0.00493605	0.00396864	0.00401481	0.00939408	0.0209165	0.0544429	0.0781479	0.0509016	0.0444057	0.0335385	0.0386397	0.0694823	0.0830747	0.169574	0.334562
a75	0.00594471	0.00495221	0.00546847	0.0136444	0.0280915	0.0675985	0.0907206	0.0579063	0.0494251	0.0367375	0.0421408	0.0727186	0.0872597	0.152065	0.285326
a85	0.0086749	0.0072481	0.00831146	0.0211578	0.0341198	0.0770148	0.0919897	0.0709691	0.0587676	0.0437243	0.0479964	0.0664076	0.0826397	0.124796	0.256182
a44	0.0142188	0.012782	0.0156365	0.0257379	0.0334504	0.0566195	0.0678462	0.0587972	0.0500882	0.0476572	0.0606338	0.0776176	0.0932434	0.142686	0.242986
a98	0.00311229	0.00268881	0.00294232	0.00747301	0.0134288	0.0305841	0.0417929	0.0325469	0.0324585	0.0254166	0.0393665	0.0812348	0.104939	0.188268	0.393747
a15	0.00917577	0.00759836	0.00852459	0.0150754	0.023327	0.0518951	0.0681748	0.0555744	0.0506984	0.0438339	0.0570161	0.0796586	0.0893589	0.142627	0.297462
a94	0.00554045	0.00475137	0.00419152	0.00658457	0.0118351	0.0302541	0.0423589	0.0407083	0.041766	0.0390715	0.0563789	0.0918029	0.101939	0.180937	0.341881
a70	0.00182437	0.00174846	0.0018344	0.00367538	0.0065489	0.0151838	0.0196981	0.0162272	0.0190827	0.0159233	0.0301323	0.0702014	0.107003	0.2039	0.487017
a54	0.00114906	0.00107863	0.00116758	0.00189749	0.00394127	0.0106761	0.0120246	0.00837611	0.011008	0.0120188	0.0280954	0.064567	0.101356	0.221218	0.521426
a36	0.00131986	0.00130691	0.00133192	0.00221554	0.00363737	0.0104404	0.0131026	0.0101857	0.0132855	0.0175248	0.0486115	0.085463	0.131492	0.229682	0.430401
a66	0.000498733	0.000502725	0.000533142	0.00094594	0.00172982	0.00458256	0.00504069	0.0047201	0.00798391	0.0147059	0.0230017	0.0527764	0.111828	0.260159	0.510991
a99	0.00320155	0.00273079	0.00192479	0.00217314	0.00446053	0.0103533	0.0108624	0.0137273	0.0251736	0.0424503	0.0337219	0.0695124	0.128864	0.247229	0.403615
a30	0.00937311	0.00654718	0.00400548	0.00345167	0.00512047	0.00929482	0.0117729	0.0154855	0.0292168	0.0406142	0.0269039	0.0574524	0.0995766	0.215852	0.465333
a87	0.0189531	0.0138976	0.00963516	0.00762343	0.0102837	0.0169826	0.0232933	0.0327324	0.0505999	0.0514646	0.0353339	0.0637736	0.11199	0.207508	0.345929
a23	0.0568876	0.0464041	0.0366911	0.0293343	0.0382908	0.0517148	0.0545399	0.0825781	0.0807485	0.0566582	0.0314244	0.0412197	0.0740157	0.14142	0.178073
a87	0.0205287	0.0166938	0.013482	0.0120844	0.0219494	0.0389028	0.0412971	0.0594418	0.0599481	0.0435596	0.0487184	0.0687243	0.109764	0.187954	0.256952
a97	0.00963279	0.0092426	0.00940025	0.0105366	0.0249519	0.0286828	0.0267297	0.038273	0.0404235	0.0335401	0.0392332	0.0712004	0.140679	0.225926	0.291548
a87	0.0416812	0.0409659	0.0339759	0.0338811	0.0544386	0.0397943	0.0337162	0.0523718	0.0576109	0.0486277	0.0439593	0.0591382	0.104252	0.15683	0.198757
a23	0.0344168	0.0338659	0.0292054	0.031264	0.0491977	0.0338115	0.0307368	0.0470993	0.047014	0.0368424	0.032901	0.0511826	0.111276	0.178643	0.252543
a99	0.0201816	0.0183934	0.0179479	0.0193222	0.0454248	0.0450708	0.0411158	0.054379	0.0481169	0.0325848	0.035943	0.0535807	0.106842	0.168624	0.292473
a97	0.0201999	0.0187846	0.0168288	0.0226508	0.0488314	0.0550189	0.0526967	0.0549238	0.0463201	0.0318649	0.0387311	0.0561365	0.111504	0.160241	0.265268
</S>	0.0147801	0.0127448	0.0115491	0.0165816	0.03631	0.0468035	0.0498768	0.0472719	0.0464456	0.031419	0.038094	0.0597967	0.108399	0.162593	0.317335
