 	auparavant	on	cultivait	ici	du	riz	maintenant	on	ne	cultive	que	le	manioc	</S>
a40	0.00147585	0.000854366	0.00100351	0.00342126	0.00206118	0.00489005	0.00941131	0.0143504	0.0247194	0.0445938	0.095913	0.158084	0.264747	0.374475
a73	0.00186759	0.00165803	0.00421976	0.0157476	0.0105504	0.0228465	0.0373102	0.0498221	0.0569054	0.0738008	0.0991116	0.118154	0.196488	0.311519
a4	0.000862039	0.00167574	0.00365171	0.0131256	0.013175	0.0226171	0.0306541	0.0462929	0.0523227	0.0710633	0.102151	0.127753	0.206831	0.307825
a11	0.00289432	0.00332263	0.00592041	0.016009	0.0127493	0.0227721	0.0375426	0.0456419	0.0530102	0.0680843	0.101613	0.123667	0.202192	0.304581
a75	0.00154447	0.00215844	0.00319141	0.0084327	0.00896375	0.0162509	0.0296349	0.0416682	0.0563556	0.0758049	0.11752	0.14161	0.211386	0.285479
a98	0.00719126	0.00761389	0.0134532	0.0251515	0.0215581	0.0318803	0.0462917	0.0561094	0.0682985	0.0769411	0.0887468	0.0984328	0.171292	0.28704
a73	0.0024882	0.00373746	0.0067693	0.0127757	0.0154822	0.0275261	0.0383114	0.0559755	0.0710396	0.082187	0.090742	0.106575	0.184233	0.302157
a44	0.00181329	0.00308817	0.0052047	0.012155	0.0132056	0.0258889	0.0385268	0.0550732	0.069253	0.080821	0.0926111	0.109444	0.186986	0.305929
a54	0.0017991	0.00346193	0.00622973	0.011395	0.0115287	0.0188703	0.0314198	0.045555	0.0654462	0.0834819	0.0982961	0.112816	0.193341	0.316359
a73	0.00557197	0.00651594	0.0111382	0.021771	0.0215008	0.027806	0.0370875	0.0464167	0.0674416	0.0813116	0.0963064	0.103165	0.180393	0.293574
a94	0.0023913	0.0034472	0.00576711	0.0140093	0.0145369	0.0223365	0.0310309	0.0455853	0.0679599	0.0838852	0.098752	0.106682	0.18858	0.315037
a32	0.00321003	0.00430225	0.00671499	0.012041	0.00949417	0.0131257	0.0193886	0.0281416	0.0469172	0.0675228	0.0980609	0.117122	0.21405	0.359908
a11	0.00581886	0.00582134	0.00766936	0.0148316	0.0129822	0.0185328	0.0257878	0.0375778	0.0581301	0.076118	0.103658	0.11594	0.197102	0.32003
a24	0.00273846	0.00323149	0.00446	0.00802679	0.00561132	0.00887216	0.0135839	0.0201057	0.0338669	0.0533902	0.0977219	0.139818	0.240039	0.368534
a11	0.00483628	0.00507077	0.00628621	0.0111063	0.00802221	0.0121848	0.0171301	0.0236644	0.0359217	0.0516084	0.089779	0.127373	0.232794	0.374222
a13	0.00308982	0.00333775	0.004309	0.00699016	0.00497549	0.00804507	0.0117466	0.017565	0.0283871	0.0446984	0.0862847	0.136494	0.247797	0.39628
a25	0.0047276	0.00492031	0.00612123	0.00938791	0.00652418	0.0100603	0.0132713	0.0189788	0.0284539	0.0432819	0.0818204	0.129267	0.241154	0.402031
a84	0.00467191	0.00437896	0.0053472	0.0084057	0.00616113	0.00898912	0.0114621	0.0173834	0.0283473	0.0448916	0.0855218	0.130902	0.238513	0.405025
a53	0.00479513	0.00518659	0.00627342	0.00861482	0.00618654	0.0104243	0.0137728	0.0198074	0.0289816	0.0440595	0.0819302	0.131367	0.244818	0.393783
a4	0.00654834	0.00546206	0.00826452	0.0103453	0.00915853	0.0132986	0.019426	0.0256477	0.0404563	0.0585091	0.0988688	0.132189	0.220084	0.351742
a57	0.00563205	0.00475154	0.00653754	0.0105495	0.00776305	0.0118981	0.0173815	0.0243269	0.0400311	0.0570505	0.104477	0.138996	0.226236	0.344369
a9	0.00286106	0.00230384	0.0027914	0.00500806	0.00340662	0.00602361	0.00924556	0.0146426	0.0260243	0.0440077	0.0922244	0.145234	0.251546	0.394682
a40	0.00508865	0.00416009	0.00477494	0.00800848	0.00572773	0.00923654	0.0138732	0.0188437	0.029666	0.0457651	0.0909407	0.140049	0.246644	0.377222
a4	0.0141192	0.00864381	0.01127	0.0196957	0.0163311	0.0202391	0.0251564	0.0329443	0.0429405	0.0510648	0.0833556	0.106687	0.203165	0.364387
a57	0.00550865	0.00450952	0.0059005	0.0115831	0.00820487	0.0122807	0.0178175	0.0246305	0.0391179	0.054643	0.100413	0.135257	0.227983	0.352151
a82	0.00286529	0.00231761	0.0025847	0.00471339	0.00304893	0.0056753	0.0085813	0.0131062	0.0223773	0.0382014	0.0800189	0.13431	0.258251	0.423949
a87	0.00250216	0.00175023	0.00221076	0.00348452	0.00259621	0.00542323	0.00856664	0.0126852	0.020838	0.0339146	0.0637325	0.116004	0.260865	0.465426
</S>	0.00206697	0.000776666	0.000752974	0.00268589	0.00142525	0.00345231	0.00760626	0.0117983	0.0210377	0.0399818	0.0832414	0.141539	0.26232	0.421316
