 	on	ne	venge	plus	les	morts	par	des	fétiches	dans	notre	famille	</S>
a62	0.00998005	0.00964095	0.0194046	0.112068	0.167429	0.161652	0.114579	0.0909174	0.0678362	0.0575684	0.0576289	0.06096	0.0703356
a88	0.00857279	0.00847891	0.0162881	0.0862469	0.13704	0.175813	0.143352	0.117076	0.0779296	0.0571485	0.0530363	0.0538731	0.0651446
a62	0.0056332	0.00534306	0.00559761	0.0489127	0.0923331	0.154644	0.159852	0.151012	0.104577	0.0690794	0.0611336	0.0612061	0.0806771
a21	0.00746516	0.00800102	0.0105565	0.0415009	0.079211	0.145649	0.130203	0.125776	0.103874	0.0823017	0.0785538	0.0839979	0.102911
a85	0.00401892	0.00374331	0.00612257	0.026525	0.0681559	0.123952	0.111447	0.105449	0.10032	0.0994637	0.106855	0.115187	0.128761
a92	0.00156849	0.00129026	0.00200037	0.00789618	0.0196867	0.0341496	0.0441471	0.0558494	0.0797957	0.114846	0.156798	0.202284	0.279688
a93	0.00156245	0.00146856	0.00238721	0.00681881	0.0220847	0.044419	0.0685234	0.0881946	0.121651	0.146793	0.160824	0.162262	0.173012
a4	0.00221924	0.00180876	0.00201296	0.00665726	0.0226678	0.0520079	0.0743198	0.0953223	0.127123	0.146497	0.157761	0.148967	0.162636
a13	0.000855608	0.000628452	0.000711005	0.00227107	0.0101321	0.0294661	0.0509057	0.0773522	0.122703	0.163132	0.177685	0.173134	0.191025
a53	0.000213163	0.000138043	0.000145087	0.000429981	0.00153449	0.0063058	0.014487	0.0313894	0.0702233	0.110398	0.166895	0.243699	0.354142
a15	0.00017998	0.000105585	0.000106104	0.000296367	0.00112775	0.0050401	0.0130017	0.0308401	0.0774956	0.131941	0.183753	0.237468	0.318644
a69	7.22383e-05	3.27411e-05	3.4464e-05	0.000131543	0.000308656	0.00123914	0.0048546	0.0134343	0.0408661	0.0826767	0.141395	0.2584	0.456554
a7	7.58219e-05	3.70609e-05	3.37299e-05	0.000106118	0.000304388	0.00145661	0.00496199	0.0152649	0.0489843	0.0960931	0.159618	0.252843	0.420221
a54	9.57671e-05	4.21028e-05	2.28606e-05	7.07628e-05	0.000193095	0.000937155	0.00311522	0.00989273	0.0360355	0.0736588	0.146696	0.257001	0.472239
a7	5.43981e-05	2.16322e-05	2.16068e-05	7.58228e-05	0.000180115	0.000714421	0.00236332	0.00729514	0.0257119	0.060544	0.127192	0.266221	0.509605
a26	0.00023486	8.22529e-05	2.32684e-05	7.29108e-05	0.000216118	0.00100486	0.00328159	0.010052	0.0350691	0.0752847	0.148597	0.265754	0.460327
a82	0.00665278	0.00244272	0.000762711	0.00220035	0.00601589	0.0174643	0.0348402	0.0509385	0.0734474	0.0942719	0.142801	0.222329	0.345834
a3	0.0540571	0.0193151	0.00635191	0.0100281	0.0172719	0.0357002	0.0477117	0.0631489	0.0852042	0.0943214	0.13386	0.190385	0.242644
a97	0.0465408	0.023745	0.00884379	0.00864707	0.0150642	0.0407565	0.0488559	0.0628593	0.090189	0.111576	0.142535	0.188425	0.211963
a99	0.0306701	0.0159794	0.0070595	0.00764903	0.0154073	0.0432194	0.0502534	0.0665729	0.0971399	0.123443	0.146027	0.182965	0.213614
a97	0.010446	0.00516768	0.0045415	0.00718974	0.011135	0.0202549	0.0256029	0.0358146	0.0601486	0.104474	0.166356	0.24729	0.301579
</S>	0.00917162	0.00581629	0.00665376	0.0146106	0.0171099	0.0229985	0.0266247	0.0356031	0.0562087	0.0891958	0.146023	0.230741	0.339243
