 	il	attire	les	animaux	au	piège	avec	un	remède	</S>
a21	0.0247446	0.0261083	0.0219857	0.0377906	0.0589568	0.0891969	0.128661	0.155028	0.206405	0.251124
a85	0.0416036	0.046135	0.0288838	0.0500114	0.0780982	0.1024	0.13534	0.145148	0.172371	0.200009
a37	0.027047	0.0270977	0.0228279	0.0395714	0.0597402	0.0878323	0.11991	0.151289	0.202071	0.262613
a75	0.0267912	0.0237061	0.0233643	0.0384249	0.054276	0.0814662	0.125419	0.164611	0.211279	0.250664
a73	0.0322296	0.0285602	0.0252177	0.0427531	0.060444	0.0873892	0.128799	0.158237	0.199072	0.237298
a84	0.0301761	0.0231693	0.0236609	0.0444983	0.0604594	0.0799677	0.111331	0.147932	0.208686	0.270119
a53	0.0109117	0.00798928	0.00857716	0.0230651	0.0420976	0.0690645	0.120775	0.163433	0.236705	0.317382
a25	0.0244741	0.016303	0.0174384	0.0348667	0.0516838	0.0709226	0.103874	0.144398	0.225595	0.310445
a56	0.020245	0.0145808	0.0150018	0.0300322	0.041005	0.0587931	0.100005	0.146309	0.229207	0.344821
a32	0.0228618	0.0164441	0.0177859	0.0305176	0.0466166	0.0650117	0.103416	0.15302	0.2267	0.317627
a75	0.010357	0.00606106	0.00730504	0.0132609	0.0216836	0.0359313	0.0704595	0.141154	0.268525	0.425263
a25	0.0248579	0.0154195	0.0144999	0.0209607	0.0301886	0.0422078	0.0704211	0.134785	0.24288	0.40378
a21	0.0297533	0.0189936	0.016661	0.0240958	0.0301082	0.0409838	0.0760596	0.144646	0.242863	0.375836
a24	0.0186878	0.0141008	0.013864	0.0213126	0.0288878	0.0418895	0.0827065	0.160917	0.261034	0.356599
a41	0.00623078	0.00449537	0.00410717	0.00616626	0.00869923	0.0151582	0.0388928	0.106275	0.270561	0.539415
a76	0.00425939	0.00296381	0.00279856	0.00485732	0.00807108	0.0142264	0.0392141	0.118918	0.293401	0.51129
a90	0.0248736	0.0155335	0.0128745	0.0205066	0.0308897	0.0425891	0.0735281	0.144304	0.252599	0.382302
a57	0.0121635	0.00895088	0.00872601	0.0172433	0.027435	0.0379194	0.0632359	0.125906	0.254289	0.444132
a53	0.00237228	0.00153497	0.00165204	0.00402372	0.00794406	0.0149136	0.0373166	0.10616	0.278328	0.545755
a76	0.0112227	0.00612608	0.00725299	0.0156354	0.0277062	0.040527	0.0666347	0.130661	0.262145	0.432089
a41	0.0162313	0.00919629	0.00942551	0.013944	0.0203639	0.0271587	0.048558	0.113646	0.255116	0.48636
a27	0.00365383	0.00181439	0.00188924	0.00337438	0.00633206	0.0120901	0.0310948	0.0957835	0.270857	0.573111
a57	0.00147998	0.000727306	0.00114273	0.00241797	0.00423628	0.00927026	0.0296146	0.0984264	0.287463	0.565222
a87	0.00114091	0.000581713	0.000763928	0.0012418	0.00231177	0.00558638	0.0249663	0.0971399	0.306774	0.559494
</S>	0.000894211	0.000402554	0.000548672	0.0011978	0.00333262	0.00912104	0.0394773	0.113809	0.296276	0.53494
