 	ce	matin	votre	mère	a	déclaré	avoir	perdu	sa	machette	</S>
a0	0.00697835	0.0101191	0.0297977	0.0676313	0.113026	0.205427	0.15375	0.134696	0.0887858	0.0819591	0.107831
a90	0.00580938	0.00935484	0.0268047	0.0567702	0.0868025	0.211629	0.160593	0.144128	0.0897095	0.0887712	0.119628
a96	0.00374838	0.00562754	0.0173635	0.0396337	0.0750532	0.142771	0.137513	0.142485	0.138887	0.133034	0.163883
a75	0.00365491	0.00539037	0.0157579	0.0318494	0.0578687	0.143278	0.141185	0.149253	0.132234	0.13702	0.182508
a85	0.00223408	0.00350718	0.0108044	0.0224384	0.0426414	0.0925187	0.0962707	0.114697	0.148441	0.20095	0.265498
a15	0.00424561	0.00655149	0.0160612	0.033267	0.0615304	0.117142	0.098757	0.096357	0.113956	0.170827	0.281305
a0	0.00166335	0.00239227	0.00711728	0.0180532	0.0404052	0.10011	0.103386	0.116816	0.161648	0.197234	0.251174
a93	0.00125501	0.00148666	0.00385271	0.00840528	0.0188894	0.0633568	0.0737869	0.0917413	0.165435	0.225828	0.345962
a94	0.00142438	0.00160957	0.00391087	0.00895106	0.0174536	0.059845	0.0828555	0.106733	0.177817	0.226953	0.312447
a62	0.000874324	0.000957008	0.002263	0.00441618	0.00871188	0.033987	0.0604844	0.0976119	0.179321	0.263414	0.347959
a96	0.000647141	0.000837075	0.00209326	0.00410061	0.00899476	0.0352049	0.0590312	0.100284	0.177399	0.263385	0.348023
a4	0.000442369	0.000585119	0.00146316	0.00288674	0.00688536	0.027404	0.0459579	0.0831085	0.161884	0.273707	0.395676
a20	0.000368004	0.000470563	0.00124958	0.00241855	0.00563506	0.0232693	0.040539	0.0789675	0.155648	0.273088	0.418347
a7	0.00014635	0.000162454	0.000483537	0.00100379	0.00233824	0.00976134	0.0194088	0.042592	0.105329	0.278866	0.539908
a84	0.000782694	0.0007752	0.00148963	0.00254554	0.00585979	0.0188709	0.0333599	0.0649732	0.156661	0.280783	0.433899
a57	0.0106893	0.00744732	0.00750175	0.0106693	0.0201808	0.0474355	0.0704163	0.0984905	0.169512	0.228444	0.329213
a87	0.0467474	0.019836	0.0145483	0.0172219	0.0251531	0.0527329	0.0847036	0.13778	0.176653	0.197986	0.226639
a97	0.108872	0.0460422	0.0306611	0.0279286	0.0316489	0.0670078	0.107953	0.169428	0.159962	0.135311	0.115185
a10	0.0630782	0.0277574	0.018255	0.019006	0.0247311	0.0765107	0.121364	0.16636	0.163278	0.159654	0.160005
a87	0.0544613	0.0250758	0.0182779	0.0204606	0.027178	0.0692813	0.0946234	0.122862	0.136649	0.176203	0.254927
a97	0.0394522	0.0220786	0.0208033	0.0241716	0.0297493	0.0761958	0.106798	0.144246	0.147734	0.17003	0.218742
a9	0.056324	0.033574	0.0301016	0.0330045	0.0388074	0.0851039	0.100957	0.127048	0.128414	0.152629	0.214037
</S>	0.0698029	0.039713	0.0343914	0.0364915	0.0423703	0.0799028	0.0891718	0.108519	0.117005	0.148427	0.234205
