 	cette	femme	est	en	train	de	me	harceler	parce	que	je	lui	dois	de	l'	argent	</S>
a12	0.012606	0.0150512	0.0220915	0.0411645	0.0557818	0.0710722	0.094359	0.133941	0.0912629	0.0791896	0.0634721	0.0541749	0.0473551	0.0372217	0.0429008	0.0599715	0.0783842
a96	0.00776187	0.00893085	0.0121845	0.0256183	0.0410883	0.0670537	0.112834	0.174555	0.123093	0.0983569	0.0774741	0.05408	0.0402762	0.0304388	0.0322547	0.0407572	0.053243
a21	0.00535882	0.00653075	0.00966205	0.0229091	0.0420774	0.0728206	0.130834	0.198878	0.129823	0.0997246	0.0758204	0.0482289	0.0332545	0.0238722	0.0254009	0.0322728	0.042532
a12	0.00608463	0.0067624	0.00884577	0.0169792	0.0282729	0.0449538	0.0769784	0.135564	0.122296	0.108963	0.0954248	0.0736916	0.0588067	0.0417354	0.0438183	0.056305	0.0745188
a43	0.004261	0.00489712	0.0064738	0.0132784	0.0240205	0.0417059	0.0785964	0.1396	0.129948	0.123042	0.10348	0.0802835	0.0617607	0.0407801	0.0396801	0.0478926	0.0603
a21	0.00390208	0.00473822	0.00630574	0.0131601	0.0252722	0.0473307	0.0998716	0.17074	0.134079	0.133271	0.108429	0.0703661	0.0422406	0.0241501	0.0256338	0.0356623	0.0548473
a12	0.00361712	0.00430905	0.0053648	0.0101407	0.0169431	0.0268212	0.0444474	0.0808635	0.0884156	0.0977637	0.0900002	0.0888599	0.0837297	0.0685266	0.0725997	0.0968832	0.120715
a61	0.0025763	0.00331944	0.00438005	0.00947202	0.0182907	0.0307009	0.0562589	0.101804	0.0939503	0.105108	0.0858524	0.0854349	0.0772371	0.0585781	0.062335	0.0874719	0.11723
a75	0.00332201	0.0040644	0.00527179	0.0106707	0.0200678	0.0344412	0.0648518	0.110062	0.102228	0.11566	0.0974321	0.0926924	0.0759201	0.0492965	0.0500685	0.0695516	0.0943997
a5	0.00152861	0.00216219	0.00287452	0.00620262	0.0121156	0.0185328	0.0284167	0.0522235	0.0567179	0.0762792	0.0674981	0.0863034	0.0969471	0.0840678	0.0927011	0.136395	0.179034
a0	0.0024247	0.00292139	0.00357917	0.00667864	0.012002	0.0189355	0.03377	0.0615833	0.0653474	0.080736	0.0768449	0.0972543	0.106532	0.0782914	0.0821591	0.115359	0.155581
a11	0.00375118	0.00453638	0.00609037	0.0109541	0.0179137	0.0283207	0.0518552	0.082776	0.0632623	0.0738411	0.0628526	0.0717367	0.0783236	0.0604597	0.0731637	0.119246	0.190917
a75	0.00359437	0.0044147	0.00605631	0.0104989	0.0173691	0.0256728	0.0392795	0.0633908	0.0376569	0.0498394	0.0415697	0.0481351	0.0589058	0.0594906	0.0939327	0.168223	0.27197
a5	0.00086706	0.00113761	0.0014652	0.00290933	0.00579524	0.0097322	0.0166054	0.0279638	0.0257346	0.0380138	0.0343525	0.0507218	0.0772005	0.0804974	0.107663	0.199429	0.319911
a18	0.00188332	0.00247601	0.00316985	0.0058719	0.0100112	0.0161186	0.0295666	0.0485578	0.0414589	0.0505301	0.0455516	0.0572875	0.075493	0.0744374	0.0990123	0.168907	0.269667
a62	0.00319987	0.00379673	0.00519302	0.00923963	0.014478	0.0218957	0.0316111	0.0509658	0.0252511	0.030416	0.0208082	0.0229533	0.0338626	0.0560886	0.109362	0.213626	0.347253
a88	0.00222891	0.00252691	0.00338674	0.00579538	0.00895527	0.0134113	0.0200193	0.0285347	0.0159328	0.0205672	0.0164747	0.020875	0.0336527	0.0648384	0.132422	0.24938	0.360999
a31	0.000975326	0.00127294	0.00181329	0.00323508	0.00530172	0.00799765	0.0138932	0.0202554	0.0119296	0.0148872	0.0131986	0.0159496	0.0261782	0.0522882	0.115845	0.249036	0.445943
a47	0.00083854	0.0010685	0.00143105	0.00247224	0.0038629	0.00580647	0.0103719	0.0151968	0.011467	0.0144169	0.0143226	0.0186647	0.030257	0.0582698	0.119566	0.24187	0.450118
a88	0.000902112	0.0011852	0.00175863	0.00321223	0.00526224	0.00800912	0.0129619	0.0177186	0.0104907	0.013101	0.0113541	0.014004	0.0234458	0.0504309	0.115245	0.248279	0.462639
a31	0.00050324	0.000649058	0.000969096	0.00191939	0.00350147	0.00574726	0.0105805	0.0159023	0.00759802	0.0101687	0.00825875	0.0104673	0.019212	0.050123	0.120483	0.261139	0.472778
a47	0.000492759	0.000619293	0.000849357	0.00155465	0.00256615	0.00412613	0.00766034	0.0117225	0.00715723	0.00890269	0.00769138	0.0104	0.0192553	0.0489086	0.110947	0.24879	0.508356
a18	0.000601315	0.000771241	0.00115003	0.00220396	0.00355654	0.00558046	0.00917428	0.0129154	0.00752437	0.00999507	0.00853899	0.0118596	0.0250624	0.0618616	0.124468	0.252236	0.462501
a90	0.00504261	0.00459702	0.00557776	0.00961792	0.0157947	0.0225698	0.0290237	0.0403129	0.019983	0.0247681	0.0180553	0.0241778	0.0530157	0.0872298	0.125614	0.214767	0.299853
a69	0.000179917	0.000231505	0.000272942	0.000431216	0.000655809	0.00112626	0.0016739	0.00337799	0.00330371	0.00531883	0.00460338	0.00842629	0.0177451	0.0432648	0.0982541	0.252294	0.55884
a58	0.000180579	0.000257371	0.000344162	0.000661914	0.00123676	0.00241982	0.00398964	0.00861512	0.00632672	0.00904553	0.00699503	0.0110879	0.018954	0.0383971	0.09404	0.249585	0.547863
a84	0.00125201	0.00141538	0.00197472	0.00338635	0.00564681	0.00876675	0.0138998	0.0214883	0.0112095	0.0126883	0.00856324	0.0103595	0.0205755	0.0515156	0.109152	0.25619	0.461916
a87	0.0290194	0.0242657	0.0263544	0.0351288	0.043486	0.05635	0.0661601	0.0737399	0.0537359	0.0526698	0.0395734	0.0414836	0.0562186	0.0661948	0.0765295	0.112934	0.146157
a23	0.0795022	0.0431274	0.0356253	0.0421455	0.0528665	0.0689215	0.0712006	0.0654929	0.0607207	0.0542466	0.0447689	0.049743	0.0525655	0.0581168	0.062243	0.078425	0.0802884
a87	0.0398124	0.0268709	0.0207685	0.0210969	0.0234934	0.0329606	0.0342171	0.0375345	0.0404011	0.0416778	0.0270407	0.0383036	0.0472925	0.0781606	0.107575	0.168414	0.21438
</S>	0.00901114	0.0073899	0.00752757	0.00937178	0.0123367	0.0176291	0.0209026	0.0305072	0.0323807	0.0359614	0.0209225	0.0280666	0.0343309	0.0656543	0.110103	0.213425	0.34448
