 	je	n'	ai	pas	encore	trouvé	de	piliers	pour	cette	maison	que	je	construis	</S>
a62	0.242478	0.217443	0.142385	0.0845458	0.0426807	0.0332362	0.0236048	0.0200305	0.0125696	0.014581	0.0229527	0.0420256	0.0510248	0.0291201	0.0213216
a0	0.187606	0.189726	0.142297	0.0910646	0.0528231	0.04188	0.0329829	0.0329454	0.0273113	0.0265478	0.0323333	0.0464074	0.0487661	0.0272369	0.0200719
a93	0.13144	0.142487	0.124524	0.0970262	0.0665919	0.0550593	0.0465337	0.052169	0.0467358	0.0390068	0.0398616	0.0505272	0.0534252	0.0296912	0.0249213
a70	0.107838	0.125198	0.123455	0.102822	0.0782875	0.0631748	0.0551384	0.0581711	0.062577	0.0523119	0.0442231	0.0404084	0.0377426	0.0251259	0.0235274
a11	0.0665213	0.0862494	0.105451	0.106765	0.098358	0.081047	0.071807	0.0807384	0.0786776	0.0589765	0.042985	0.0326384	0.0346228	0.0254416	0.0297209
a62	0.0525374	0.0641853	0.0812879	0.0889266	0.0874451	0.0745219	0.0736222	0.0940005	0.0886559	0.0672914	0.0519575	0.0398583	0.0457242	0.0385805	0.0514054
a75	0.0412873	0.0531105	0.0700657	0.0861836	0.098978	0.082833	0.079155	0.0894309	0.112485	0.0893104	0.0650204	0.036523	0.0332044	0.0267902	0.0356225
a98	0.0300298	0.0487303	0.0760171	0.100468	0.107866	0.0867017	0.0736678	0.070689	0.08031	0.0816214	0.0822059	0.0550589	0.0401881	0.0303237	0.0361226
a15	0.0175027	0.0302443	0.0525292	0.0860206	0.120229	0.100117	0.0850885	0.0812083	0.091588	0.0889692	0.0828261	0.0530555	0.0393216	0.0304927	0.0408069
a7	0.018521	0.0287954	0.0474282	0.0775674	0.110985	0.104092	0.0988733	0.0986797	0.099953	0.0878877	0.0766169	0.0440705	0.0321037	0.0290332	0.0453931
a44	0.0144137	0.0197781	0.0313154	0.0462455	0.0669491	0.0704691	0.0949188	0.129941	0.145001	0.130202	0.103841	0.049392	0.0308159	0.0253092	0.0414084
a4	0.0123265	0.0148233	0.0234316	0.038204	0.0595078	0.0617931	0.083812	0.111858	0.134134	0.129078	0.111187	0.062451	0.0460285	0.0418752	0.0694896
a44	0.0103677	0.012976	0.0201924	0.0402307	0.0809664	0.0842251	0.0932377	0.0941587	0.137643	0.122323	0.0974524	0.0608605	0.0488128	0.0385076	0.0580457
a79	0.00818853	0.00970791	0.0145591	0.0283634	0.0613867	0.0652539	0.0747659	0.0765107	0.128014	0.1234	0.112654	0.0807604	0.0712193	0.059071	0.0861457
a37	0.00566668	0.00684025	0.00953551	0.0164824	0.0356475	0.042907	0.0599025	0.0693059	0.113597	0.100399	0.0864836	0.073686	0.0904873	0.108456	0.180602
a47	0.00465285	0.00530887	0.00729014	0.012861	0.0302536	0.0383258	0.0625329	0.0744428	0.147326	0.130059	0.106897	0.0826675	0.0813687	0.0779212	0.138092
a62	0.00412354	0.00451392	0.00593441	0.00976997	0.0225638	0.0299789	0.0589684	0.0763981	0.16732	0.141848	0.105741	0.0824882	0.0762908	0.0744978	0.139563
a47	0.00299548	0.00343868	0.0046076	0.00773218	0.0178845	0.0236609	0.0447881	0.0557996	0.144497	0.129506	0.104744	0.0946636	0.10674	0.102541	0.156402
a88	0.00374708	0.00424036	0.00548149	0.00917854	0.0214614	0.0292133	0.0536319	0.0667154	0.153277	0.128872	0.0932909	0.0757739	0.0885615	0.1002	0.166354
a56	0.00174504	0.00203727	0.00274967	0.00473142	0.0101362	0.0120231	0.0194967	0.026167	0.0865511	0.0821061	0.0767306	0.104415	0.185356	0.187543	0.198213
a90	0.0016028	0.00186005	0.00254339	0.00440096	0.00945337	0.0112273	0.0188008	0.0244127	0.0742924	0.0760575	0.0829652	0.11221	0.181069	0.203139	0.195965
a25	0.00138146	0.00156592	0.00207546	0.00333512	0.00718515	0.0094451	0.0170162	0.0229796	0.0622216	0.0688343	0.0762199	0.0999605	0.15477	0.219511	0.253499
a56	0.00101433	0.00123292	0.00168752	0.00265185	0.00590453	0.00766089	0.0148775	0.0213473	0.0628829	0.0571283	0.0516919	0.0622196	0.118593	0.231562	0.359546
a75	0.00120215	0.00124439	0.00148349	0.00214123	0.00422298	0.00558304	0.0115243	0.0192862	0.0634865	0.0616467	0.0573847	0.0743606	0.122992	0.24146	0.331982
a21	0.000633872	0.000688546	0.000876591	0.00138295	0.00303386	0.00392554	0.00740428	0.0107466	0.0348251	0.0387229	0.0425215	0.0581868	0.109822	0.276257	0.410972
a12	0.000645928	0.000674081	0.000822601	0.00121114	0.00214764	0.00240833	0.00378813	0.00497251	0.0157723	0.0188507	0.0253546	0.0494552	0.123926	0.32079	0.429181
a18	0.000456849	0.000491146	0.000608642	0.000980686	0.00182173	0.00203253	0.00272606	0.00298331	0.012304	0.0138866	0.016221	0.037039	0.105507	0.304448	0.498494
a36	0.000503978	0.000433246	0.000435646	0.000525281	0.000843643	0.00109319	0.00218911	0.002774	0.00730116	0.00839948	0.0103059	0.0275402	0.0816582	0.251878	0.604119
a26	0.00635932	0.00445761	0.00373177	0.00373959	0.00374981	0.0039438	0.00805419	0.0116654	0.020069	0.0203791	0.0244372	0.0553966	0.0971609	0.228435	0.508421
a57	0.0603245	0.0342922	0.0244939	0.0222014	0.0247455	0.0275503	0.0318291	0.0308534	0.0411814	0.0350109	0.0403062	0.0601778	0.0827791	0.150631	0.333623
a87	0.117932	0.0678382	0.0444989	0.030736	0.0345881	0.0464482	0.0574852	0.0472333	0.0507469	0.0558411	0.0622825	0.0662974	0.0769721	0.103019	0.13808
a23	0.0716221	0.0468011	0.0343186	0.0251436	0.0299778	0.040255	0.0588451	0.0522603	0.0717011	0.0840386	0.0857488	0.0876347	0.0931254	0.105909	0.112619
a87	0.0669735	0.036312	0.0238399	0.0128074	0.0151964	0.0161694	0.0180942	0.0108158	0.0259024	0.0321487	0.0335859	0.0430193	0.0831907	0.171983	0.409962
a97	0.0208013	0.0135425	0.0101762	0.00706549	0.0116865	0.0158174	0.0215704	0.0157421	0.0245888	0.0261097	0.0256277	0.0283189	0.0634369	0.183128	0.532388
a9	0.0318975	0.0243203	0.0226196	0.0215805	0.0384807	0.0591544	0.0889197	0.0808191	0.081749	0.0711283	0.0557724	0.0437206	0.0556261	0.105125	0.219087
a87	0.0216939	0.0173924	0.0172166	0.0181847	0.0323407	0.042606	0.0599875	0.0574644	0.073554	0.0678805	0.0576565	0.050442	0.0754859	0.148368	0.259727
a97	0.0269493	0.0246835	0.0272591	0.0302913	0.0501338	0.0702625	0.0903443	0.0882029	0.087745	0.0779163	0.0641585	0.0502597	0.0582105	0.0968939	0.156689
a87	0.0349151	0.0275911	0.0268542	0.0278799	0.0459635	0.0654486	0.0904908	0.088671	0.0896289	0.0800927	0.0655865	0.0502667	0.0566284	0.0929356	0.157047
a23	0.0395047	0.0331837	0.0332793	0.0332993	0.0522062	0.0711822	0.087065	0.0831483	0.0761404	0.0692516	0.0574609	0.0437701	0.0522627	0.0914835	0.176762
a99	0.0279908	0.0199514	0.0169961	0.012155	0.0177352	0.0180322	0.0175388	0.0107591	0.0190515	0.0208055	0.0231915	0.0346757	0.0809127	0.193618	0.486587
a87	0.0389524	0.0310246	0.0317159	0.0262476	0.030849	0.0292616	0.0264583	0.0166734	0.0247245	0.0271311	0.0303467	0.0429459	0.0799021	0.168998	0.394769
</S>	0.0356928	0.0273692	0.0266269	0.0237088	0.0323104	0.0356775	0.0327645	0.0216179	0.0274709	0.0295323	0.0291355	0.0336215	0.0692127	0.164713	0.410546
