 	le	forgeron	est	en	train	de	fabriquer	la	pointe	du	fer	de	la	houe	</S>
a2	0.0308681	0.0446599	0.0580027	0.0834917	0.0979032	0.113803	0.0829251	0.0644428	0.058748	0.0454801	0.0350383	0.0373395	0.0444193	0.0762288	0.12665
a26	0.0209966	0.0314592	0.0419262	0.0656637	0.0864338	0.108953	0.108237	0.09063	0.0948344	0.0809907	0.0659066	0.05226	0.0481786	0.0480525	0.0554779
a53	0.0322895	0.0316242	0.0364411	0.0499087	0.064213	0.0823512	0.0820285	0.0728048	0.0831193	0.0720362	0.0625078	0.0625093	0.0756969	0.0947366	0.0977331
a93	0.0248765	0.0268073	0.0329796	0.0470533	0.0619899	0.0716689	0.0647764	0.0676116	0.0727438	0.0692445	0.0630017	0.0656775	0.0797783	0.108029	0.143761
a70	0.0122437	0.0137758	0.0177635	0.0300816	0.046315	0.0618195	0.05663	0.0622909	0.0674668	0.0699061	0.078455	0.0868884	0.099235	0.136052	0.161077
a94	0.00578716	0.00622942	0.00701882	0.0121809	0.0226762	0.0377726	0.041412	0.0499478	0.0564645	0.0597413	0.079209	0.10543	0.144474	0.178499	0.193158
a31	0.00458217	0.0048968	0.00525438	0.00841869	0.0156668	0.0263148	0.0315716	0.0406363	0.0447741	0.050441	0.0763972	0.11007	0.162638	0.198777	0.21956
a88	0.00209158	0.00225844	0.00239087	0.00384266	0.00679561	0.0119119	0.014714	0.0213869	0.0241158	0.0282698	0.0455255	0.0845415	0.178745	0.264134	0.309277
a24	0.000996856	0.000952147	0.000946035	0.00126859	0.00215919	0.00350131	0.00447832	0.00735242	0.00915811	0.0118428	0.0273643	0.0676723	0.175426	0.300504	0.386377
a62	0.00104946	0.00100937	0.000966624	0.00117745	0.00192617	0.00280249	0.00357331	0.00580706	0.00680994	0.00812286	0.0194193	0.050787	0.150352	0.283432	0.462764
a21	0.000927757	0.000912322	0.000866159	0.00103203	0.00174996	0.00236006	0.00286952	0.00451147	0.00510472	0.00662218	0.0166126	0.0445582	0.128869	0.255969	0.527036
a6	0.000506891	0.000536731	0.000536992	0.000682465	0.00111189	0.00148859	0.00184739	0.00283506	0.00297706	0.00402216	0.0106225	0.0344977	0.107622	0.25324	0.577473
a36	0.000215765	0.00023372	0.000217285	0.000264407	0.000495705	0.000650233	0.000683782	0.00088167	0.000863917	0.00123491	0.00442064	0.0169102	0.0610278	0.212511	0.699389
a2	0.00171026	0.00135013	0.00140208	0.00175722	0.00333788	0.00400511	0.0052516	0.0056139	0.00488909	0.00484992	0.00958077	0.0193612	0.0506234	0.178014	0.708254
a57	0.049246	0.0271393	0.0250953	0.0266672	0.0374098	0.0392811	0.0485247	0.053085	0.0452913	0.0365835	0.0383639	0.0404653	0.0571398	0.126574	0.349134
a87	0.104103	0.0566845	0.0457063	0.0447499	0.0585446	0.0625866	0.0853069	0.0978168	0.0814625	0.0565241	0.0382512	0.0323193	0.0368615	0.0625925	0.136491
a23	0.121415	0.0781247	0.0634064	0.0623917	0.071842	0.0783453	0.0957209	0.10969	0.0995694	0.0704491	0.0396025	0.0266628	0.0217872	0.0229981	0.0379947
a87	0.0967919	0.0630621	0.0471236	0.0331783	0.0369019	0.033924	0.0377057	0.0442266	0.0359957	0.031507	0.0380318	0.0541841	0.0926031	0.141332	0.213432
</S>	0.0211666	0.0182648	0.0168038	0.0150778	0.0249634	0.0268722	0.0315595	0.0337221	0.0240013	0.0199476	0.0253259	0.0429981	0.0945196	0.224105	0.380672
