 	la	manière	dont	il	boude	contre	moi	m'	intrigue	</S>
a92	0.00952873	0.0138767	0.0309859	0.056554	0.0845444	0.145173	0.198302	0.175466	0.143609	0.14196
a37	0.00478085	0.00572512	0.0126991	0.0270674	0.0450093	0.0954757	0.18513	0.219408	0.204161	0.200543
a85	0.00401819	0.00369418	0.00758796	0.0155726	0.0227157	0.0544911	0.151178	0.236003	0.217275	0.287464
a6	0.00384309	0.00427119	0.00881702	0.0167062	0.0244464	0.0505493	0.122227	0.199942	0.25195	0.317248
a36	0.00709311	0.00712555	0.0118296	0.0208406	0.0313571	0.062487	0.125801	0.19251	0.228043	0.312913
a2	0.0100415	0.00724976	0.00967002	0.0140681	0.0172082	0.0297267	0.0790133	0.176096	0.257812	0.399114
a57	0.0231337	0.0200117	0.0199234	0.0244891	0.0255732	0.0313383	0.0602216	0.12048	0.252598	0.422231
a87	0.0311371	0.0293924	0.0356624	0.0370958	0.0380832	0.050296	0.0933852	0.171086	0.267182	0.24668
a23	0.0600676	0.0382459	0.0442541	0.0392875	0.0384523	0.0505537	0.093008	0.183505	0.266033	0.186593
a50	0.0189627	0.00816892	0.00745231	0.00699607	0.00846686	0.0138207	0.0403502	0.146629	0.325682	0.423471
a83	0.00273174	0.00132411	0.00176586	0.00209962	0.002682	0.00637718	0.0253625	0.131954	0.369767	0.455936
a54	0.00293979	0.00197022	0.00276755	0.00364325	0.00453134	0.00956427	0.0305551	0.122044	0.358108	0.463877
a79	0.000325082	0.000273153	0.000842427	0.00157545	0.00252444	0.00680105	0.0300145	0.15811	0.373392	0.426142
a44	0.000131727	0.000127631	0.000359728	0.000713729	0.00123471	0.00377703	0.0183782	0.106484	0.352569	0.516224
a79	0.000229154	0.000193344	0.000394235	0.00071794	0.00110045	0.00288377	0.0133267	0.0852703	0.301594	0.594291
a7	0.000199189	0.000175551	0.000423331	0.000864041	0.00127784	0.00325956	0.0153176	0.0838161	0.287644	0.607023
a27	0.000381437	0.000278778	0.000521669	0.000846793	0.00115842	0.00247991	0.00994501	0.0686084	0.264954	0.650825
a54	0.00814739	0.00680613	0.00854963	0.00870935	0.00840387	0.00988715	0.018139	0.072584	0.309943	0.548831
a6	0.00113448	0.000806316	0.00151699	0.00189698	0.00223718	0.00333429	0.00890516	0.0565867	0.262715	0.660866
a37	0.000168888	0.000114566	0.00025287	0.000428337	0.000603332	0.00123406	0.00499704	0.0456517	0.252977	0.693573
a47	0.000367607	0.000293482	0.000486663	0.000644991	0.000811379	0.001279	0.00391083	0.0332541	0.226813	0.732139
a5	0.000180023	0.000159356	0.000275738	0.000361337	0.000428667	0.000778749	0.00282994	0.030512	0.205826	0.758648
a12	0.000239556	0.00019031	0.000303847	0.000414889	0.000514051	0.000922246	0.00342539	0.0341668	0.212349	0.747474
a18	0.00023865	0.000156291	0.000304577	0.000511987	0.000671976	0.00143049	0.00553888	0.0442589	0.238248	0.708641
a25	0.00215563	0.00177414	0.00238165	0.00269668	0.00272388	0.00405204	0.00989507	0.0550656	0.238566	0.68069
a87	0.000407836	0.000329274	0.000646466	0.000754324	0.000798852	0.00120119	0.0032823	0.0297545	0.228653	0.734172
a23	0.0188347	0.00906875	0.0100316	0.00970453	0.0089405	0.0106093	0.0303266	0.111238	0.275587	0.515659
a99	0.0253993	0.0112561	0.0155425	0.0162022	0.0186184	0.0221218	0.0504978	0.130616	0.282492	0.427254
a97	0.0118107	0.00463143	0.00562035	0.00663722	0.00858755	0.016698	0.0495785	0.119325	0.235621	0.54149
</S>	0.0180424	0.00775115	0.0103581	0.0109652	0.0138426	0.0244031	0.0623361	0.117274	0.195786	0.539241
