 	les	pauvres	se	lancent	dans	le	monde	des	fétiches	à	cause	de	leur	cupidité	</S>
a75	0.00205963	0.00216057	0.00498817	0.0116858	0.0111178	0.011225	0.0119902	0.00876283	0.00737074	0.00761397	0.0103125	0.0271825	0.0919664	0.362002	0.429562
a37	0.00875195	0.0104451	0.0181113	0.0334348	0.0271514	0.0260579	0.0271181	0.0193497	0.0130313	0.0110734	0.0124405	0.027902	0.088818	0.306614	0.3697
a21	0.00216613	0.00233339	0.0045265	0.00795669	0.00754476	0.00743573	0.00883216	0.00655953	0.00510169	0.00517808	0.00768413	0.0223031	0.0883627	0.385461	0.438554
a23	0.00524024	0.00578384	0.00871465	0.013691	0.0125719	0.0127587	0.0156883	0.0117432	0.00799822	0.00737232	0.00957738	0.0209477	0.0697601	0.308713	0.489439
a27	0.00172457	0.00191927	0.00384967	0.00669038	0.00628735	0.0062783	0.0073197	0.00565658	0.00472687	0.00523527	0.00753243	0.0226958	0.097021	0.414168	0.408894
a57	0.0128338	0.0115929	0.0201022	0.0387982	0.0344366	0.0343887	0.0388537	0.0277881	0.0230378	0.0212841	0.0204578	0.0406446	0.105099	0.260574	0.310109
a10	0.0623521	0.04401	0.0397928	0.0518637	0.066658	0.0622929	0.0733647	0.0535636	0.0423009	0.0402348	0.0390368	0.0558021	0.0798975	0.121656	0.167174
a87	0.0396134	0.0309202	0.026933	0.0435808	0.0733624	0.0697134	0.0844172	0.0675185	0.0620549	0.0576973	0.0523117	0.0606029	0.0827724	0.122944	0.125558
a23	0.0406079	0.0333697	0.0358255	0.0664093	0.100293	0.0929602	0.109086	0.0950173	0.0887133	0.0636632	0.0411446	0.0369079	0.0482509	0.0709031	0.0768489
a87	0.0284705	0.0195924	0.0198257	0.0254102	0.0466527	0.0479203	0.0551695	0.0538972	0.0571562	0.0504368	0.0470583	0.0623215	0.108156	0.169584	0.208348
a23	0.0151276	0.0111264	0.0136038	0.0165099	0.0256975	0.0261438	0.0286268	0.0259168	0.0256525	0.023088	0.023013	0.0405553	0.105481	0.280946	0.338511
a87	0.0201949	0.0141018	0.0138559	0.0148125	0.0282263	0.0318399	0.0373027	0.0346588	0.0357799	0.0326493	0.031824	0.0503449	0.115407	0.245429	0.293573
</S>	0.0470622	0.0303555	0.0233549	0.0211569	0.042256	0.0467491	0.0504303	0.0452752	0.042774	0.036521	0.0339993	0.0467842	0.0933008	0.186674	0.253306
