 	la	carpe	que	nous	avons	mangée	était	cuit	à	la	braise	la	vôtre	est	cuite	dans	un	bouillon	</S>
a0	0.0139444	0.0219186	0.0585872	0.0815634	0.0937145	0.154716	0.133618	0.100366	0.0735322	0.049299	0.0495404	0.0491298	0.0349006	0.0227896	0.0154988	0.00917217	0.00813442	0.0116134	0.0179612
a31	0.00768423	0.0127751	0.0417456	0.0668941	0.0782796	0.168174	0.134288	0.107216	0.080689	0.0536463	0.0534778	0.0537336	0.0409727	0.0280019	0.0199924	0.0112845	0.00983335	0.0140439	0.0172673
a24	0.00681878	0.0111765	0.0349643	0.0588201	0.0679329	0.160914	0.131533	0.116942	0.0901576	0.0576689	0.0598224	0.0592382	0.0404	0.0289508	0.0206209	0.0115442	0.0102757	0.0143407	0.0178781
a88	0.00392881	0.00624478	0.0209597	0.0367192	0.0436945	0.136404	0.121669	0.121163	0.0982721	0.0635948	0.0670726	0.0671267	0.0496369	0.0366517	0.0278685	0.0171399	0.0171175	0.0291359	0.0356007
a9	0.00552311	0.00804268	0.0229579	0.0381838	0.0425382	0.115497	0.1094	0.114383	0.0940548	0.0619588	0.0664342	0.0663566	0.0516518	0.0424933	0.0340851	0.0212991	0.021698	0.0369671	0.0464754
a87	0.00770526	0.00952606	0.0207305	0.0251911	0.0298043	0.0646475	0.0923602	0.110732	0.111785	0.0777771	0.0813755	0.0808232	0.0753387	0.0629001	0.0407251	0.021511	0.0214889	0.0332227	0.0323562
a40	0.013031	0.0109754	0.0144301	0.0160994	0.0196485	0.0654445	0.0691952	0.0908303	0.0880026	0.0568204	0.0646793	0.0701423	0.0759405	0.0840175	0.0656919	0.0375271	0.0367953	0.0614452	0.0592837
a6	0.00589931	0.00509854	0.00816322	0.0091109	0.0111363	0.0273127	0.0360069	0.042021	0.0446143	0.0423048	0.04447	0.0440005	0.0545515	0.0547758	0.0551852	0.0600601	0.081453	0.184516	0.189319
a36	0.00205407	0.00305261	0.0077514	0.0102806	0.0116705	0.0209764	0.0377886	0.055211	0.059123	0.0553532	0.0774564	0.0747504	0.0638995	0.0662314	0.0536151	0.0528193	0.0781466	0.131213	0.138606
a37	0.0017303	0.00284755	0.00826434	0.0110144	0.0117131	0.0225424	0.0348981	0.0570028	0.0565956	0.0438578	0.0602854	0.0590578	0.0549782	0.0686719	0.0660684	0.0612978	0.0853583	0.158774	0.135042
a93	0.00168113	0.00261691	0.00790111	0.0105871	0.0115396	0.0217171	0.0312818	0.0473133	0.0470199	0.0378515	0.049203	0.0518514	0.0540275	0.0648774	0.0647706	0.0639144	0.0867595	0.17617	0.168917
a70	0.001421	0.00212721	0.00594506	0.00749043	0.00923073	0.0151009	0.0259754	0.042711	0.047522	0.0432411	0.0583199	0.0610212	0.0660311	0.0791646	0.0757643	0.0733905	0.0906058	0.146002	0.148936
a13	0.00117697	0.00164925	0.00511252	0.00739477	0.0090799	0.0177043	0.022296	0.0369392	0.0423568	0.0385566	0.0487715	0.0493613	0.0597538	0.0807714	0.0798728	0.0847654	0.108242	0.15009	0.156105
a38	0.00155318	0.00198377	0.00584499	0.00865291	0.00921156	0.0208646	0.0294221	0.0465625	0.0574886	0.0509366	0.0561924	0.0563779	0.0679953	0.0908384	0.0755974	0.066865	0.0750112	0.122575	0.156026
a83	0.00102093	0.00136012	0.00384778	0.00555762	0.00614558	0.0153283	0.0186554	0.0321642	0.0406252	0.037986	0.0480831	0.0514531	0.0679111	0.0830306	0.0807079	0.0822491	0.107916	0.153584	0.162375
a98	0.000970269	0.00144187	0.0038921	0.00599533	0.00827024	0.0183802	0.0156855	0.0239758	0.0252221	0.0212213	0.0257124	0.0284448	0.0447956	0.0724355	0.079944	0.101583	0.147226	0.18568	0.189123
a79	0.0006287	0.00116248	0.0036108	0.00537828	0.00693263	0.0105732	0.0151851	0.0333574	0.0403663	0.0363337	0.0501342	0.0465131	0.0482353	0.0682671	0.0562354	0.0619545	0.121717	0.210636	0.182778
a7	0.000864458	0.00151373	0.00392811	0.0059382	0.00723934	0.0107256	0.0162986	0.0387792	0.0532125	0.0495198	0.0732607	0.0649253	0.0584541	0.0798628	0.0606047	0.0598454	0.107812	0.164523	0.142692
a44	0.00070038	0.00105607	0.00271624	0.00406796	0.00443344	0.0088787	0.0111655	0.0220194	0.0303704	0.0280353	0.040213	0.0374928	0.0481279	0.0843053	0.0841521	0.0978112	0.14814	0.181863	0.164452
a66	0.000669516	0.00107985	0.00281446	0.00445328	0.00507635	0.00953794	0.0121223	0.0216907	0.0300595	0.029274	0.0429317	0.0418093	0.0527958	0.0769775	0.0715521	0.0873598	0.157569	0.194616	0.157611
a38	0.00208882	0.00266987	0.00573301	0.00749336	0.0078514	0.018433	0.0213415	0.0416919	0.0539525	0.0464135	0.0601456	0.0566578	0.0667045	0.108028	0.0645339	0.0598443	0.0861418	0.1281	0.162176
a82	0.00256071	0.00303964	0.00609765	0.00814579	0.00823451	0.0214149	0.0214248	0.0347063	0.0449976	0.0388544	0.049012	0.0438356	0.0545765	0.0942698	0.066666	0.0716067	0.110789	0.146268	0.1735
a87	0.0205392	0.0169494	0.0220155	0.0230869	0.0271148	0.0580038	0.052805	0.0661021	0.069439	0.0684796	0.072945	0.0673403	0.0588163	0.0535142	0.0403927	0.0473616	0.0588268	0.0727039	0.103564
a23	0.0225347	0.013496	0.0155971	0.0153712	0.0182124	0.0433901	0.0564536	0.0557833	0.0634198	0.0753656	0.052835	0.0509397	0.0593642	0.0575812	0.0633706	0.0750645	0.0797293	0.0852786	0.0962132
a9	0.00401357	0.00288213	0.00337495	0.00354758	0.00400263	0.00916431	0.0167067	0.0166921	0.0229337	0.0271346	0.0193988	0.0149308	0.0149152	0.0196287	0.0300701	0.0609467	0.112582	0.239256	0.377819
a50	0.00298824	0.00232206	0.00479236	0.00539099	0.00442789	0.0118797	0.0151545	0.0141049	0.0194326	0.0203907	0.0205792	0.0171408	0.021326	0.0336643	0.0356042	0.0508055	0.0893409	0.230565	0.400091
a5	0.000520521	0.000371805	0.000721754	0.000793396	0.000743102	0.00272875	0.00358461	0.00503066	0.00785689	0.00835662	0.00950857	0.00893764	0.0167881	0.03276	0.0476907	0.0863958	0.133206	0.300045	0.33396
a18	0.000218233	0.000201239	0.000596805	0.00100522	0.00117395	0.0050488	0.0069516	0.00990649	0.013103	0.0133668	0.0178525	0.0202129	0.0286932	0.043692	0.0497381	0.0793787	0.129248	0.240381	0.339232
a24	0.000287855	0.000331962	0.000990261	0.0014478	0.00149894	0.00576245	0.00913978	0.0122831	0.0151835	0.0138714	0.0155386	0.0164649	0.0234903	0.0388693	0.0444398	0.0701659	0.11431	0.262076	0.353848
a5	0.000465338	0.000530947	0.00133133	0.00190053	0.00246549	0.00770251	0.00959999	0.0121413	0.0135827	0.0124072	0.0140259	0.0159314	0.0223334	0.0378188	0.0485852	0.0856069	0.135822	0.25526	0.322489
a75	0.000167809	0.000199934	0.000493082	0.000849587	0.00118461	0.00386508	0.00431078	0.00658125	0.0079627	0.0075777	0.00927902	0.0120349	0.0193899	0.0335777	0.0418618	0.0836	0.164418	0.298261	0.304386
a25	7.95617e-05	0.000110593	0.000287201	0.000393816	0.000536286	0.00132215	0.00284476	0.0058462	0.00783552	0.00839264	0.0119793	0.0117797	0.0156389	0.0270608	0.0338091	0.0683927	0.162083	0.304988	0.33662
a92	7.55898e-05	0.000144242	0.000476759	0.0007018	0.000827623	0.00241372	0.00413699	0.0083388	0.0102172	0.00878407	0.0109455	0.00890336	0.00920658	0.0154903	0.0149873	0.0297408	0.0883644	0.347925	0.438321
a85	9.61384e-05	0.00018244	0.000624374	0.000899276	0.00108933	0.00267459	0.00585681	0.0121856	0.0167076	0.0155269	0.0204097	0.0185995	0.0214478	0.0295893	0.0263411	0.0442016	0.0973686	0.288788	0.397412
a47	0.000131774	0.000202096	0.000544781	0.000692565	0.000741318	0.00176603	0.00405423	0.00723741	0.00954183	0.00973632	0.0130193	0.0118381	0.0130538	0.0190307	0.0178178	0.0324578	0.0799036	0.276148	0.502083
a79	4.15876e-05	6.59282e-05	0.000252547	0.000420734	0.000391675	0.00126992	0.0037268	0.00909224	0.0130797	0.0112595	0.0168706	0.012033	0.0104513	0.0172602	0.0153381	0.0250565	0.0716769	0.293079	0.498634
a98	3.20204e-05	5.01982e-05	0.000194951	0.000350388	0.000357093	0.00104744	0.00349346	0.00807336	0.00997995	0.00786735	0.010804	0.00787968	0.00745221	0.013582	0.012527	0.0227662	0.0707949	0.318291	0.504457
a92	3.76237e-05	5.45505e-05	0.000178652	0.000339493	0.000272652	0.000806917	0.00253529	0.00668596	0.0116405	0.0106941	0.015639	0.0110084	0.010349	0.0181076	0.0168416	0.0298753	0.0873011	0.306073	0.471559
a85	6.67829e-05	9.20447e-05	0.000260198	0.000436375	0.000353682	0.000944487	0.00351826	0.00937743	0.0152272	0.0139665	0.0180769	0.0119936	0.0105293	0.0159557	0.0118763	0.0178961	0.059466	0.284489	0.525474
a47	6.78365e-05	9.16255e-05	0.000259032	0.000443217	0.000328509	0.000717954	0.0029143	0.00701135	0.0105585	0.00988428	0.0126419	0.00742412	0.00599697	0.0104425	0.00814033	0.0147964	0.0623315	0.275869	0.570081
a7	0.00012319	0.000157806	0.000369512	0.000630219	0.000492546	0.00131415	0.00390186	0.00855244	0.0135851	0.013257	0.0192045	0.0112206	0.00956001	0.0182518	0.0143068	0.0300645	0.116897	0.304227	0.433885
a26	0.000621181	0.000757154	0.00142681	0.00197033	0.00156761	0.002819	0.00409816	0.0063878	0.00914123	0.0095669	0.0142082	0.00962135	0.00902871	0.0215792	0.0207235	0.0524412	0.167827	0.35806	0.308154
a57	0.0226642	0.0168781	0.0191179	0.021216	0.0274974	0.0260071	0.0247519	0.032827	0.0390178	0.0362363	0.0374881	0.0276106	0.028332	0.0454687	0.0457013	0.0735403	0.106882	0.143793	0.22497
a87	0.0406375	0.0209492	0.0205852	0.0198071	0.0227206	0.0286365	0.0394049	0.0482887	0.0605912	0.0659267	0.0617517	0.045863	0.0423953	0.0430095	0.0403884	0.0521209	0.0831828	0.110132	0.153609
</S>	0.0288462	0.0122616	0.0145139	0.0140379	0.0147766	0.0287279	0.0511247	0.0532542	0.0690449	0.0758723	0.0561361	0.0448491	0.0451739	0.0408622	0.039752	0.0479187	0.0747912	0.128792	0.159265
