 	il	boude	parce	que	sa	mère	lui	a	refusé	de	l'	argent	</S>
a21	0.00907862	0.00709188	0.0074231	0.00914578	0.0160661	0.0249497	0.04243	0.0701352	0.11869	0.132924	0.135745	0.173137	0.253184
a12	0.00209843	0.00134318	0.00162657	0.00248065	0.00553732	0.0105201	0.02185	0.0354581	0.0752747	0.142827	0.174307	0.231827	0.294849
a47	0.00194735	0.00132662	0.0017927	0.00287932	0.00621333	0.010689	0.0195057	0.0297202	0.0587744	0.121184	0.169726	0.252347	0.323894
a96	0.001944	0.00163363	0.00187092	0.00268569	0.005527	0.00915978	0.0159591	0.026478	0.0480625	0.103747	0.165907	0.263337	0.353687
a93	0.00097935	0.000726627	0.000915794	0.00151052	0.00355671	0.00584968	0.0101912	0.0187056	0.0364694	0.0895449	0.161431	0.290427	0.379693
a90	0.000590511	0.000400885	0.000524451	0.000864515	0.00196812	0.00329369	0.00587044	0.0106455	0.0222556	0.0658893	0.139054	0.309951	0.438692
a79	0.000335536	0.00021642	0.00029938	0.000518742	0.00138609	0.00258203	0.00502393	0.00926798	0.0219094	0.0638389	0.126863	0.301971	0.465788
a44	0.000641026	0.000378841	0.000468339	0.00069504	0.00173067	0.00301636	0.00544311	0.00984585	0.0214552	0.0655926	0.134066	0.298069	0.458599
a90	0.000785479	0.000549464	0.000650883	0.000931353	0.00235655	0.00409509	0.0072066	0.0135342	0.0263361	0.0721102	0.143128	0.290924	0.437393
a4	0.000545263	0.000347862	0.000427251	0.000586325	0.00137178	0.00235586	0.00415024	0.00768733	0.0162535	0.0528466	0.115913	0.288444	0.509071
a58	0.000927043	0.000641233	0.000736385	0.000994831	0.0022613	0.00373383	0.00626166	0.0116744	0.0228726	0.064569	0.134999	0.286267	0.464062
a82	0.0069069	0.00594884	0.00611027	0.00652422	0.00938864	0.0124897	0.0167784	0.0245643	0.0380107	0.0910203	0.147736	0.244472	0.39005
a87	0.11676	0.0681944	0.0471059	0.0421057	0.0404612	0.0429517	0.0419512	0.0430483	0.0541537	0.0820848	0.102384	0.135443	0.183355
a23	0.290497	0.157436	0.089995	0.0659049	0.0424275	0.0377491	0.0305555	0.0292087	0.0374939	0.0467115	0.0498081	0.0547893	0.0674243
a87	0.0968304	0.0518583	0.0320384	0.0201387	0.0150161	0.0129457	0.0124403	0.01561	0.0259617	0.0756508	0.13763	0.221526	0.282353
</S>	0.0363049	0.0215708	0.012513	0.00746642	0.0061927	0.00604472	0.00660026	0.0092985	0.0185957	0.0570686	0.118335	0.262333	0.437677
