 	l'	autre	commerce	concerne	les	poulets	et	un	autre	les	manioc	</S>
a43	0.0189534	0.0289321	0.0344146	0.0276831	0.0228568	0.0302884	0.0505756	0.0711943	0.0703594	0.103712	0.200688	0.340343
a11	0.0126001	0.0217375	0.0281765	0.0246258	0.0251371	0.0379394	0.0600499	0.0775793	0.078689	0.120117	0.198479	0.31487
a13	0.00900222	0.0175839	0.0230261	0.0196947	0.0268254	0.0478536	0.0704745	0.0810045	0.0874417	0.133661	0.196055	0.287378
a9	0.0270985	0.0261467	0.0349644	0.0246772	0.0273438	0.0445876	0.0572854	0.0682448	0.0755239	0.111888	0.194008	0.308232
a99	0.193256	0.12087	0.136371	0.0768509	0.0880988	0.0867603	0.0457675	0.0403076	0.038763	0.043237	0.05872	0.0709981
a87	0.22117	0.142732	0.149817	0.0719775	0.0977778	0.0794583	0.039665	0.0372657	0.0353814	0.0377373	0.0395792	0.0474395
a23	0.164196	0.162533	0.20277	0.117089	0.0830838	0.045665	0.0295846	0.0335883	0.0305091	0.03361	0.0410606	0.056311
a13	0.117321	0.132811	0.135439	0.0707561	0.0391666	0.02346	0.0253505	0.043355	0.0546207	0.0897671	0.128426	0.139528
a38	0.0742979	0.0717907	0.0652197	0.0385919	0.0254479	0.0222184	0.0365761	0.0677581	0.0966215	0.150962	0.173942	0.176573
a0	0.0398723	0.0376167	0.0355837	0.0214286	0.0173484	0.0188776	0.0332312	0.0565637	0.0812811	0.164233	0.228112	0.265851
a11	0.0329765	0.0238574	0.0230367	0.0152784	0.0156264	0.0190744	0.0299666	0.0431439	0.0616819	0.14908	0.253052	0.333225
a96	0.0324303	0.0226881	0.0268296	0.0183249	0.0221109	0.0245701	0.0297192	0.0390773	0.0555952	0.139694	0.243445	0.345515
a24	0.0172511	0.0125741	0.0158757	0.0114301	0.0160233	0.0194335	0.0248636	0.0339102	0.0546527	0.137406	0.263234	0.393346
a31	0.0040244	0.00366503	0.00412557	0.00364373	0.00622553	0.00872537	0.0160532	0.0273592	0.0510617	0.140516	0.277242	0.457359
a43	0.0042432	0.00368732	0.00336105	0.00330176	0.00487882	0.00659491	0.0136802	0.0252672	0.0472327	0.130917	0.271994	0.484841
a56	0.00676149	0.00842944	0.00871174	0.00849928	0.0110573	0.0140545	0.0281945	0.0408893	0.0642335	0.153792	0.262887	0.39249
a90	0.00208854	0.00276658	0.0029137	0.00264673	0.00363696	0.00586991	0.0174087	0.0300986	0.0507366	0.133299	0.266111	0.482423
a69	0.00139284	0.00293	0.0041792	0.00367412	0.00505623	0.00839773	0.0226606	0.0333922	0.0519042	0.132203	0.261973	0.472237
a58	0.00181665	0.0035485	0.00542272	0.00470329	0.0075028	0.0132627	0.0300237	0.0406302	0.0604568	0.133326	0.257283	0.442023
a82	0.0200827	0.0174239	0.0147666	0.0108978	0.0158831	0.0239496	0.0409238	0.0707078	0.0928189	0.14583	0.242244	0.304472
a87	0.12227	0.0970169	0.0646175	0.0469989	0.0352796	0.0333902	0.0377752	0.0615595	0.0695905	0.100858	0.149925	0.180718
</S>	0.207142	0.151779	0.144642	0.0991062	0.0905076	0.0617334	0.0331547	0.0369882	0.0328786	0.0373456	0.0484613	0.0562618
