 	on	ramasse	les	fruits	de	l'	arbre	obaaré	en	début	de	la	grande	saison	des	pluies	</S>
a75	0.0310946	0.0332842	0.0408454	0.0467661	0.0530492	0.0929252	0.111014	0.0964143	0.0755507	0.106021	0.0631525	0.0398064	0.0360778	0.0316088	0.029124	0.0482364	0.0650292
a25	0.0174805	0.0206959	0.0235206	0.0270712	0.0319931	0.0547161	0.0787354	0.0852383	0.0814764	0.10756	0.0890979	0.0532465	0.0403861	0.0389642	0.0527378	0.0920844	0.104996
a41	0.00458098	0.00519845	0.0096951	0.0153027	0.0203159	0.0329711	0.0496961	0.0435108	0.0447228	0.0608482	0.0777709	0.068346	0.0911095	0.0866059	0.0911003	0.129455	0.16877
a90	0.001231	0.0018251	0.00401569	0.00576626	0.00855858	0.0221062	0.0456652	0.0751462	0.11662	0.125323	0.153412	0.0907338	0.0795786	0.0617437	0.0547408	0.0707089	0.0828251
a94	0.0013641	0.00159081	0.0029986	0.00437001	0.00658513	0.0158996	0.0316894	0.0501573	0.0895971	0.0882822	0.143959	0.0872427	0.0952173	0.0853007	0.0859968	0.101061	0.108688
a56	0.00136816	0.0015247	0.00318241	0.00465627	0.0064298	0.0135429	0.0275769	0.0383703	0.0841007	0.0780152	0.154697	0.0870304	0.0786235	0.0718763	0.096461	0.122209	0.130335
a96	0.0011872	0.00127845	0.00209282	0.00291606	0.00397765	0.00831028	0.0174325	0.0288158	0.0663654	0.0602995	0.119484	0.0719372	0.0981334	0.11269	0.142195	0.139609	0.123276
a62	0.00113486	0.00124255	0.00250397	0.00375713	0.00506731	0.0091517	0.0178705	0.025102	0.0571096	0.0554621	0.113711	0.0689201	0.0791418	0.0877522	0.136761	0.163453	0.171858
a34	0.00154722	0.0017208	0.00286307	0.00411857	0.00521169	0.00825549	0.0153916	0.0209533	0.0465127	0.0415235	0.0804408	0.04711	0.0646975	0.0912587	0.157381	0.190403	0.220612
a56	0.00111639	0.00121049	0.00247504	0.00371114	0.00488873	0.00756376	0.0120391	0.0162253	0.0328508	0.031275	0.0612853	0.0390964	0.0635757	0.0912337	0.173956	0.209819	0.247678
a90	0.000496529	0.000491644	0.000811873	0.00124846	0.00174572	0.00291848	0.00474341	0.00592069	0.0119288	0.0133538	0.0321206	0.0249926	0.0497621	0.0961791	0.213972	0.264258	0.275056
a94	0.000278702	0.00030222	0.000599237	0.00100758	0.00146227	0.00278231	0.00500521	0.00704361	0.0149653	0.0171138	0.0400611	0.0299935	0.0552398	0.0925859	0.199477	0.25371	0.278372
a38	0.000350568	0.000311202	0.000868808	0.00145939	0.0020575	0.00397576	0.00702153	0.0109385	0.0198222	0.02165	0.0441315	0.0342969	0.0638094	0.0841728	0.160017	0.23126	0.313856
a70	0.00106167	0.000654422	0.0011545	0.00182894	0.00263029	0.0047719	0.00851096	0.0157614	0.0257341	0.0272882	0.0461854	0.0382711	0.0745475	0.103399	0.16715	0.219508	0.261543
a34	0.00164317	0.00107641	0.00170227	0.00290623	0.0042333	0.00705275	0.0132385	0.0244313	0.0358821	0.0339056	0.059074	0.0458604	0.0778952	0.106952	0.161945	0.201047	0.221155
a47	0.000491968	0.000379954	0.000753475	0.00160528	0.00270782	0.00512434	0.00822676	0.0123976	0.0184338	0.0207288	0.0363059	0.0351643	0.0886796	0.121223	0.188501	0.20967	0.249606
a96	0.000730434	0.000473875	0.000993795	0.00200425	0.00304548	0.0049879	0.00834785	0.0134048	0.0215135	0.0253894	0.0465917	0.0413157	0.0854513	0.117577	0.182485	0.213745	0.231943
a94	0.000750457	0.000494225	0.000927159	0.00173235	0.00260538	0.00424949	0.00745405	0.0125386	0.0205737	0.0230811	0.0423295	0.0343659	0.0670265	0.0981425	0.17095	0.235752	0.277027
a93	0.000365714	0.000266611	0.000498791	0.000928339	0.00152871	0.0028779	0.00511696	0.00796139	0.0132464	0.0155329	0.0299073	0.0250272	0.0625597	0.0970945	0.175895	0.241084	0.320109
a90	0.000312963	0.000239388	0.000478943	0.000940523	0.00157423	0.00301464	0.00526339	0.00815857	0.013218	0.0154291	0.0294753	0.0246196	0.061229	0.0932133	0.174512	0.240416	0.327905
a21	0.000164929	0.000141388	0.000265342	0.000431661	0.000685832	0.00154626	0.00259867	0.00335512	0.00534311	0.00617557	0.0130357	0.0150213	0.0498467	0.103047	0.200326	0.265647	0.332368
a5	0.000488343	0.000385364	0.000653127	0.0010837	0.00152602	0.00239181	0.00355109	0.00439271	0.00600772	0.00580996	0.0119692	0.0136163	0.040438	0.0967982	0.221429	0.284394	0.305066
a36	0.000632615	0.000504462	0.000864475	0.00136071	0.00190646	0.00297638	0.00447137	0.00544932	0.00735371	0.00738469	0.0169683	0.017556	0.0496175	0.0956967	0.194341	0.27194	0.320976
a27	0.000822166	0.000570532	0.000748734	0.00117866	0.00166376	0.00275595	0.00542139	0.00947	0.0167073	0.0179976	0.0429806	0.028017	0.0476013	0.0723132	0.157844	0.278368	0.31554
a82	0.0200623	0.0193223	0.0210265	0.0257436	0.0281225	0.0280391	0.0411338	0.0498646	0.102366	0.0614956	0.0989621	0.0403953	0.0513325	0.0637691	0.0866252	0.12387	0.13787
a87	0.123968	0.0746148	0.0644436	0.0619774	0.0611095	0.0452986	0.0485575	0.0423617	0.0606209	0.0410427	0.0465423	0.0317677	0.0411337	0.0520152	0.0637947	0.0677992	0.0729521
a23	0.226389	0.117582	0.0904052	0.0755812	0.0649998	0.0503969	0.0495769	0.0505272	0.0506941	0.0329123	0.0240449	0.0162715	0.0195548	0.0230708	0.0282808	0.0342343	0.0454783
a87	0.0730124	0.0464156	0.0421215	0.0254654	0.0187898	0.017925	0.0201804	0.0275846	0.0415012	0.0257587	0.0274149	0.0229803	0.0471263	0.0758885	0.137488	0.158987	0.191361
a97	0.0152711	0.00777121	0.00786108	0.00562439	0.00485117	0.00617109	0.0105324	0.0189897	0.0409433	0.0268132	0.0467985	0.0292715	0.0568202	0.0927474	0.155366	0.210852	0.263315
</S>	0.0311844	0.0142808	0.0135239	0.0113725	0.0107515	0.014443	0.0195996	0.031399	0.044258	0.0400807	0.0675818	0.0568219	0.071925	0.0945703	0.120729	0.162264	0.195215
