 	les	enfants	sont	en	train	de	piéger	les	oiseaux	avec	les	fruits	andae	</S>
a85	0.0145377	0.0161421	0.0241034	0.0502497	0.0875536	0.115224	0.172466	0.144972	0.127431	0.0694754	0.0346175	0.0375939	0.0542047	0.0514283
a6	0.0123969	0.014528	0.0205681	0.0319337	0.0498016	0.0614599	0.0963396	0.077618	0.0700413	0.0533367	0.0429521	0.082281	0.183252	0.203491
a37	0.00499428	0.00676918	0.0120577	0.0306233	0.0648651	0.0905256	0.140884	0.144593	0.127103	0.0790649	0.0515255	0.0639978	0.0886905	0.0943064
a5	0.00812766	0.0105286	0.0165027	0.0343953	0.0674189	0.0850692	0.14916	0.170347	0.146435	0.0779714	0.0368702	0.0440433	0.0786088	0.0745213
a43	0.00950278	0.0110341	0.0156585	0.0261253	0.0479868	0.0634384	0.117419	0.169767	0.172135	0.100229	0.0474756	0.0488988	0.0822097	0.0881197
a62	0.0128376	0.0138926	0.0180584	0.0264166	0.0435942	0.0545861	0.0899512	0.142149	0.158531	0.109881	0.0570507	0.0634321	0.104896	0.104724
a34	0.0126919	0.0140745	0.0194388	0.0275721	0.0443814	0.0557431	0.0859807	0.133502	0.157704	0.123389	0.0686681	0.0722568	0.096284	0.0883126
a75	0.00577688	0.00660534	0.00942978	0.0164878	0.0311215	0.0443126	0.0753637	0.121259	0.15658	0.146171	0.0968785	0.0900561	0.101004	0.0989539
a47	0.00204851	0.00240992	0.00339457	0.0069296	0.0149382	0.0233859	0.038408	0.0598343	0.0844161	0.09735	0.102025	0.138867	0.183462	0.242531
a6	0.00237372	0.00283435	0.00393459	0.0073918	0.0146003	0.0196573	0.0274293	0.0460363	0.0631178	0.0696798	0.0814451	0.128296	0.225507	0.307697
a37	0.000665529	0.000797614	0.00111574	0.00193061	0.00399607	0.00572037	0.00920418	0.0168561	0.026213	0.0406378	0.0780051	0.17584	0.290296	0.348722
a5	0.00227644	0.00266987	0.00360001	0.00471428	0.00697677	0.00770639	0.00821977	0.0124619	0.0165332	0.025899	0.0517577	0.14137	0.290327	0.425487
a12	0.00101854	0.0011689	0.00159139	0.00226332	0.00323632	0.00376914	0.00427507	0.00653408	0.0100633	0.0186274	0.0408469	0.133169	0.309826	0.463611
a18	0.00118927	0.00131989	0.0018804	0.00268954	0.00398914	0.00457067	0.00447416	0.00673516	0.00863392	0.0161208	0.0381698	0.1165	0.283993	0.509735
a71	0.0048954	0.00379134	0.00407489	0.00545062	0.00898153	0.00980594	0.0092053	0.0144176	0.013009	0.0219202	0.0443492	0.0977164	0.205977	0.556405
a25	0.0370822	0.0291462	0.0295251	0.0285512	0.0354182	0.0359361	0.0288134	0.0443313	0.0519836	0.0833782	0.0980844	0.104017	0.137085	0.256648
a87	0.0318678	0.0223095	0.0241283	0.0250073	0.031295	0.0370864	0.0334066	0.0409395	0.0340587	0.0674073	0.0878358	0.105308	0.155084	0.304265
a23	0.125999	0.0951423	0.0871135	0.0790898	0.0767887	0.0783415	0.0525809	0.063136	0.0549822	0.0627324	0.044705	0.0398402	0.0534691	0.086079
a99	0.0465964	0.0349613	0.0275112	0.0239483	0.0232625	0.0217013	0.0170861	0.0213764	0.020728	0.0412051	0.070279	0.13109	0.226155	0.294099
a97	0.0368957	0.0296935	0.0233343	0.0195331	0.0192774	0.0193931	0.0205622	0.0307275	0.0317299	0.0464172	0.0643727	0.111904	0.239959	0.306201
</S>	0.0180209	0.0166346	0.0175411	0.0230107	0.0302425	0.0343006	0.0409473	0.0508054	0.0423463	0.0590338	0.0618835	0.0971745	0.215138	0.29292
