 	prend	cette	corde	et	attache	le	cabri	à	ce	poteau	</S>
a30	0.0451997	0.0339214	0.042153	0.0840774	0.123591	0.135379	0.13943	0.12439	0.0951533	0.0776173	0.0990869
a93	0.0146955	0.0158982	0.0307295	0.067117	0.113043	0.134536	0.139548	0.138527	0.12087	0.112316	0.11272
a4	0.022356	0.0310503	0.0691166	0.11217	0.125694	0.121683	0.10623	0.102864	0.0946783	0.105699	0.10846
a53	0.0211198	0.0265419	0.0493725	0.0825256	0.106236	0.0989049	0.0985026	0.105095	0.110986	0.136524	0.164192
a90	0.0339177	0.0408068	0.076823	0.0942894	0.101659	0.0878282	0.0798725	0.0788523	0.0768097	0.125016	0.204126
a25	0.0240049	0.0312574	0.0625046	0.0957781	0.104601	0.0924842	0.0851511	0.0888558	0.0873503	0.148817	0.179196
a79	0.0109784	0.0150354	0.0386461	0.0839257	0.0898113	0.0876562	0.0794868	0.090185	0.0933301	0.19635	0.214595
a44	0.0161099	0.0202497	0.044613	0.0836316	0.0864835	0.0798911	0.0760759	0.0900245	0.0978548	0.187528	0.217538
a90	0.0100842	0.0107677	0.0289737	0.0614972	0.0981817	0.106475	0.105266	0.117354	0.106785	0.156508	0.198109
a56	0.00599361	0.00543638	0.0140528	0.0362819	0.0742493	0.0907984	0.097909	0.11664	0.119373	0.191777	0.247488
a32	0.00363982	0.00288419	0.00624738	0.0152898	0.0446119	0.0710509	0.0911859	0.120499	0.141734	0.204345	0.298512
a24	0.00270978	0.00188848	0.00353107	0.00725495	0.0159505	0.031078	0.0525384	0.0877234	0.131099	0.252914	0.413312
a88	0.0042787	0.00301979	0.00569953	0.00789404	0.0143521	0.0265323	0.0443299	0.081073	0.13825	0.282648	0.391923
a70	0.00221638	0.00158942	0.00302298	0.00492565	0.00929643	0.0178535	0.0308821	0.0613658	0.127285	0.287891	0.453671
a96	0.00115819	0.000884474	0.00185446	0.00369062	0.00688297	0.0130066	0.0224272	0.0422928	0.0970428	0.26853	0.54223
a62	0.000415031	0.000334052	0.000720011	0.00179615	0.00417131	0.00923334	0.0175851	0.0377127	0.0954458	0.257483	0.575103
a88	0.000562295	0.00042176	0.000828225	0.00176219	0.00422221	0.00968594	0.0189895	0.0452724	0.118969	0.286975	0.512311
a11	0.000260883	0.000210507	0.000384372	0.000969577	0.00262191	0.00676973	0.0144617	0.0354754	0.0985645	0.248167	0.592115
a90	0.00128546	0.000916628	0.00142939	0.00241949	0.00573037	0.0140682	0.0262193	0.0511023	0.120355	0.259769	0.516705
a25	9.28552e-05	8.65224e-05	0.000154876	0.000432297	0.00141963	0.00401493	0.00808454	0.0188141	0.0552219	0.180498	0.73118
a79	0.000144967	0.000129873	0.000232809	0.000484032	0.00146177	0.00405402	0.0080158	0.0165854	0.0448581	0.156523	0.76751
a7	0.000425724	0.000371075	0.000651442	0.00111837	0.00252441	0.00547552	0.00972528	0.0180452	0.0451847	0.164122	0.752356
a37	0.00573955	0.00454052	0.0073311	0.00652873	0.00890487	0.0123812	0.01723	0.0269735	0.0561869	0.186772	0.667412
a94	0.00678505	0.00463295	0.0066383	0.00544283	0.00852224	0.0172324	0.0276193	0.0453946	0.0852126	0.211727	0.580793
a38	0.00410889	0.00333699	0.00689262	0.00610951	0.010254	0.0211223	0.0305808	0.0451787	0.0809686	0.213284	0.578164
a82	0.0150087	0.011638	0.0190045	0.0135142	0.018833	0.0319998	0.0422486	0.0570327	0.0903622	0.198147	0.502211
a87	0.119209	0.0659985	0.0728624	0.0466603	0.0464991	0.0557329	0.0616235	0.0738136	0.0901767	0.138639	0.228785
a23	0.240201	0.0989243	0.0827962	0.055619	0.0550454	0.0538591	0.0577173	0.0657912	0.0748766	0.0915896	0.123581
a87	0.11462	0.0424047	0.0398472	0.0277677	0.0291453	0.0424804	0.0539954	0.0704312	0.10658	0.179643	0.293086
</S>	0.0327778	0.013745	0.0170546	0.0117922	0.0129175	0.0194652	0.0271242	0.0446985	0.0787964	0.220639	0.52099
