 	de	la	manière	ou	ils	nous	ont	lancé	des	pierres	il	devaient	se	placer	là	haute	</S>
a47	0.000225052	0.000208227	0.000161172	0.000271852	0.000623768	0.000763601	0.00178547	0.00253582	0.00393924	0.0047563	0.00566591	0.00854101	0.0256744	0.0456765	0.140987	0.316309	0.441875
a7	0.000194201	0.000195504	0.000152138	0.000291193	0.000716051	0.00109885	0.00240393	0.00393759	0.00547334	0.00526923	0.00534901	0.00722959	0.0181357	0.0343833	0.117346	0.330923	0.466902
a44	0.000142537	0.000151692	0.000146744	0.000274053	0.000667787	0.000986208	0.00230128	0.00362491	0.00405786	0.00351144	0.0037196	0.00368325	0.007801	0.0142368	0.0588806	0.285461	0.610354
a26	0.000305591	0.000288829	0.000222567	0.000494449	0.00116042	0.00165366	0.00344045	0.00508969	0.00604348	0.0057359	0.00610701	0.00535683	0.0106982	0.0188169	0.0715992	0.296587	0.5664
a54	0.00209046	0.00224554	0.00209642	0.00403978	0.00658735	0.00733553	0.00942201	0.0100293	0.00766886	0.00610905	0.00605261	0.00530702	0.0107713	0.0211125	0.0514455	0.238742	0.608945
a6	0.000228439	0.000261148	0.000180881	0.000375011	0.000743259	0.000860759	0.00158501	0.00190631	0.00217468	0.00263835	0.00261416	0.00223375	0.00756325	0.0159223	0.0680199	0.287214	0.605479
a37	0.0001401	0.000146412	9.50001e-05	0.000176048	0.000355689	0.000447183	0.000971073	0.00140549	0.00164738	0.00220534	0.00248244	0.00194568	0.00561487	0.0112077	0.0562431	0.27606	0.638857
a26	0.00071671	0.000816503	0.000674884	0.00120873	0.00214229	0.00264903	0.00409315	0.00466374	0.00409116	0.00426146	0.00408768	0.00347375	0.00755256	0.0133095	0.0412157	0.231595	0.673448
a57	0.00845052	0.00786969	0.00555767	0.00602807	0.00768195	0.00788666	0.0091334	0.00940882	0.00668418	0.00613591	0.00572301	0.00418491	0.0116289	0.025847	0.0562309	0.227353	0.594196
a87	0.0617122	0.046926	0.0267721	0.0224861	0.0238159	0.0236852	0.0230653	0.027821	0.0260746	0.0346471	0.0323248	0.0216268	0.0425569	0.0497989	0.0662516	0.162261	0.308174
a23	0.194799	0.137347	0.0554223	0.0431789	0.0403228	0.0306776	0.0287214	0.0226133	0.0197336	0.0292237	0.030047	0.0282201	0.0576311	0.0492479	0.0495393	0.0778268	0.105447
a87	0.119615	0.0739132	0.0288616	0.0222173	0.02391	0.018635	0.0180091	0.016979	0.0163784	0.0213498	0.0260285	0.0241285	0.0574403	0.0721591	0.0823758	0.148956	0.229043
</S>	0.0269332	0.0184356	0.00913973	0.00846361	0.010405	0.00995958	0.00995261	0.0104252	0.0131022	0.0207134	0.0240928	0.0247526	0.0645611	0.0767884	0.0963558	0.186809	0.38911
