 	la	manière	dont	ils	gardent	cette	banque	le	combrioleur	ne	peut	oser	y	entrer	</S>
a93	0.00400004	0.00304619	0.00479504	0.0155288	0.0478878	0.0744602	0.100321	0.110159	0.1106	0.101121	0.0958866	0.123613	0.0858514	0.0619467	0.0607829
a44	0.00284546	0.00228333	0.00377917	0.0124806	0.0390291	0.0654837	0.0991664	0.107006	0.118421	0.114307	0.105441	0.130652	0.0837904	0.0595773	0.0557379
a70	0.00188443	0.00169353	0.00255724	0.00642068	0.0210559	0.0464942	0.0946942	0.116634	0.135294	0.124797	0.109314	0.135136	0.0816697	0.059948	0.0624087
a90	0.00151816	0.00126219	0.00201883	0.00543751	0.0178392	0.0391174	0.0828352	0.118408	0.12965	0.126284	0.115282	0.139228	0.0883307	0.0669538	0.0658351
a92	0.000617321	0.000551822	0.000669604	0.00173435	0.00512418	0.0121466	0.0283609	0.079687	0.114875	0.115825	0.123248	0.174067	0.134957	0.110539	0.0975978
a79	0.000544349	0.000477901	0.000577006	0.00134436	0.00405301	0.0100157	0.0238471	0.0726867	0.104323	0.10934	0.123478	0.178116	0.142374	0.12123	0.107594
a44	0.00043931	0.00034877	0.000381008	0.000792012	0.00208201	0.00542095	0.014287	0.0677805	0.0975171	0.109413	0.130745	0.20197	0.137302	0.122154	0.109367
a90	0.000455179	0.000370314	0.000468274	0.000986555	0.00311574	0.00833756	0.0219509	0.0735142	0.0964636	0.110331	0.128698	0.175803	0.145718	0.132221	0.101566
a93	0.00036874	0.000320114	0.000372074	0.000682625	0.00214348	0.00509546	0.0135775	0.061926	0.0992396	0.117229	0.137882	0.204437	0.138853	0.124313	0.0935608
a70	0.000400702	0.000325376	0.000383863	0.000730919	0.0019612	0.00551016	0.0161668	0.0708755	0.093371	0.110205	0.129439	0.182167	0.144931	0.137132	0.1064
a93	0.000425399	0.000385437	0.000460653	0.000892759	0.00217931	0.00570769	0.0159712	0.0612982	0.0868704	0.101627	0.121119	0.187317	0.139701	0.141431	0.134613
a44	0.000326198	0.000292009	0.000348605	0.000698268	0.00176209	0.00479634	0.013548	0.0580078	0.0819619	0.101496	0.124817	0.188107	0.144866	0.151388	0.127584
a62	0.000324342	0.000289923	0.000324262	0.000587756	0.00145681	0.00371604	0.0106423	0.0520088	0.0769197	0.0944013	0.118597	0.179872	0.143518	0.166024	0.151319
a83	0.000463612	0.000381797	0.000532601	0.0011848	0.00252245	0.0055672	0.0123294	0.0480729	0.0594828	0.0744441	0.0945247	0.159653	0.116119	0.193511	0.23121
a9	0.000447956	0.000413403	0.000544701	0.00109593	0.00255292	0.00558107	0.0116288	0.0408313	0.0482738	0.0597452	0.0773756	0.134563	0.110917	0.224271	0.281758
a3	0.00173797	0.00163157	0.00266236	0.00365201	0.0062567	0.0142461	0.0272377	0.0662344	0.0755739	0.0888312	0.0982607	0.16749	0.0989072	0.179279	0.168
a99	0.00394383	0.00378138	0.0045801	0.0067195	0.0151356	0.0375557	0.0703701	0.0989122	0.106666	0.095368	0.0843456	0.127747	0.0697091	0.142446	0.13272
a83	0.00356989	0.00339071	0.00424161	0.00872045	0.0227033	0.0507469	0.0901184	0.105049	0.109833	0.0900969	0.0792228	0.116192	0.0687894	0.126653	0.120673
a94	0.000191122	0.000141431	0.000180154	0.000548041	0.00145594	0.00408268	0.00939982	0.0239227	0.0337471	0.0366389	0.0480128	0.0704838	0.111656	0.294947	0.364593
a93	0.00010884	9.64196e-05	0.000118856	0.000391944	0.00157201	0.00463356	0.0109937	0.0273865	0.0384259	0.0396326	0.0497451	0.0721545	0.107379	0.286894	0.360467
a56	9.19573e-05	8.65725e-05	0.000144423	0.000621502	0.00256327	0.00466405	0.0072225	0.0160527	0.0235166	0.0281888	0.036714	0.0526574	0.0809854	0.271627	0.474864
a44	0.000112184	0.000103654	0.000168797	0.00070314	0.00292211	0.00529652	0.00863258	0.0218527	0.0315082	0.0368839	0.0458454	0.064693	0.0908858	0.269198	0.421194
a93	9.25977e-05	8.45142e-05	0.00012549	0.000457845	0.00167093	0.00376264	0.00625804	0.0166198	0.0254215	0.0299031	0.0403567	0.0625999	0.0903641	0.279387	0.442896
a56	7.36835e-05	7.41769e-05	0.00013315	0.000585261	0.00218056	0.0039915	0.0061726	0.0166245	0.0255139	0.0321806	0.0422551	0.0649579	0.0815682	0.249685	0.474004
a43	5.10334e-05	4.76894e-05	8.29652e-05	0.000345813	0.00132863	0.00274531	0.00452187	0.0139298	0.0220351	0.0277082	0.0375194	0.0604965	0.0785959	0.262721	0.48787
a11	9.42269e-05	7.40318e-05	0.000100588	0.000286868	0.000868186	0.00261642	0.00540633	0.016396	0.022556	0.0256184	0.0341278	0.0614658	0.0862723	0.300587	0.44353
a93	0.000366179	0.00023525	0.00029742	0.000568017	0.00110506	0.00390129	0.00919315	0.0326259	0.0411889	0.0435992	0.0520751	0.0798719	0.102554	0.29277	0.339649
a4	0.00011987	9.43904e-05	0.000122082	0.000339978	0.000991971	0.00300009	0.00638843	0.0198741	0.0281275	0.0313921	0.0388043	0.068091	0.0834596	0.27023	0.448965
a13	4.31392e-05	3.69969e-05	5.45828e-05	0.000175457	0.000508399	0.0014654	0.00323919	0.0122677	0.0200848	0.0252849	0.0353127	0.0618518	0.0783685	0.263351	0.497955
a53	6.61077e-05	5.07819e-05	7.12476e-05	0.000209676	0.000593584	0.00198333	0.00490299	0.0179608	0.0221991	0.0262186	0.0329591	0.0563952	0.071392	0.279731	0.485267
a90	3.18802e-05	2.70455e-05	3.75414e-05	0.000106395	0.000297037	0.000866966	0.0020958	0.0109914	0.0177993	0.0233573	0.033006	0.0654521	0.0661031	0.236898	0.54293
a15	3.689e-05	3.40719e-05	5.40781e-05	0.000148716	0.000411698	0.00107097	0.00235853	0.0110547	0.0183749	0.0243318	0.0354787	0.0722905	0.0713939	0.242726	0.520234
a69	2.93865e-05	2.3504e-05	3.33491e-05	7.65833e-05	0.000157087	0.000455468	0.00110775	0.0075908	0.0128225	0.0182199	0.0291794	0.0572908	0.0665948	0.275172	0.531246
a7	4.78475e-05	3.40808e-05	5.08481e-05	0.000109099	0.00020444	0.000574621	0.00133702	0.010114	0.0184212	0.0275047	0.0441356	0.0934268	0.0843855	0.245944	0.473711
a26	7.52899e-05	3.96289e-05	5.32848e-05	0.000103567	0.000148558	0.000482703	0.000958688	0.00836011	0.0122334	0.0191748	0.0339253	0.0707024	0.0786145	0.286857	0.488271
a57	0.00204417	0.00102813	0.000932533	0.00138497	0.00165827	0.00422957	0.00729207	0.0343831	0.0438371	0.0538881	0.0805965	0.124835	0.119319	0.265714	0.258857
a3	0.00909639	0.00446733	0.00342313	0.00439736	0.0043739	0.0118092	0.0207159	0.0728075	0.0875306	0.0832931	0.0975731	0.124649	0.103107	0.183368	0.189389
a82	0.0140357	0.00664387	0.00610847	0.0103896	0.00934703	0.0302543	0.0387104	0.0812038	0.08802	0.0869916	0.0965759	0.120298	0.113161	0.157076	0.141183
a3	0.0104815	0.00479906	0.00471045	0.0113603	0.0133184	0.0452666	0.0471621	0.0789408	0.0817015	0.0785563	0.0852348	0.10157	0.110663	0.16592	0.160315
a57	0.0150305	0.00883588	0.0112439	0.024205	0.0219006	0.0520998	0.0526999	0.0748938	0.0775976	0.0699001	0.0740326	0.093517	0.0953257	0.161479	0.167239
a3	0.0232026	0.0133289	0.016993	0.031717	0.0258876	0.0518551	0.0519024	0.0618652	0.0638391	0.0567014	0.0598842	0.0720259	0.0918678	0.175595	0.203334
a97	0.0281221	0.0207566	0.0266218	0.0310206	0.0273804	0.0504553	0.0561912	0.0661003	0.0698723	0.0580308	0.0593367	0.0737161	0.0876081	0.164351	0.180437
a87	0.0309615	0.0218731	0.0258748	0.029909	0.024024	0.0439424	0.0487647	0.0552829	0.0598687	0.0507564	0.0536868	0.0647996	0.0893792	0.184252	0.216625
</S>	0.0388101	0.0334913	0.042586	0.0449645	0.0381059	0.0568315	0.0613044	0.0582338	0.0606618	0.051096	0.0546903	0.0655536	0.0809744	0.145984	0.166713
