 	cette	nourriture-ci	ira	chez	ngala	celle-là	ira	chez	apéndi	</S>
a44	0.0360957	0.029692	0.0776767	0.200703	0.220724	0.174251	0.12726	0.0442112	0.0450503	0.044336
a90	0.0340742	0.0265153	0.0585403	0.185555	0.216	0.203584	0.131757	0.0430609	0.0424257	0.0584874
a98	0.0321791	0.0271976	0.0560331	0.177941	0.200065	0.185454	0.122969	0.0516677	0.0617591	0.0847352
a47	0.0225207	0.0215358	0.0368901	0.108399	0.152708	0.157854	0.130053	0.0930704	0.134486	0.142484
a56	0.054603	0.0457737	0.052412	0.0875207	0.121149	0.159997	0.12549	0.0745505	0.0922627	0.186241
a34	0.0267946	0.0193387	0.0363799	0.120501	0.165715	0.235678	0.165451	0.0622997	0.0583293	0.109513
a75	0.0243837	0.0154454	0.0435437	0.137455	0.166998	0.229341	0.177692	0.0869087	0.0591331	0.0590992
a85	0.0321114	0.0203429	0.0397987	0.124084	0.147136	0.175638	0.121222	0.0797124	0.113359	0.146596
a37	0.0358129	0.0297551	0.0421715	0.087176	0.10636	0.129663	0.101891	0.0842633	0.154649	0.228257
a6	0.020294	0.0157966	0.0334706	0.110956	0.136068	0.187441	0.143903	0.086329	0.101243	0.164498
a36	0.0494154	0.0315092	0.0443361	0.0903069	0.114538	0.15617	0.113297	0.0721102	0.121456	0.206861
a27	0.0331397	0.0225795	0.0374265	0.09036	0.102304	0.167333	0.122471	0.0872211	0.106567	0.230599
a30	0.0237815	0.00968412	0.0171976	0.0390678	0.0436096	0.0874773	0.0596499	0.0723335	0.177344	0.469855
a87	0.0479361	0.012049	0.0217302	0.0578291	0.0712819	0.151354	0.118978	0.0842838	0.13827	0.296287
a97	0.0589613	0.0142218	0.0149288	0.0189516	0.0271977	0.0428455	0.0795216	0.119402	0.246999	0.37697
a99	0.0523994	0.0133018	0.0145517	0.0132247	0.0172373	0.0296666	0.0556283	0.0968103	0.304364	0.402816
a62	0.00979632	0.00290624	0.00667301	0.00958581	0.0118896	0.0165381	0.0234028	0.0603985	0.310259	0.54855
a31	0.0154264	0.00886649	0.0191332	0.0388604	0.0372982	0.0447637	0.0499289	0.0709987	0.281204	0.43352
a83	0.0150495	0.0101902	0.0283838	0.0540411	0.0491345	0.0543217	0.0561025	0.0753424	0.27004	0.387394
a50	0.00357272	0.00333096	0.00862095	0.0363722	0.0403724	0.048296	0.0468114	0.07368	0.305643	0.4333
a31	0.0026489	0.00285229	0.00722555	0.0353793	0.0409648	0.0510993	0.0461853	0.0678581	0.314273	0.431513
a88	0.0104224	0.00837186	0.0171093	0.0436695	0.0449866	0.0567726	0.0573145	0.083362	0.289912	0.38808
a75	0.00181527	0.0018957	0.00487871	0.0159652	0.0188438	0.0288638	0.0251565	0.0486476	0.309693	0.544241
a25	0.00423913	0.00387092	0.006191	0.0177623	0.0245243	0.0422898	0.0457502	0.0689168	0.305164	0.481291
a93	0.00242652	0.00195522	0.00434742	0.0147944	0.020682	0.0399372	0.0376278	0.0701232	0.293073	0.515033
a4	0.00101813	0.00116166	0.00141814	0.00360245	0.00485297	0.0101072	0.0105404	0.0329496	0.259552	0.674798
a90	0.00125037	0.00127854	0.00165608	0.00444599	0.00633379	0.0139556	0.0167354	0.0405003	0.299034	0.61481
a15	0.000528425	0.000493072	0.000958512	0.00382332	0.00628475	0.0123669	0.0155586	0.0421443	0.297221	0.620621
a98	0.00065086	0.000592265	0.00137506	0.00484976	0.00694594	0.015161	0.0156727	0.0413372	0.268906	0.644509
a47	0.00228822	0.00171529	0.00343559	0.0086491	0.0125396	0.0246085	0.0244526	0.0561197	0.260956	0.605235
a2	0.00168048	0.00150282	0.00346344	0.00840889	0.010472	0.0204148	0.0162127	0.0409548	0.240286	0.656604
a47	0.000880644	0.00053383	0.00150025	0.00399638	0.00405487	0.00775269	0.00569942	0.0262509	0.229203	0.720128
a62	0.0039999	0.00228388	0.00457549	0.0076289	0.0075129	0.0126811	0.0112407	0.0466964	0.230434	0.672947
a83	0.00128374	0.000842487	0.00206873	0.00834789	0.0107847	0.0170557	0.0139828	0.045258	0.228965	0.671411
a9	0.000532355	0.000410599	0.00119689	0.00386853	0.00552993	0.00959617	0.00915492	0.0310678	0.260329	0.678314
a10	0.00143953	0.000719542	0.00131508	0.00248959	0.00369141	0.0135921	0.0114052	0.0515537	0.2613	0.652494
a87	0.029874	0.00643572	0.00915911	0.00793168	0.00904269	0.027506	0.0345261	0.089549	0.220924	0.565052
a23	0.0872765	0.025254	0.0254639	0.0261236	0.0262812	0.0503135	0.0516344	0.0737169	0.183584	0.450352
a87	0.0375063	0.0098918	0.010389	0.0115631	0.0130488	0.0220386	0.018177	0.0360771	0.170406	0.670902
</S>	0.00885671	0.00364367	0.00572318	0.0109086	0.0111482	0.0173853	0.0132747	0.0333314	0.161037	0.734691
