 	si	tu	accomplis	des	actes	justes	devant	dieu	tu	auras	une	longue	vie	</S>
a0	0.00215387	0.00243439	0.00384032	0.00419438	0.0113575	0.0346071	0.0402907	0.0636005	0.0993073	0.120849	0.0965145	0.133126	0.175177	0.212547
a75	0.00137924	0.001653	0.00218414	0.0028004	0.00947236	0.0261137	0.0390583	0.0540006	0.110687	0.135532	0.0947162	0.132144	0.187673	0.202586
a85	0.00206435	0.00209238	0.00308313	0.00389747	0.00789455	0.0225738	0.0287361	0.0406452	0.0653715	0.0938522	0.0914248	0.123416	0.185006	0.329942
a37	0.00199653	0.00192816	0.00312417	0.00355479	0.00699052	0.0223424	0.03488	0.0524617	0.0841806	0.110764	0.0946795	0.118948	0.179765	0.284384
a75	0.00159067	0.00163959	0.00281835	0.00317473	0.00847154	0.0255861	0.0306891	0.0478533	0.0680909	0.0818505	0.0591368	0.0903705	0.208525	0.370203
a6	0.00193206	0.00175586	0.00256744	0.00331245	0.00678659	0.0212476	0.0279659	0.0426189	0.0672759	0.0899754	0.0883861	0.131475	0.206764	0.307937
a37	0.00119932	0.00112833	0.00190946	0.00253557	0.00667222	0.0231373	0.0305551	0.0465618	0.0698016	0.0877385	0.0755833	0.118545	0.223152	0.31148
a21	0.00134372	0.0014139	0.00247773	0.00251974	0.00637474	0.019645	0.0226617	0.0368196	0.0518198	0.0631368	0.0470746	0.0802553	0.212735	0.451723
a12	0.00198144	0.00189874	0.00280839	0.00263097	0.00618779	0.0199458	0.021781	0.0356391	0.0489757	0.064213	0.0612092	0.114546	0.250768	0.367415
a96	0.00167077	0.00162237	0.00249098	0.00249687	0.00577062	0.0168227	0.0187134	0.0301959	0.0486028	0.0691303	0.0607838	0.114951	0.25037	0.376378
a88	0.000947688	0.00103582	0.00167741	0.0019123	0.00437818	0.0121757	0.0144092	0.0220823	0.0373956	0.0531239	0.0403409	0.0846524	0.23241	0.493458
a71	0.000597066	0.000653405	0.000990072	0.000990766	0.00237458	0.00668763	0.00936968	0.0125321	0.0246838	0.0378752	0.0291899	0.0673678	0.245894	0.560794
a9	0.00240264	0.00223774	0.00231969	0.00217592	0.00472461	0.0111216	0.0169843	0.0171453	0.0263397	0.0372025	0.0333713	0.0893896	0.299589	0.454997
a99	0.0186335	0.0137645	0.0110535	0.00934357	0.0145594	0.0326933	0.0427327	0.0500239	0.0499504	0.064643	0.0751841	0.145076	0.240951	0.231391
a87	0.0224773	0.0130911	0.00883906	0.00788559	0.0146622	0.0384049	0.0631968	0.0819363	0.0766012	0.0973361	0.112695	0.140564	0.159376	0.162934
a23	0.0342205	0.0179405	0.0124545	0.00791039	0.0138856	0.0363729	0.077675	0.0962041	0.0775787	0.107865	0.136339	0.132662	0.112722	0.136169
a83	0.0147836	0.00569527	0.00330759	0.00206204	0.00364611	0.00851466	0.0274868	0.039853	0.0345181	0.0543638	0.124269	0.15354	0.194353	0.333607
a70	0.00412483	0.00270126	0.00286443	0.00158942	0.00231444	0.00324924	0.00620035	0.00857692	0.0125134	0.0236389	0.0691178	0.139507	0.3078	0.415803
a93	0.00187677	0.00154802	0.00191272	0.00134505	0.00245664	0.00497758	0.00695037	0.0103078	0.0123699	0.0189753	0.0438254	0.0957723	0.283611	0.514072
a70	0.000924876	0.000863325	0.00130279	0.00125403	0.00330218	0.00738404	0.0106827	0.014714	0.016137	0.0197496	0.0377488	0.0936046	0.266283	0.526049
a62	0.00103418	0.000968456	0.00140666	0.00136191	0.00372012	0.0100606	0.0147076	0.02005	0.0232251	0.0296772	0.0524204	0.118856	0.274399	0.448113
a21	0.00203791	0.00186001	0.00233381	0.00226579	0.00519644	0.0139952	0.0188385	0.0255455	0.0318093	0.041822	0.068584	0.139038	0.271224	0.37545
a61	0.000456223	0.000393478	0.000546143	0.000517994	0.00149601	0.0046217	0.00687519	0.0103559	0.0155581	0.0223422	0.0406778	0.117053	0.290461	0.488644
a62	0.00095636	0.000860605	0.00124698	0.00118162	0.00352576	0.0108524	0.014456	0.0202335	0.0274571	0.0360026	0.0495096	0.129014	0.276832	0.427871
a88	0.00136082	0.00126656	0.00166973	0.00153372	0.00417027	0.0113302	0.014849	0.0193534	0.0263296	0.0361628	0.0564957	0.140996	0.279999	0.404483
a24	0.00065671	0.000704977	0.000905479	0.000916235	0.00264785	0.0081776	0.0122148	0.0139825	0.021442	0.03026	0.0434797	0.106917	0.28885	0.468845
a9	0.00150614	0.00162899	0.0019265	0.00147266	0.00288978	0.00881705	0.0144535	0.0135919	0.0264482	0.0405629	0.06748	0.128283	0.295311	0.395629
a87	0.00744696	0.00686097	0.00629191	0.00448552	0.00657096	0.0172399	0.0240072	0.0255833	0.0353259	0.050558	0.0720624	0.129217	0.264203	0.350147
a23	0.0313495	0.0199654	0.0188848	0.00906772	0.0117292	0.0310349	0.067089	0.0843929	0.0662612	0.104015	0.114862	0.130878	0.134125	0.176344
a87	0.0135785	0.00504403	0.00317961	0.00170739	0.00321633	0.00984344	0.0306948	0.0497911	0.0431398	0.07046	0.100875	0.124701	0.18765	0.35612
a23	0.0107963	0.00517851	0.00533755	0.00220076	0.00404282	0.0137211	0.0374374	0.0419421	0.0345142	0.0605291	0.0646953	0.082583	0.163747	0.473274
</S>	0.0113026	0.00404782	0.00304555	0.00156311	0.00323253	0.00737457	0.0283278	0.0428976	0.0379296	0.0663733	0.108748	0.131204	0.180589	0.373364
